Code,Scheme Name,Scheme NAV Name
150520,Motilal Oswal BSE Quality ETF,Motilal Oswal BSE Quality ETF
150523,DSP Silver ETF,DSP Silver ETF
150526,ICICI Prudential Nifty Infrastructure ETF,ICICI Prudential Nifty Infrastructure ETF
150531,Kotak Nifty MNC ETF,Kotak Nifty MNC ETF
150556,HDFC Silver ETF,HDFC Silver ETF - Growth Option
150581,Edelweiss Gold and Silver ETF FOF,Edelweiss Gold and Silver ETF FOF - Direct Plan - Growth
150610,Axis Silver ETF,Axis Silver ETF
150619,HDFC NIFTY50 VALUE 20 ETF,HDFC NIFTY 50 VALUE 20 ETF - Growth Option
150620,HDFC NIFTY100 QUALITY 30 ETF,HDFC NIFTY100 QUALITY 30 ETF - Growth Option
150621,HDFC NIFTY GROWTH SECTORS 15 ETF,HDFC NIFTY GROWTH SECTORS 15 ETF - Growth Option
150657,HDFC NIFTY200 MOMENTUM 30 ETF,HDFC NIFTY200 MOMENTUM 30 ETF - Growth Option
150658,HDFC NIFTY100 Low Volatility 30 ETF,HDFC NIFTY100 Low Volatility 30 ETF - Growth Option
150801,HDFC NIFTY IT ETF,HDFC NIFTY IT ETF - Growth option
150802,HDFC NIFTY Private Bank ETF,HDFC NIFTY Private Bank ETF - Growth Option
150879,ICICI Prudential Nifty Financial Services Ex-Bank ETF,ICICI Prudential Nifty Financial Services Ex-BaNk ETF
150948,Kotak Silver ETF,Kotak Silver ETF
150987,BHARAT Bond ETF - April 2033,BHARAT Bond ETF - April 2033
151196,ICICI Prudential Nifty 10 yr Benchmark G-sec ETF,ICICI Prudential Nifty 10 yr Benchmark G-sec ETF
151207,ICICI Prudential Nifty Commodities ETF,ICICI Prudential Nifty Commodities ETF
151262,DSP Nifty Bank ETF,DSP Nifty Bank ETF
151358,Kotak Nifty 1D Rate Liquid ETF,Kotak Nifty 1D Rate Liquid ETF
151374,HDFC NIFTY Midcap 150 ETF,HDFC NIFTY Midcap 150 ETF - Growth Option
151375,HDFC NIFTY Smallcap 250 ETF,HDFC NIFTY Smallcap 250 ETF - Growth Option
151376,HDFC BSE 500 ETF,HDFC BSE 500 ETF - Growth Option
151416,Mirae Asset Gold ETF,Mirae Asset Gold ETF
151572,ICICI Prudential Nifty PSU Bank ETF,ICICI Prudential Nifty PSU Bank ETF
151585,Axis BSE Sensex ETF,Axis BSE Sensex ETF
151604,Mirae Asset Nifty 100 Low Volatility 30 ETF,Mirae Asset Nifty 100 Low Volatility 30 ETF
151695,Mirae Asset Nifty 8-13 yr G-Sec ETF,Mirae Asset Nifty 8-13 yr Gsec ETF
151737,DSP Gold ETF,DSP Gold ETF
151779,Mirae Asset Silver ETF,Mirae Asset Silver ETF
151820,DSP Nifty IT ETF,DSP Nifty IT ETF
151857,Mirae Asset Nifty Bank ETF,Mirae Asset Nifty Bank ETF
151886,DSP BSE Sensex ETF,DSP BSE Sensex ETF
151887,DSP Nifty Private Bank ETF,DSP Nifty Private Bank ETF
151888,DSP Nifty PSU Bank ETF,DSP Nifty PSU Bank ETF
151907,ICICI Prudential Nifty 200 Quality 30 ETF,ICICI Prudential Nifty 200 Quality 30 ETF
152090,Motilal Oswal Developed Market Ex US ETFs Overseas Equity Passive FOF,Motilal Oswal Developed Market Ex US ETFs Fund of Funds Direct Plan Growth
152097,Mirae Asset BSE Sensex ETF,Mirae Asset BSE Sensex ETF
152106,Motilal Oswal Nifty 500 ETF,Motilal Oswal Nifty 500 ETF
152134,Mirae Asset Nifty 200 Alpha 30 ETF,Mirae Asset Nifty 200 Alpha 30 ETF
152140,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Passive FOF,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct Growth
152142,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Passive FOF,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Regular Growth
152147,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Passive FOF,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Regular Growth
152150,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Passive FOF,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct Growth
152155,Mirae Asset Nifty IT ETF,Mirae Asset Nifty IT ETF
152193,Edelweiss Gold ETF,Edelweiss Gold ETF
152212,Edelweiss Silver ETF,Edelweiss Silver ETF
152231,Baroda BNP Paribas Gold ETF,Baroda BNP Paribas Gold ETF
152306,DSP Nifty Healthcare ETF,DSP Nifty Healthcare ETF
152327,Zerodha Nifty 1D Rate Liquid ETF,Zerodha Nifty 1D Rate Liquid ETF - Growth Option
152350,HDFC NIFTY PSU BANK ETF,HDFC NIFTY PSU BANK ETF
152355,UTI Nifty IT ETF,UTI Nifty IT ETF
152356,Bajaj Finserv Nifty 50 ETF,Bajaj Finserv Nifty 50 ETF
152357,Bajaj Finserv Nifty Bank ETF,Bajaj Finserv Nifty Bank ETF
152368,UTI Nifty 5 yr Benchmark G-Sec ETF,UTI Nifty 5 yr Benchmark G-Sec ETF
152369,UTI Nifty 10 yr Benchmark G-Sec ETF,UTI Nifty 10 yr Benchmark G-Sec ETF
152404,LIC MF Nifty Midcap 100 ETF,LIC MF Nifty Midcap 100 ETF
152455,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
152476,Zerodha Gold ETF,Zerodha Gold ETF
152541,Motilal Oswal Nifty Realty ETF,Motilal Oswal Nifty Realty ETF
152546,Motilal Oswal Nifty Smallcap 250 ETF,Motilal Oswal Nifty Smallcap 250 ETF
152555,DSP BSE Liquid Rate ETF,DSP BSE Liquid Rate ETF
152620,Aditya Birla Sun Life Nifty PSE ETF,Aditya Birla Sun Life Nifty PSE ETF
152634,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF
152638,Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,Bajaj Finserv Nifty 1D Rate Liquid ETF
152667,Zerodha Nifty 100 ETF,Zerodha Nifty 100 ETF
152668,Zerodha Nifty Midcap 150 ETF,Zerodha Nifty Midcap 150 ETF
152683,Baroda BNP Paribas Nifty Bank ETF,Baroda BNP Paribas Nifty Bank ETF
152715,Mirae Asset Nifty EV and New Age Automotive ETF,Mirae Asset Nifty EV and New Age Automotive ETF
152725,SBI Silver ETF,SBI Silver ETF
152732,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
152741,Shriram Nifty 1D Rate Liquid ETF,Shriram Nifty 1D Rate Liquid ETF - Growth
152748,ICICI Prudential Nifty Oil & Gas ETF,ICICI Prudential Nifty Oil & Gas ETF
152749,SBI Nifty50 Equal Weight ETF,SBI Nifty50 Equal Weight ETF
152764,Groww Nifty EV & New Age Automotive ETF,GROWW NIFTY EV & NEW AGE AUTOMOTIVE ETF
152769,ICICI Prudential Nifty Metal ETF,ICICI Prudential Nifty Metal ETF
152770,Groww Nifty EV & New Age Automotive ETF FOF,Groww Nifty EV & New Age Automotive ETF FOF- Direct Plan - Growth
152802,Aditya Birla Sun Life Crisil 10 year Gilt ETF,Aditya Birla Sun Life Crisil 10 Year Gilt ETF
152811,Mirae Asset Nifty500 Multicap 50 25 25 ETF,Mirae Asset Nifty500 Multicap 50 25 25 ETF
152812,DSP Nifty Top 10 Equal Weight ETF,DSP Nifty Top 10 Equal Weight ETF
152845,Groww Nifty India Defence ETF,Groww Nifty India Defence ETF
152846,Motilal Oswal Nifty India Defence ETF,Motilal Oswal Nifty India Defence ETF
152857,Edelweiss Nifty Bank ETF,Edelweiss Nifty Bank ETF - Growth
152874,Motilal Oswal Nifty 500 Momentum 50 ETF,Motilal Oswal Nifty 500 Momentum 50 ETF
152891,Groww Nifty 1D Rate Liquid ETF,Groww Nifty 1D Rate Liquid ETF
152924,Mirae Asset Nifty Metal ETF,Mirae Asset Nifty Metal ETF
152925,Groww Nifty India Defence ETF FOF,Groww Nifty India Defence ETF FOF - Direct Growth
152929,Mirae Asset Nifty PSU Bank ETF,Mirae Asset Nifty PSU Bank ETF
152932,ICICI Prudential Nifty200 Value 30 ETF,ICICI Prudential Nifty200 Value 30 ETF
152957,Groww Gold ETF,Groww Gold ETF
152980,Groww Gold ETF FOF,Groww Gold ETF FOF - DIRECT - GROWTH
152981,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF - Growth
153011,Zerodha Gold ETF FoF,Zerodha Gold ETF FoF-Direct Plan - Growth Option
153045,Mirae Asset Nifty 1D Rate Liquid ETF - Growth,Mirae Asset Nifty 1D Rate Liquid ETF - Growth
153180,Edelweiss BSE Capital Markets & Insurance ETF,Edelweiss BSE Capital Markets & Insurance  ETF - Growth
153191,Mirae Asset Nifty India New Age Consumption ETF,Mirae Asset Nifty India New Age Consumption ETF
153228,DSP BSE SENSEX Next 30 ETF,DSP BSE SENSEX Next 30 ETF
153229,Groww Nifty India Railways PSU ETF,Groww Nifty India Railways PSU ETF
153314,Kotak MSCI India ETF,Kotak MSCI India ETF
153315,Kotak Nifty 100 Equal Weight ETF,Kotak Nifty 100 Equal Weight ETF
153328,Groww Nifty 200 ETF FOF,Groww Nifty 200 ETF FOF - Direct - Growth
153329,Groww Nifty 200 ETF,Groww Nifty 200 ETF
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,ANGEL ONE NIFTY TOTAL MARKET ETF
153337,Union Gold ETF,Union Gold ETF
153357,360 ONE Gold ETF,360 ONE Gold ETF
153378,ICICI Prudential BSE Liquid Rate ETF - Growth,ICICI Prudential BSE Liquid Rate ETF - Growth
153379,Mirae Asset BSE 200 Equal Weight ETF,Mirae Asset BSE 200 Equal Weight ETF
153384,Mirae Asset BSE Select IPO ETF,Mirae Asset BSE Select IPO ETF
153394,ICICI Prudential Nifty EV & New Age Automotive ETF FOF,ICICI Prudential Nifty EV & New Age Automotive ETF FOF - Direct Plan - Growth
