,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),NIFTY500 Buy & Hold
2019-06-17,0.8562195445664851,0.8544702573149114,0.8955679426637191,1.0291703960919216
2019-06-24,0.84819496851043,0.8375498429168526,0.8837198728453098,1.0313810915443593
2019-07-01,0.8720360118896232,0.86613592454313,0.9075255041370718,1.047438289245236
2019-07-08,0.8438309567210465,0.8373385017437334,0.8781725799893516,1.0188394388068713
2019-07-15,0.8349442502630354,0.8277609692130926,0.868924208765612,1.0211417972414834
2019-07-22,0.8021602733211494,0.7934265237309808,0.8348060131909445,0.9972662863551562
2019-07-29,0.7930786835353323,0.7753194335524806,0.8253548274183746,0.9822928686199867
2019-08-05,0.7608594583225292,0.7446218342531281,0.7918243674310685,0.9524269122515663
2019-08-09,0.7780902657585008,0.7673539082533922,0.8097564218322786,0.9755691192804992
2019-08-19,0.7742947529823365,0.7626470741985389,0.8058064420164414,0.9703281534761836
2019-08-26,0.7675082453586446,0.7543383870805155,0.7987437420034278,0.9667425132911323
2019-08-30,0.7700851065387256,0.7561952386375698,0.8014254744200476,0.9681282419040016
2019-09-09,0.7816016223172356,0.7709999608042025,0.8134106810460301,0.9675728720708283
2019-09-16,0.7754136621897555,0.76981738860109,0.8069708877832464,0.9715359480648325
2019-09-23,0.8177566848596611,0.8110016922420688,0.8443139417232945,1.0230235843461193
2019-09-30,0.8279065533591945,0.8194402397181947,0.8540505899831156,1.0073114708134279
2019-10-07,0.8073790669983348,0.8011952888653249,0.8347656074602121,0.9749328703454074
2019-10-14,0.8159874043053759,0.8060812030400915,0.844639917750817,0.9913243683342138
2019-10-18,0.8404913868949213,0.8297506600593911,0.8679091741416254,1.0222255772071906
2019-10-25,0.8461857990707088,0.8324563963981151,0.8770280786304628,1.0170385308041539
2019-11-04,0.861928040473554,0.8525989514781678,0.8939272106088998,1.04953036201486
2019-11-11,0.8538928985599656,0.8432233988842641,0.8840217102587908,1.0455888537813673
2019-11-18,0.8559673420171373,0.8420852988603987,0.8851153859787796,1.0426502464116636
2019-11-25,0.856855479249695,0.842221847276931,0.8890188979766595,1.05704133461302
2019-12-02,0.860717112289989,0.845376442493304,0.8943577154486897,1.0566045874626604
2019-12-09,0.8496423870173605,0.8329825718442254,0.8855674318149706,1.0429575869989536
2019-12-16,0.8670813459479739,0.8498201922850509,0.9051854272347644,1.051751841347553
2019-12-23,0.8835618411441529,0.8630281875170711,0.9202207495859094,1.0673507241375586
2019-12-30,0.8920628053666264,0.8755292224476281,0.931401792128506,1.0702677637467508
2020-01-06,0.8816059209219879,0.8630707101878767,0.9168871347349915,1.0511479440532285
2020-01-13,0.9021036016913591,0.8860560365711818,0.9362860596977022,1.0829711746880757
2020-01-20,0.9214760869670284,0.9052022715340423,0.9558299910792634,1.0811594828051025
2020-01-27,0.936075550222026,0.9195438995898493,0.9676258057214192,1.0783448900583403
2020-02-03,0.9189182676009618,0.9049963651627029,0.9488499560109981,1.0407037560254926
2020-02-10,0.9456541931951321,0.9270304131376839,0.9758206791771787,1.0725269866603395
2020-02-17,0.9376898349144255,0.9213526640521496,0.9669659748590466,1.0666335961005484
2020-02-24,0.9504549426016982,0.9408636441686796,0.9763796178083834,1.0523126031208545
2020-03-02,0.8871404784264874,0.8780669669483924,0.9066270616133345,0.989830800918786
2020-03-09,0.8351429117037752,0.8297992725507166,0.8558762431963923,0.9307944484584438
2020-03-16,0.7557909140541255,0.7498719589118337,0.7744219145317599,0.8187014051395969
2020-03-23,0.6550315305307358,0.6499016696473852,0.6644189863286812,0.6732376443691965
2020-03-30,0.6643993991551636,0.6591961740739432,0.6739211087233993,0.7278256462240239
2020-04-03,0.6674021403774036,0.6621753994133275,0.6769668831420317,0.7158824988407324
2020-04-13,0.6743629364953491,0.6690816822535784,0.684027436543146,0.7937313304073067
2020-04-20,0.673797612408402,0.6685207854862104,0.6834540106250192,0.8211493459576621
2020-04-27,0.6748002158762544,0.6695155370933943,0.6844709827076614,0.8200008627104199
2020-05-04,0.6792080763403235,0.6738888775230528,0.6892508669553713,0.8192405991523865
2020-05-11,0.679009255411566,0.673691613654769,0.6890491062545072,0.81487312764879
2020-05-18,0.6769505260613209,0.671649007185135,0.6869599364714731,0.7813190842328882
2020-05-22,0.675319264008686,0.6700305203150742,0.6853045545300979,0.7997325597696558
2020-06-01,0.6775850809922355,0.6722785926170762,0.6876038739502797,0.8648779803949053
2020-06-08,0.6944499954949498,0.6890114300194128,0.7047181535753937,0.8976448005521342
2020-06-15,0.6938277139683114,0.6928444657670146,0.7053362781902598,0.8720330849446243
2020-06-22,0.7110332448590118,0.7158172813529973,0.7223541908877689,0.9151686059677989
2020-06-29,0.7042295831278451,0.7056089722532237,0.7161863903352684,0.9153411480518914
2020-07-06,0.7213797081751128,0.7200504219715896,0.7309493855564803,0.9506745317099994
2020-07-13,0.7291981630586415,0.7274686900389364,0.7350709508377753,0.9526695495573212
2020-07-20,0.7343356263583803,0.7354906874228112,0.7412118586621352,0.9689424248633136
2020-07-27,0.7576310164727134,0.7565078479661472,0.7642725412974227,0.9732344092051194
