date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2020-06-15,0.4966124044574023,18,19,0,0,0,0,0,0,0
2020-06-22,0.5669489407164022,20,20,0,1,0,0,0,0,0
2020-06-29,0.5660181074909905,20,20,0,0,0,0,0,0,0
2020-07-06,0.604884144628277,21,21,1,2,0,0,0,1,0
2020-07-13,0.5931348336297539,20,21,0,0,0,0,0,0,0
2020-07-20,0.5847084540086527,20,20,2,1,0,0,0,2,0
2020-07-27,0.5441738070122455,19,19,3,2,1,0,0,2,0
2020-08-03,0.5343774327902425,19,19,4,4,0,0,0,4,0
2020-08-10,0.5993572156408442,20,20,4,5,0,0,0,4,0
2020-08-17,0.619988195270911,21,21,1,2,0,0,0,1,0
2020-08-24,0.6751788572460631,23,23,0,2,0,0,0,0,0
2020-08-31,0.634623306791946,21,22,1,0,1,0,0,0,0
2020-09-07,0.6191501746735677,21,21,3,2,0,0,0,3,0
2020-09-14,0.631874809490516,21,21,2,2,0,0,0,2,0
2020-09-21,0.5508631844837879,19,20,1,0,0,0,0,1,0
2020-09-28,0.5674810659110007,20,20,2,2,2,0,0,0,0
2020-10-05,0.5786801028610505,20,20,1,1,0,0,0,1,0
2020-10-12,0.5423072654739584,19,20,0,0,0,0,0,0,0
2020-10-19,0.5465396689994545,19,20,0,0,0,0,0,0,0
2020-10-26,0.5492768540601332,19,19,1,0,1,0,0,0,0
2020-11-02,0.5216373811719114,18,18,2,1,1,0,0,1,0
2020-11-09,0.6091167000153652,21,21,3,6,0,0,1,2,0
2020-11-13,0.6281047905526951,21,21,0,0,0,0,0,0,0
2020-11-23,0.6949928607378977,23,23,0,2,0,0,0,0,0
2020-11-27,0.7147711785126478,24,24,0,1,0,0,0,0,0
2020-12-07,0.7577017263579651,25,25,0,1,0,0,0,0,0
2020-12-14,0.771117422473868,25,25,2,2,0,0,1,1,0
2020-12-21,0.6962668067500303,23,23,6,4,2,0,1,3,0
2020-12-28,0.7680045767745304,25,25,0,2,0,0,0,0,0
2021-01-04,0.7933472061675619,25,25,1,1,1,0,0,0,0
2021-01-11,0.8030991267150291,25,25,1,1,0,0,0,1,0
2021-01-18,0.7516076914247586,25,25,1,1,0,0,0,1,0
2021-01-25,0.7131364053664361,24,24,2,1,1,0,0,1,0
2021-02-01,0.7183814563806535,24,24,1,1,1,0,0,0,0
2021-02-08,0.7645166184519323,25,25,1,2,0,0,1,0,0
2021-02-15,0.7404038121383462,24,24,2,1,1,0,0,1,0
2021-02-22,0.6992718464413612,23,23,1,0,0,0,0,1,0
2021-03-01,0.7408092743726595,24,24,1,2,0,0,0,1,0
2021-03-08,0.7511543768018656,25,25,0,1,0,0,0,0,0
2021-03-15,0.7297382590599748,24,24,3,2,0,0,0,3,0
2021-03-22,0.6658138447936699,22,22,2,0,2,0,0,0,0
2021-03-26,0.62870266405816,21,21,1,0,0,0,1,0,0
2021-04-05,0.6559300318333774,22,22,1,2,0,0,1,0,0
2021-04-12,0.5952651207260924,20,20,3,1,2,0,0,1,0
2021-04-19,0.5816898119129574,20,20,0,0,0,0,0,0,0
2021-04-26,0.6212169561198114,21,21,1,2,0,0,0,1,0
2021-05-03,0.6644838153921909,22,22,2,3,0,0,1,1,0
2021-05-10,0.6976007244749836,23,23,1,2,0,0,1,0,0
2021-05-17,0.7132032963286838,24,24,3,4,2,0,1,0,0
2021-05-24,0.7635167318122511,25,25,1,2,0,0,0,1,0
2021-05-31,0.7685872221309238,25,25,0,0,0,0,0,0,0
2021-06-07,0.7948344681749032,25,25,1,1,0,0,0,1,0
2021-06-14,0.7936960789159684,25,25,1,1,0,0,1,0,0
2021-06-21,0.7619493520360328,25,25,2,2,0,0,1,1,0
2021-06-28,0.7754538944827362,25,25,3,3,2,0,1,0,0
2021-07-05,0.7780776995809835,25,25,0,0,0,0,0,0,0
2021-07-12,0.7685544331673688,25,25,1,1,0,0,0,1,0
2021-07-19,0.7579410372783469,25,25,2,2,1,0,1,0,0
2021-07-26,0.7390549378915199,24,24,3,2,2,0,1,0,0
2021-08-02,0.735103497117202,24,24,0,0,0,0,0,0,0
2021-08-09,0.6919589897987458,23,23,2,1,0,0,2,0,0
2021-08-16,0.6558393287496709,22,22,4,3,3,0,0,1,0
2021-08-23,0.5556948259349956,19,19,5,2,5,0,0,0,0
2021-08-30,0.6524699864177246,22,22,1,4,0,0,1,0,0
2021-09-06,0.6932483507863443,23,23,0,1,0,0,0,0,0
2021-09-13,0.7037521268674886,23,23,0,0,0,0,0,0,0
2021-09-20,0.6625711842630451,22,22,3,2,0,0,0,3,0
2021-09-27,0.7001866757315773,23,23,2,3,1,0,0,1,0
2021-10-04,0.7361315554797774,24,24,1,2,0,0,0,1,0
2021-10-11,0.7414581599818758,24,24,1,1,0,0,0,1,0
