,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),Sharpe Composite,NIFTY500 Buy & Hold
2024-11-29,19.549668372885602,20.656722207160932,20.55504648245785,15.567698036228776,2.47823474793817
2024-12-31,20.71899507959653,21.892265260333282,21.953395317371317,16.54321617225579,2.4441968430826346
2025-01-31,18.042089907010467,19.06377295702059,19.268657646877333,14.197124218306147,2.357408924572612
2025-02-28,15.499415849165826,16.377112975151096,16.55312323923825,12.488565123905174,2.171707903216995
2025-03-28,17.4987288300855,18.48964256206258,18.917998928041385,13.455172856899475,2.3310448413348603
2025-04-30,16.516029690819494,17.629867105777656,17.855595970447197,12.872790218449364,2.4064722267737158
2025-05-30,18.36189607292384,19.346981269229936,19.85117511091137,13.186277312415562,2.490791414058658
2025-06-30,18.273607736216366,19.253956410043976,19.875019230293617,13.733756280011223,2.5798459773881675
2025-07-31,17.050679170475533,17.740987136684485,18.428467516967963,13.063467490210463,2.5031350701840602
2025-08-29,17.217544959574585,17.914608597059214,18.60881697656191,13.30522954437512,2.453760445682449
2025-09-30,17.067497709456262,17.74282159614315,18.375134904456868,13.323267258723213,2.48337975858867
2025-10-31,17.694794976407326,18.34116472925233,19.08579714242414,13.29183017377665,2.5900267627942517
2025-11-28,17.684952698704738,18.330962924885853,18.934115644843633,13.135789274809113,2.6143645201813293
2025-12-31,18.432356106000338,19.048208409182163,19.552405393418326,13.786238241806124,2.607630127259815
2026-01-30,17.229461970047055,17.732161700868545,18.51582697488445,13.512794056264903,2.5211098366923346
2026-02-27,18.025028194240825,18.15310173337503,19.355040328713773,13.693052354646209,2.530651592113166
2026-03-30,16.289469466766707,16.40521131098163,17.508404016164942,11.965591203952778,2.242399912611282
2026-04-30,19.683668510268166,20.077432359209425,21.033586577340827,14.6050408211313,2.4778578841007133
2026-05-29,21.47338340965584,21.846105948900828,22.635116278012568,15.911857291713824,2.4749576710907184
2026-06-30,22.744501810443268,23.139287685911718,23.975003535462974,16.495074226048935,2.5119504069037064
2026-07-31,21.923317840779365,22.27777153948722,23.218131213968398,16.024605181308974,2.5627505598339595
2026-08-27,23.969291521216487,24.435342638853438,25.466774836143905,17.783762526763585,2.56507728439565
