TICKER,RANK,S_12M,S_9M,S_6M,S_3M,Z_12M,Z_9M,Z_6M,Z_3M,COMPOSITE,1M%,3M%,12M%
ICICIGI,210.0,0.22322355201046803,-0.789916166947253,-0.1604435004129791,-1.4583391871977274,0.2784132480274888,-0.034825824292195516,0.4961608366956028,-0.22482097991451513,0.12873182012909523,-0.6884863891536863,-3.6035572919344006,11.702159344750562
NSLNISP,211.0,0.01702116122907967,-0.32732414980914054,-0.9155339830705373,-0.8476474461789808,0.05395154559168097,0.3684032461596562,-0.015744652121304586,0.09448751117854998,0.12527441270214562,-10.334996436208133,-6.096043791988048,10.221962616822422
LTFOODS,212.0,0.1058593666932873,-0.845549233627392,-0.8150034157782501,-0.31778500659560044,0.15065641290322895,-0.08331967834225522,0.05240896704454306,0.37153330156048653,0.12281975079150083,-9.419003668204951,-2.034809316611208,14.407412942758935
NH,213.0,0.10003975893863791,-0.24301056241351754,-0.4074772724902079,-1.839929640953917,0.14432147634324446,0.4418971418873199,0.3286869421705299,-0.42434074384835657,0.12264120413818443,-0.5384967919339956,-8.103530408087645,12.583082060759331
CESC,214.0,0.11316236549144132,-0.6614470857808036,-0.20575895850299641,-1.4377340287456204,0.15860609543071333,0.07715723261620899,0.4654397082251588,-0.2140472922875953,0.12178893599612145,-0.1876051235606302,-7.043017230991689,11.26415230403115
ATGL,215.0,-0.31578937238088284,-0.7468818803488734,-0.32397357627930334,-0.30804926339079214,-0.30832950594986336,0.0026860106287307887,0.3852973768252167,0.3766237674430135,0.11406941223677441,3.913481807350383,-3.931537027622445,-6.196740299495329
BSOFT,216.0,-0.26598871360626836,-0.4717860620427461,-0.09637519994906277,-1.2097210101002374,-0.25411897711644277,0.24247966679044686,0.5395952533912286,-0.09482758119116308,0.10828209046851742,-14.21832884097035,-11.268587360594795,-0.9980557355800501
GLAND,217.0,-0.057646344485353114,-0.20531319617888738,-1.329409433879537,-0.5429606097305124,-0.02732780032562996,0.47475692628073396,-0.2963270721380882,0.2537971717938774,0.1012248064027233,-11.555602716468593,-2.7648156789547462,7.2129144290446146
BDL,218.0,0.3693120399794396,-1.4057116104385232,-0.46590090919148835,-0.5520121157152074,0.43743793533362696,-0.5715982178230068,0.28907926469223527,0.24906446865747775,0.10099586271508329,4.358502148557397,-4.721871934986699,22.715993683735626
CENTRALBK,219.0,-0.6796853367371886,-0.7644033934225175,0.03715802174609226,-0.1243279684755067,-0.7044486166905951,-0.012587022990191554,0.6301226679132246,0.4726849477746842,0.09644299400178054,-2.9941706412294766,0.35635964912281715,-11.719315167591027
GODIGIT,220.0,0.14838159764021802,-0.5847762131927452,-0.900210258248072,-0.971917501581094,0.19694400594978906,0.14398917856218674,-0.005356097337602749,0.029511220829009623,0.09127207700084568,4.7969901238438695,-1.806698002350171,13.671144363203535
MANKIND,221.0,-0.1288565171763982,-0.5465030473811879,-1.354117484969037,0.11788424880482011,-0.10484366487215563,0.1773508720235682,-0.3130776301985845,0.5993289031932866,0.08968962003652867,7.776550266583415,2.9077233535131253,1.937623514980813
CHOICEIN,222.0,0.7945671613234475,-0.5828296108898817,-1.4624534744537743,-1.619230131985891,0.9003495831797469,0.14568597964833416,-0.3865228515692245,-0.3089450008569715,0.08764192760047126,-15.794247214304225,-10.185185185185187,35.21273275772392
ZENTEC,223.0,0.23227047955388486,-1.7177411679677723,-0.5154989382069826,0.20527401689262123,0.28826128495137504,-0.8435860251665495,0.2554548132249452,0.6450218332115297,0.08628797655532512,5.150791280979394,4.720838599360633,15.977110864106049
PAYTM,224.0,0.894922097948645,0.04720948597427078,-1.4508360565468477,-2.9377385072809803,1.0095909932204814,0.6948741842969385,-0.37864694778150243,-0.9983450557958509,0.08186829348501662,-13.068904144419024,-22.10070631123262,50.208684191257234
IDFCFIRSTB,225.0,0.39399594764580065,-0.5642643318749434,-0.7409469474541338,-1.8376440137876435,0.4643076137915926,0.16186883608019903,0.10261475494440607,-0.4231456725666546,0.07641138306238579,-21.944313355356304,-18.23013224570511,23.709798055347786
UNITDSPR,226.0,-0.16263325420764033,-1.1864171742515743,0.15807103279511514,-0.841234573587896,-0.14161134670178602,-0.38044513177110095,0.7120943460722838,0.097840568921259,0.07196960913016398,-1.9648177046389548,-3.7132506618364314,2.097953756371407
MMTC,227.0,0.04497681470248063,-1.1535397822164208,-0.8722389634492885,-0.00026622133643822496,0.08438268437511867,-0.3517867897806079,0.013606741773305148,0.5375523213128657,0.0709387394201704,-16.06115652437178,3.316564188559723,9.998016266613785
KIRLOSBROS,228.0,-0.12373926328925983,-0.5368991431712982,-1.5714043509055033,0.17825507692665868,-0.09927327592103484,0.18572233807527544,-0.46038492895995003,0.6308946125992556,0.06423968644838654,-1.5637554855059133,-1.1728203537077264,0.912431884425291
LLOYDSME,229.0,-0.015891823531788724,-1.0244495806490104,-0.6667241425734773,-0.4086631076960653,0.018124101672756604,-0.23926231885587926,0.15293330892759216,0.3240164491344413,0.0639528852197277,-5.7701478302336735,-4.387096774193555,5.687288286682124
PHOENIXLTD,230.0,-0.3051465062237508,-0.3627776610190716,0.02076922969415789,-1.8573243091426017,-0.2967442093518283,0.3374993700878679,0.6190120622319861,-0.4334357829316229,0.056582860009100705,-9.975432782951488,-9.4008739650414,0.7158836689038051
UNOMINDA,231.0,0.5051665850626577,-0.2614240918122536,-1.3934266192416451,-2.000006675401523,0.585322459647172,0.4258465615311668,-0.33972683589902863,-0.5080392006882185,0.040850746147772926,-10.15780730897009,-12.178290168060402,19.809492163703823
ASTRAZEN,232.0,0.20287170999864249,-0.9357898732977799,-0.765381017743944,-1.069659945061101,0.25625924152752494,-0.16198002677712028,0.08604993922659968,-0.02159474646520369,0.03968360187795016,0.9914687572054381,-3.0276194166159343,14.12862921875304
SOBHA,233.0,0.11287484536035083,-1.1069684964491093,-0.4289064784576699,-1.053791803225069,0.1582931152665912,-0.31119184742540096,0.31415924197078215,-0.013297872468411603,0.0369906593358902,-12.53066494512588,-5.019277953031887,12.575298076523623
RELIANCE,234.0,0.16758634249744866,-0.6561301777079028,-0.2582211497042293,-2.225048460194877,0.21784933934172565,0.0817918389658331,0.4298735287432588,-0.6257053617130657,0.02595233633443797,-4.8850574712643535,-9.101608473911337,11.403157304271172
YESBANK,235.0,0.4292055697876568,-0.6812419292271364,-0.656674683083923,-2.21926312244019,0.5026350633334428,0.05990259780433836,0.15974623213414657,-0.6226804191031802,0.0249008685421869,-9.41558441558441,-11.307901907356943,20.63001852995676
NEULANDLAB,236.0,0.20143737970625128,-0.20873083303832152,-0.7740516919284313,-2.4488660028138485,0.25469790066205117,0.4717778637744302,0.08017174871999909,-0.7427314110495143,0.015979025526741547,-7.645788336933046,-23.065851025548756,15.87447834805702
LALPATHLAB,237.0,0.1606608798437693,-0.35247518327991123,-1.4443811454001712,-1.2672775943115633,0.21031062394900005,0.3464797639732043,-0.37427091004602525,-0.12492182485381849,0.014399413255590156,-2.7821994601702538,-3.606107394064162,11.261163145284247
BEML,238.0,0.43928136273159396,-1.2626324302763414,-1.4282232129946109,-0.35820109385439164,0.5136030721378828,-0.44687992896290213,-0.363316813184378,0.35040120008984604,0.013451882520112188,-8.579377697024759,-4.365645046329291,26.099385205779857
