date,equity
2021-12-09,1511229.4974625087
2021-12-10,1511233.2983111187
2021-12-13,1512329.1642857464
2021-12-14,1504283.9187044867
2021-12-15,1497524.5601680423
2021-12-16,1500257.4291839183
2021-12-17,1481734.6643624476
2021-12-20,1441793.2700936338
2021-12-21,1458770.8391250833
2021-12-22,1477570.1894790009
2021-12-23,1493129.938605381
2021-12-24,1489460.151206911
2021-12-27,1492101.6046770965
2021-12-28,1507591.101757531
2021-12-29,1504142.7947927946
2021-12-30,1507412.366708105
2021-12-31,1516660.7633976375
2022-01-03,1528007.6088685836
2022-01-04,1527303.0407923204
2022-01-05,1519615.3768366307
2022-01-06,1504516.3493580045
2022-01-07,1509875.6910282208
2022-01-10,1512479.3252284678
2022-01-11,1521793.5676585059
2022-01-12,1524188.574371458
2022-01-13,1528264.6052667
2022-01-14,1530838.0217297976
2022-01-17,1532031.3900348835
2022-01-18,1510562.7572253866
2022-01-19,1495789.9515441577
2022-01-20,1487193.6952183521
2022-01-21,1463494.6937441258
2022-01-24,1430280.3009195514
2022-01-25,1434606.6168430266
2022-01-27,1422609.2342227115
2022-01-28,1425775.777764647
2022-01-31,1433302.3414763282
2022-02-01,1441821.4454163578
2022-02-02,1460312.5232569184
2022-02-03,1445046.7519003982
2022-02-04,1434415.161960886
2022-02-07,1432757.2197038555
2022-02-08,1428805.9810740983
2022-02-09,1436606.5002970402
2022-02-10,1445012.0769590049
2022-02-11,1423562.8487111223
2022-02-14,1393627.4803103209
2022-02-15,1411724.3579439325
2022-02-16,1408410.8791953768
2022-02-17,1405972.5370177503
2022-02-18,1399607.738164768
2022-02-21,1388134.3651994534
2022-02-22,1376975.577703693
2022-02-23,1377050.6409643653
2022-02-24,1311391.833414568
2022-02-25,1350853.8651835213
2022-02-28,1373664.6061148238
2022-03-02,1379199.981650923
2022-03-03,1381491.7841846205
2022-03-04,1365779.3790781407
2022-03-07,1357895.7820286206
2022-03-08,1362689.8738536192
2022-03-09,1370945.7096891955
2022-03-10,1377449.8254007143
2022-03-11,1386424.268397332
2022-03-14,1390198.1908107651
2022-03-15,1373294.8411778
2022-03-16,1389225.4043499385
2022-03-17,1400751.2418658219
2022-03-21,1395182.7203635462
2022-03-22,1402596.3785944867
2022-03-23,1400800.379032251
2022-03-24,1401211.3397281505
2022-03-25,1399104.6895050472
2022-03-28,1407438.5574443077
2022-03-29,1399535.1401613122
2022-03-30,1401520.4226452555
2022-03-31,1403557.585592256
2022-04-01,1436928.560028372
2022-04-04,1445201.220114582
2022-04-05,1452549.6321889604
2022-04-06,1460752.4041131963
2022-04-07,1458865.7107082545
2022-04-08,1463732.4580581672
2022-04-11,1465639.2925200034
2022-04-12,1459533.9093110957
2022-04-13,1463657.9071986063
2022-04-18,1472520.4723424562
2022-04-19,1470255.8934191996
2022-04-20,1470435.269709501
2022-04-21,1475774.7111978
2022-04-22,1468711.1740884255
2022-04-25,1453221.481905881
2022-04-26,1458054.4396680235
2022-04-27,1452503.0726082711
2022-04-28,1460107.0005624522
2022-04-29,1448097.122118996
2022-05-02,1446840.6629743334
2022-05-04,1431121.3627731102
2022-05-05,1432900.9439492994
2022-05-06,1427091.320671236
2022-05-09,1414398.0470728597
2022-05-10,1395342.083215469
2022-05-11,1383910.563622852
2022-05-12,1363345.4547937175
2022-05-13,1362894.5123206032
2022-05-16,1367898.340331207
2022-05-17,1380238.1130999676
2022-05-18,1378948.3388034685
2022-05-19,1377057.7982539153
2022-05-20,1391613.6279431044
2022-05-23,1387502.1069660452
2022-05-24,1381193.5067319102
2022-05-25,1380598.724995436
2022-05-26,1383101.7328545447
