Date,PortfolioValue
2025-01-24,-96742.57999999994
2025-01-27,-96742.57999999994
2025-01-28,-96742.57999999994
2025-01-29,-96742.57999999994
2025-01-30,-96742.57999999994
2025-01-31,-96742.57999999994
2025-02-03,-96742.57999999994
2025-02-04,-96742.57999999994
2025-02-05,-96742.57999999994
2025-02-06,-96742.57999999994
2025-02-07,-96742.57999999994
2025-02-10,-96742.57999999994
2025-02-11,-96742.57999999994
2025-02-12,-96742.57999999994
2025-02-13,-96742.57999999994
2025-02-14,-96742.57999999994
2025-02-17,-96742.57999999994
2025-02-18,-96742.57999999994
2025-02-19,-96742.57999999994
2025-02-20,-96742.57999999994
2025-02-21,-96742.57999999994
2025-02-24,-96742.57999999994
2025-02-25,-96742.57999999994
2025-02-26,-96742.57999999994
2025-02-27,-96742.57999999994
2025-02-28,-96742.57999999994
2025-03-03,-96742.57999999994
2025-03-04,-96742.57999999994
2025-03-05,-96742.57999999994
2025-03-06,-96742.57999999994
2025-03-07,-96742.57999999994
2025-03-10,-96742.57999999994
2025-03-11,-96742.57999999994
2025-03-12,-96742.57999999994
2025-03-13,-96742.57999999994
2025-03-14,-96742.57999999994
2025-03-17,-96742.57999999994
2025-03-18,-96742.57999999994
2025-03-19,-96742.57999999994
2025-03-20,-96742.57999999994
2025-03-21,-96742.57999999994
2025-03-24,-96742.57999999994
2025-03-25,-96742.57999999994
2025-03-26,-96742.57999999994
2025-03-27,-96742.57999999994
2025-03-28,-96742.57999999994
2025-03-31,-96742.57999999994
2025-04-01,-96742.57999999994
2025-04-02,-96742.57999999994
2025-04-03,-96742.57999999994
2025-04-04,-96742.57999999994
2025-04-07,-96742.57999999994
2025-04-08,-96742.57999999994
2025-04-09,-96742.57999999994
2025-04-10,-96742.57999999994
2025-04-11,-96742.57999999994
2025-04-14,-96742.57999999994
2025-04-15,-96742.57999999994
2025-04-16,-96742.57999999994
2025-04-17,-96742.57999999994
2025-04-21,-96742.57999999994
2025-04-22,-96742.57999999994
2025-04-23,-96742.57999999994
2025-04-24,-96742.57999999994
2025-04-25,-96742.57999999994
2025-04-28,-96742.57999999994
2025-04-29,-96742.57999999994
2025-04-30,-96742.57999999994
2025-05-01,-96742.57999999994
2025-05-02,-96742.57999999994
2025-05-05,-96742.57999999994
2025-05-06,-96742.57999999994
2025-05-07,-96742.57999999994
2025-05-08,-96742.57999999994
2025-05-09,-96742.57999999994
2025-05-12,-96742.57999999994
2025-05-13,-96742.57999999994
2025-05-14,-96742.57999999994
2025-05-15,-96742.57999999994
2025-05-16,-96742.57999999994
2025-05-19,-96742.57999999994
2025-05-20,-96742.57999999994
2025-05-21,-96742.57999999994
2025-05-22,-96742.57999999994
2025-05-23,-96742.57999999994
2025-05-26,-96742.57999999994
2025-05-27,-96742.57999999994
2025-05-28,-96742.57999999994
2025-05-29,-96742.57999999994
2025-05-30,-96742.57999999994
2025-06-02,-96742.57999999994
2025-06-03,-96742.57999999994
2025-06-04,-96742.57999999994
2025-06-05,-96742.57999999994
2025-06-06,-96742.57999999994
2025-06-09,-96742.57999999994
2025-06-10,-96742.57999999994
2025-06-11,-96742.57999999994
2025-06-12,-96742.57999999994
2025-06-13,-96742.57999999994
2025-06-16,-96742.57999999994
2025-06-17,-96742.57999999994
2025-06-18,-96742.57999999994
2025-06-19,-96742.57999999994
2025-06-20,-96742.57999999994
2025-06-23,-96742.57999999994
2025-06-24,-96742.57999999994
2025-06-25,-96742.57999999994
2025-06-26,-96742.57999999994
2025-06-27,-96742.57999999994
2025-06-30,-96742.57999999994
2025-07-01,-96742.57999999994
2025-07-02,-96742.57999999994
2025-07-03,-96742.57999999994
2025-07-04,-96742.57999999994
2025-07-07,-96742.57999999994
2025-07-08,-96742.57999999994
2025-07-09,-96742.57999999994
2025-07-10,-96742.57999999994
2025-07-11,-96742.57999999994
2025-07-14,-96742.57999999994
2025-07-15,-96742.57999999994
2025-07-16,-96742.57999999994
2025-07-17,-96742.57999999994
2025-07-18,-96742.57999999994
2025-07-21,-96742.57999999994
2025-07-22,-96742.57999999994
2025-07-23,-96742.57999999994
2025-07-24,-96742.57999999994
2025-07-25,-96742.57999999994
2025-07-28,-96742.57999999994
2025-07-29,-96742.57999999994
2025-07-30,-96742.57999999994
2025-07-31,-96742.57999999994
2025-08-01,-96742.57999999994
2025-08-04,-96742.57999999994
2025-08-05,-96742.57999999994
2025-08-06,-96742.57999999994
2025-08-07,-96742.57999999994
2025-08-08,-96742.57999999994
2025-08-11,-96742.57999999994
2025-08-12,-96742.57999999994
2025-08-13,-96742.57999999994
2025-08-14,-96742.57999999994
2025-08-15,-96742.57999999994
2025-08-18,-96742.57999999994
2025-08-19,-96742.57999999994
2025-08-20,-96742.57999999994
2025-08-21,-96742.57999999994
2025-08-22,-96742.57999999994
2025-08-25,-96742.57999999994
2025-08-26,-96742.57999999994
2025-08-27,-96742.57999999994
2025-08-28,-96742.57999999994
2025-08-29,-96742.57999999994
2025-09-01,-96742.57999999994
2025-09-02,-96742.57999999994
2025-09-03,-96742.57999999994
2025-09-04,-96742.57999999994
2025-09-05,-96742.57999999994
2025-09-08,-96742.57999999994
2025-09-09,-96742.57999999994
2025-09-10,-96742.57999999994
2025-09-11,-96742.57999999994
2025-09-12,-96742.57999999994
2025-09-15,-96742.57999999994
2025-09-16,-96742.57999999994
2025-09-17,-96742.57999999994
2025-09-18,-96742.57999999994
2025-09-19,-96742.57999999994
2025-09-22,-96742.57999999994
2025-09-23,-96742.57999999994
2025-09-24,-96742.57999999994
2025-09-25,-96742.57999999994
2025-09-26,-96742.57999999994
2025-09-29,-96742.57999999994
2025-09-30,-96742.57999999994
2025-10-01,-96742.57999999994
2025-10-02,-96742.57999999994
2025-10-03,-96742.57999999994
2025-10-06,-96742.57999999994
2025-10-07,-96742.57999999994
2025-10-08,-96742.57999999994
2025-10-09,-96742.57999999994
2025-10-10,-96742.57999999994
2025-10-13,-96742.57999999994
2025-10-14,-96742.57999999994
2025-10-15,-96742.57999999994
2025-10-16,-96742.57999999994
2025-10-17,-96742.57999999994
2025-10-20,-96742.57999999994
2025-10-21,-96742.57999999994
2025-10-22,-96742.57999999994
2025-10-23,-96742.57999999994
2025-10-24,-96742.57999999994
2025-10-27,-96742.57999999994
2025-10-28,-96742.57999999994
2025-10-29,-96742.57999999994
2025-10-30,-96742.57999999994
2025-10-31,-96742.57999999994
2025-11-03,-96742.57999999994
2025-11-04,-96742.57999999994
2025-11-05,-96742.57999999994
2025-11-06,-96742.57999999994
2025-11-07,-96742.57999999994
2025-11-10,-96742.57999999994
2025-11-11,-96742.57999999994
2025-11-12,-96742.57999999994
2025-11-13,-96742.57999999994
2025-11-14,-96742.57999999994
2025-11-17,-96742.57999999994
2025-11-18,-96742.57999999994
2025-11-19,-96742.57999999994
2025-11-20,-96742.57999999994
2025-11-21,-96742.57999999994
2025-11-24,-96742.57999999994
2025-11-25,-96742.57999999994
2025-11-26,-96742.57999999994
2025-11-27,-96742.57999999994
2025-11-28,-96742.57999999994
2025-12-01,-96742.57999999994
2025-12-02,-96742.57999999994
2025-12-03,-96742.57999999994
2025-12-04,-96742.57999999994
2025-12-05,-96742.57999999994
2025-12-08,-96742.57999999994
2025-12-09,-96742.57999999994
2025-12-10,-96742.57999999994
2025-12-11,-96742.57999999994
2025-12-12,-96742.57999999994
2025-12-15,-96742.57999999994
2025-12-16,-96742.57999999994
2025-12-17,-96742.57999999994
2025-12-18,-96742.57999999994
2025-12-19,-96742.57999999994
2025-12-22,-96742.57999999994
2025-12-23,-96742.57999999994
2025-12-24,-96742.57999999994
2025-12-25,-96742.57999999994
2025-12-26,-96742.57999999994
2025-12-29,-96742.57999999994
2025-12-30,-96742.57999999994
2025-12-31,-96742.57999999994
2026-01-01,-96742.57999999994
2026-01-02,-96742.57999999994
2026-01-05,-96742.57999999994
2026-01-06,-96742.57999999994
2026-01-07,-96742.57999999994
2026-01-08,-96742.57999999994
2026-01-09,-96742.57999999994
2026-01-12,-96742.57999999994
2026-01-13,-96742.57999999994
2026-01-14,-96742.57999999994
2026-01-15,-96742.57999999994
2026-01-16,-96742.57999999994
2026-01-19,-96742.57999999994
2026-01-20,-96742.57999999994
2026-01-21,-96742.57999999994
2026-01-22,-96742.57999999994
2026-01-23,-96742.57999999994
2026-01-26,-96742.57999999994
2026-01-27,-96742.57999999994
2026-01-28,-96742.57999999994
2026-01-29,-96742.57999999994
2026-01-30,-96742.57999999994
2026-02-02,-96742.57999999994
2026-02-03,-96742.57999999994
2026-02-04,-96742.57999999994
2026-02-05,-96742.57999999994
2026-02-06,-96742.57999999994
2026-02-09,-96742.57999999994
2026-02-10,-96742.57999999994
2026-02-11,-96742.57999999994
2026-02-12,-96742.57999999994
2026-02-13,-96742.57999999994
2026-02-16,-96742.57999999994
2026-02-17,-96742.57999999994
2026-02-18,-96742.57999999994
2026-02-19,-96742.57999999994
2026-02-20,-96742.57999999994
2026-02-23,-96742.57999999994
2026-02-24,-96742.57999999994
2026-02-25,-96742.57999999994
2026-02-26,-96742.57999999994
2026-02-27,-96742.57999999994
2026-03-02,-96742.57999999994
2026-03-03,-96742.57999999994
2026-03-04,-96742.57999999994
2026-03-05,-96742.57999999994
2026-03-06,-96742.57999999994
2026-03-09,-96742.57999999994
2026-03-10,-96742.57999999994
2026-03-11,-96742.57999999994
2026-03-12,-96742.57999999994
2026-03-13,-96742.57999999994
2026-03-16,-96742.57999999994
2026-03-17,-96742.57999999994
2026-03-18,-96742.57999999994
2026-03-19,-96742.57999999994
2026-03-20,-96742.57999999994
2026-03-23,-96742.57999999994
2026-03-24,-96742.57999999994
2026-03-25,-96742.57999999994
2026-03-26,-96742.57999999994
2026-03-27,-96742.57999999994
2026-03-30,-96742.57999999994
2026-03-31,-96742.57999999994
2026-04-01,-96742.57999999994
2026-04-02,-96742.57999999994
2026-04-03,-96742.57999999994
