Rebalance_Date,State,Regime,Exposure,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2024-03-01,Bull,Bull (exp=1.00),1.0,625,8.951168060305568,-0.004180675613402668,-0.004538722335814891,0.004176945227962969,25607755.290587477,4755458.591500129,"AURIONPRO, JAIBALAJI, ANANDRATHI, RECLTD, BSE, CUPID, BSOFT, ELECTCAST, TRENT, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC, GVT&D, MEDANTA, WEBELSOLAR, BAJAJ-AUTO, KPIGREEN, TMPV"
2024-03-08,Bull,Bull (exp=1.00),1.0,612,9.13141088944102,-0.06460878429324936,-0.064974040728827,-0.029831463973222117,23943915.955363013,4613596.299851643,"AURIONPRO, JAIBALAJI, ANANDRATHI, RECLTD, BSE, CUPID, BSOFT, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, WEBELSOLAR, BAJAJ-AUTO, KPIGREEN, TMPV, TATAINVEST, LUPIN"
2024-03-15,Correction,Correction (exp=0.50),0.5012434996328615,548,23.626317621242315,0.007885065929701163,0.006940013224851471,0.00854468050763657,24110087.04874796,4653018.00622509,"AURIONPRO, JAIBALAJI, ANANDRATHI, RECLTD, BSE, CUPID, BSOFT, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, TATAINVEST, LUPIN, ZYDUSLIFE"
2024-03-22,Correction,Correction (exp=0.50),0.5013052953951045,573,4.331466371047006,0.015030789633250633,0.014857530978408754,0.013031018374961345,24468303.413966864,4713651.569363235,"AURIONPRO, ANANDRATHI, RECLTD, BSE, CUPID, BSOFT, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, ZYDUSLIFE, FORCEMOT, WEBELSOLAR"
2024-03-29,Bull,Bull (exp=1.00),1.0,561,21.062721890627518,0.04601537854902761,0.04517286967340251,0.02270780517547366,25573606.89521526,4820688.250865401,"AURIONPRO, ANANDRATHI, RECLTD, BSE, CUPID, BSOFT, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, ZYDUSLIFE, FORCEMOT, WEBELSOLAR"
2024-04-05,Bull,Bull (exp=1.00),1.0,617,0.7824918048321687,0.0108929550246991,0.010861655352505812,0.0014675285178444852,25851378.599431556,4827762.748349183,"AURIONPRO, ANANDRATHI, RECLTD, BSE, CUPID, BSOFT, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, ZYDUSLIFE, FORCEMOT, WEBELSOLAR"
2024-04-12,Bull,Bull (exp=1.00),1.0,609,8.871760547439521,0.004797717159583955,0.004442846737686374,-0.017367621893904617,25966232.31250674,4743915.990342377,"AURIONPRO, ANANDRATHI, BSE, CUPID, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, ZYDUSLIFE, FORCEMOT, WEBELSOLAR, JAIBALAJI, TARIL"
2024-04-19,Bull,Bull (exp=1.00),1.0,595,0.9143628120045537,0.040395799896458154,0.04035922538397797,0.022278417675568374,27014209.33477993,4849602.932193032,"AURIONPRO, ANANDRATHI, BSE, CUPID, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, ZYDUSLIFE, FORCEMOT, WEBELSOLAR, JAIBALAJI, TARIL"
2024-04-26,Bull,Bull (exp=1.00),1.0,619,5.17058511291561,-0.004365995773384665,-0.004572819177901289,0.005767934220597182,26890678.24025801,4877575.122901936,"AURIONPRO, ANANDRATHI, BSE, CUPID, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, FORCEMOT, WEBELSOLAR, JAIBALAJI, TARIL, MOTILALOFS"
2024-05-03,Correction,Correction (exp=0.50),0.5016148071704759,613,21.493495372577275,-0.01705360443759186,-0.01791334425249495,-0.023399834443010525,26408976.26375719,4763440.672542684,"AURIONPRO, ANANDRATHI, BSE, CUPID, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, FORCEMOT, WEBELSOLAR, JAIBALAJI, TARIL, MOTILALOFS"
