Date,PortfolioValue
2025-11-25,363517.20000000007
2025-11-26,371022.5
2025-11-27,368293.1
2025-11-28,366631.7
2025-12-01,363373.9
2025-12-02,361601.20000000007
2025-12-03,362649.6
2025-12-04,361459.6
2025-12-05,363158.80000000005
2025-12-08,358311.0
2025-12-09,356115.10000000003
2025-12-10,352880.9
2025-12-11,358886.60000000003
2025-12-12,364112.9
2025-12-15,364673.6
2025-12-16,362247.10000000003
2025-12-17,356747.2
2025-12-18,352777.80000000005
2025-12-19,365563.9
2025-12-22,366930.2
2025-12-23,364039.2
2025-12-24,370216.1
2025-12-25,365563.9
2025-12-26,364160.7
2025-12-29,362025.1
2025-12-30,361050.10000000003
2025-12-31,369232.9
2026-01-01,380510.30000000005
2026-01-02,381141.1
2026-01-05,380009.7
2026-01-06,384686.80000000005
2026-01-07,382264.30000000005
2026-01-08,376567.0
2026-01-09,373849.6
2026-01-12,371935.2
2026-01-13,372201.6
2026-01-14,379663.1
2026-01-15,373849.6
2026-01-16,373870.5
2026-01-19,367660.4
2026-01-20,-19650.09999999999
2026-01-21,-19650.09999999999
2026-01-22,-19650.09999999999
2026-01-23,-19650.09999999999
2026-01-26,-19650.09999999999
2026-01-27,-19650.09999999999
2026-01-28,-19650.09999999999
2026-01-29,-19650.09999999999
2026-01-30,-19650.09999999999
2026-02-02,-19650.09999999999
2026-02-03,-19650.09999999999
2026-02-04,-19650.09999999999
2026-02-05,-19650.09999999999
2026-02-06,-19650.09999999999
2026-02-09,-19650.09999999999
2026-02-10,-19650.09999999999
2026-02-11,-19650.09999999999
2026-02-12,-19650.09999999999
2026-02-13,-19650.09999999999
2026-02-16,-19650.09999999999
2026-02-17,-19650.09999999999
2026-02-18,-19650.09999999999
2026-02-19,-19650.09999999999
2026-02-20,-19650.09999999999
2026-02-23,-19650.09999999999
2026-02-24,-19650.09999999999
2026-02-25,-19650.09999999999
2026-02-26,-19650.09999999999
2026-02-27,-19650.09999999999
2026-03-02,-19650.09999999999
2026-03-03,-19650.09999999999
2026-03-04,-19650.09999999999
2026-03-05,-19650.09999999999
2026-03-06,-19650.09999999999
2026-03-09,-19650.09999999999
2026-03-10,-19650.09999999999
2026-03-11,-19650.09999999999
2026-03-12,-19650.09999999999
2026-03-13,-19650.09999999999
2026-03-16,-19650.09999999999
2026-03-17,-19650.09999999999
2026-03-18,-19650.09999999999
2026-03-19,-19650.09999999999
2026-03-20,-19650.09999999999
2026-03-23,-19650.09999999999
2026-03-24,-19650.09999999999
2026-03-25,-19650.09999999999
2026-03-26,-19650.09999999999
2026-03-27,-19650.09999999999
2026-03-30,-19650.09999999999
2026-03-31,-19650.09999999999
2026-04-01,-19650.09999999999
2026-04-02,-19650.09999999999
2026-04-03,-19650.09999999999
