CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"15,455","12,622","3,86,521",17.93,115.70,-307.35,65,115.85,116.70,780,"23,450.00",130,467.10,470.15,130,357.65,470.15,29.21,"1,11,627","-9,120","5,345",
,"71,651","48,627","12,77,695",18.05,102.20,-284.50,130,101.50,102.20,910,"23,500.00",260,502.55,508.65,780,376.85,501.70,29.70,"3,88,551","-45,535","28,113",
,"14,789","10,219","3,78,250",18.12,89.05,-260.25,"1,755",89.00,89.80,"1,170","23,550.00",520,537.45,545.70,780,406.90,544.60,30.21,"63,986","-12,895","7,680",
,"45,453","14,363","7,82,622",18.20,77.00,-240.80,780,76.50,77.35,325,"23,600.00",260,577.35,583.10,195,430.90,583.15,30.73,"1,29,539","-33,507","20,726",
,"14,276","5,646","3,99,347",18.36,67.05,-217.30,260,67.05,67.95,715,"23,650.00",520,620.65,625.60,520,460.45,629.15,31.58,"51,605","-13,802","7,688",
,"39,329","-2,583","7,55,527",18.51,58.75,-193.45,585,58.80,59.85,780,"23,700.00",260,657.95,664.25,520,477.10,664.60,32.19,"1,45,375","-43,444","12,341",
,"19,699",-501,"3,81,064",18.75,52.25,-171.45,390,51.30,52.25,390,"23,750.00",520,700.90,708.15,260,498.15,705.95,33.01,"57,139","-18,727","4,631",
,"65,975","13,693","9,41,119",18.92,44.50,-154.30,520,44.30,44.60,"41,535","23,800.00",260,743.40,749.85,260,519.90,748.20,33.99,"1,08,751","-33,537","14,934",
,"21,841",354,"3,52,215",19.28,39.00,-133.90,195,38.90,39.55,715,"23,850.00",260,791.35,797.45,260,539.25,791.40,34.92,"25,919","-9,063","4,092",
,"58,055","29,755","5,92,715",19.49,34.85,-113.90,260,34.10,34.85,260,"23,900.00",260,833.60,841.80,975,553.55,833.60,35.79,"28,102","-8,691","3,402",
,"17,550","5,288","2,96,600",19.86,30.25,-96.05,780,29.50,30.25,390,"23,950.00",780,880.35,888.80,520,575.80,886.15,35.22,"8,004","-2,177","1,219",
