Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%),Reason
TATACONSUM,2026-01-28,1180.0150802883525,2026-01-28,1128.99,-4.32,ATR Hard Stop
AUROPHARMA,2026-02-02,1172.0999755859375,2026-02-10,1109.99,-5.3,ATR Hard Stop
RRKABEL,2026-02-25,1515.1806078975496,2026-03-05,1429.87,-5.63,ATR Hard Stop
AXISBANK,2026-01-28,1348.0,2026-03-09,1282.2,-4.88,ATR Trailing Stop
APLAPOLLO,2026-01-27,2030.5999755859375,2026-03-10,2137.7,5.27,ATR Trailing Stop
HINDALCO,2026-03-06,955.0,2026-03-20,891.59,-6.64,ATR Hard Stop
PRIVISCL,2026-04-15,2980.0,2026-05-13,3219.8,8.05,ATR Trailing Stop
TITAN,2026-05-11,4350.39990234375,2026-05-12,4146.57,-4.69,ATR Hard Stop
JAINREC,2026-04-29,449.75,2026-05-19,452.95,0.71,ATR Trailing Stop
GMRAIRPORT,2026-06-01,101.0,2026-06-02,95.81,-5.14,ATR Hard Stop
COALINDIA,2026-05-28,463.04998779296875,2026-06-12,453.35,-2.09,ATR Trailing Stop
