,RS_12M_before,RS_9M_before,RS_6M_before,RS_3M_before,RZ_12M_before,RZ_9M_before,RZ_6M_before,RZ_3M_before,RES_MOM_before,RS_12M_after,RS_9M_after,RS_6M_after,RS_3M_after,RZ_12M_after,RZ_9M_after,RZ_6M_after,RZ_3M_after,RES_MOM_after,RANK_before,COMPOSITE_before,RANK_after,COMPOSITE_after
AARTIPHARM,-0.224131899944982,0.6827353995402285,0.7907136203943074,2.7436496847819836,-0.14462774247450977,0.5019701226744119,0.35739275553409056,1.3359725636612725,0.5126769248488163,-1.068862327814567,-0.8288774636211707,-0.9886764377236102,-1.6104775900843042,-0.8671919652169686,-0.661912804387776,-0.9202565724924223,-0.7867475307834934,-0.8090272182201651,199.0,1.5368238319121672,199.0,1.5368238319121672
CHOLAFIN,1.137201608682366,0.833367239100713,1.0862587426555939,2.9635589245486034,1.058499288617328,0.6271270903941258,0.5647159832201133,1.4425312504702796,0.9232184031754618,1.0836627293134566,0.8553359016506746,0.8095447728329993,0.8995626890627605,1.0373326090019241,0.7388354547116278,0.3769868438003491,0.5193004544550595,0.6681138404922402,200.0,1.520301459212511,200.0,1.520301459212511
LODHA,0.025386733520128824,0.2859147688026918,0.8404156633841874,2.8651274376712297,0.07589324726126027,0.1722598368766201,0.3922584569079114,1.3948355283921978,0.5088117673594974,-0.11363463513221957,0.1368741064032283,0.869022013649685,1.9823013444104989,-0.022019636716756788,0.14129589726971517,0.4198939447820035,1.0826813097763697,0.4054628787778329,201.0,1.5196459974994476,201.0,1.5196459974994476
PRIVISCL,1.0218401734409313,0.3710475347785036,1.3479723957977485,-0.3690326629797218,0.9565445066297243,0.24299494091713258,0.7483066271251138,-0.17230123048701326,0.4438862110462394,1.2971775610120908,1.1720534834192262,2.3328185240168215,0.3321737300174381,1.2262475963483754,1.0022472114618568,1.4758821484125948,0.2240712452012723,0.9821120503560248,202.0,1.5174308512751504,202.0,1.5174308512751504
APOLLOHOSP,0.9810549804371765,1.3137522037060219,1.47799486757328,0.4713843091695489,0.9204991379818954,1.0262693015200857,0.839516653918877,0.2349291751988404,0.7553035671549246,1.1180514142228524,1.1002992600160326,2.405889184738069,3.073354385681115,1.0677592445795836,0.9425697349689481,1.5285955926698007,1.6503883853074848,1.2973282393814543,203.0,1.5131361499814857,203.0,1.5131361499814857
AARTIIND,1.3084770608947478,1.8854109557127046,1.3302022591909124,0.8340002575860236,1.209870076901952,1.5012490679516277,0.735840977042438,0.4106374779525995,0.9643993999621544,1.2602981465735934,1.7317020818644322,2.709131503073463,0.20354183844029197,1.1936171975298664,1.4677029643634563,1.7473557200070724,0.15714027830505842,1.1414540400513633,204.0,1.5108009871760615,204.0,1.5108009871760615
POWERINDIA,1.1613100933157134,1.4659028684083804,1.6409463987310362,-1.61116762286394,1.079806021579693,1.1526882305210806,0.953826229179395,-0.774187128074988,0.6030333383012951,1.3036425854075646,2.0539596582689548,3.0448963689758073,-1.1867445079466352,1.231967761042083,1.7357222951905622,1.989577733159402,-0.5662667110920736,1.0977502695749934,205.0,1.5103983745825331,205.0,1.5103983745825331
SPLPETRO,-0.5637568047931092,0.5147515016128809,0.5686539633493997,1.9167584767377892,-0.44478336258172674,0.36239567844223675,0.20161916507469546,0.9352961693605472,0.26363191257393814,-1.0636378530335129,-0.7612517663954745,0.7856415760710879,-1.2829655196085998,-0.8625694217650561,-0.6056689937088436,0.3597429894593461,-0.6163333412823381,-0.43120719182422296,206.0,1.5065585831814747,206.0,1.5065585831814747
ANANTRAJ,0.3643417778312618,0.2690784590903448,0.5147960996728239,1.7285718558962737,0.3754568542328188,0.15827088555440508,0.16383817905040296,0.8441089176871852,0.385418709131203,0.16182160330122664,-0.4179598955444444,0.2672565726631823,0.4920040068473287,0.22170025563996895,-0.32015559001967253,-0.0142218647132165,0.3072356520707639,0.048639613244460964,207.0,1.5029326819846165,207.0,1.5029326819846165
SAREGAMA,0.04546929425382057,0.6487154497172323,1.3822304891535657,-0.10099598413710796,0.09364192641969135,0.47370363018353745,0.772338485389443,-0.042422028756209394,0.3243155033091156,0.18406131812032134,0.4563371304930009,1.6057806140507571,2.1465704756118695,0.24137764952503662,0.4069910188424809,0.9513943175706936,1.1681553834893785,0.6919795923568974,208.0,1.502399655630914,208.0,1.502399655630914
CGPOWER,1.2207669212194576,1.2388499686871828,1.574752526462436,-0.5840756416314896,1.132353113369198,0.9640345400132198,0.9073916030662637,-0.27650193363594927,0.681819330703183,1.253749189140187,1.0008769650947649,2.462712336715794,0.2642475877685641,1.1878227700382407,0.859880920476519,1.569588024170089,0.1887272700602378,0.9515047461862716,209.0,1.5002565449186265,209.0,1.5002565449186265
JSFB,0.15008239072958443,0.3869236268453915,1.1185840506873803,0.35509189055135865,0.18609748075561527,0.25618606669856364,0.5873920035374777,0.17857880344116098,0.3020635886082044,0.19572206015594273,0.29135297329361554,0.9965552920150795,0.7627931350076457,0.2516949137477812,0.269774870496146,0.5118969223614591,0.4481352217694878,0.3703754820937185,210.0,1.4906012187313586,210.0,1.4906012187313586
SHAREINDIA,-0.15597682559940587,-0.20287125276726908,0.2925158457569387,1.9812505645996334,-0.08439326522733068,-0.2338626436160578,0.00790984113668149,0.9665462987294741,0.16405005775569176,-0.35832816983282956,0.25655175532474067,-0.008173003772473845,0.8749453146707677,-0.23852111178510385,0.2408309454035126,-0.21291777742179008,0.5064913085247597,0.07397084118034458,211.0,1.4902821966357602,211.0,1.4902821966357602
BRIGADE,-0.16539377986622933,0.3725470575484919,1.4267959273027155,3.0221955371307403,-0.09271583435324231,0.24424086424560018,0.8036008875892503,1.4709440649673513,0.6065174956122399,-0.9038107589122782,-0.6121841334342182,0.1182319849616511,-0.5621038547319063,-0.7211566064429332,-0.4816905051965845,-0.12172875214544555,-0.24124775685186098,-0.3914559051592061,212.0,1.4860305523352784,212.0,1.4860305523352784
VIYASH,0.7960887722973631,0.34924235848416546,0.5698906539817302,-0.25476524700426023,0.7570286559572837,0.22487745822850533,0.20248669654191137,-0.11693208908883547,0.26686518040971624,1.0159123626234128,0.5364856765320181,1.0501931751232916,1.2811367112862935,0.9773880160940539,0.4736499936781193,0.5505914891464163,0.7178446718864074,0.6798685427012492,213.0,1.4842503294074971,213.0,1.4842503294074971
OPTIEMUS,-0.028372333532239013,0.23777069592637687,1.26478393735861,2.3865255228189115,0.028381754796640714,0.13225789444228497,0.6899503951634202,1.1629253476055126,0.5033788480019646,-0.1535618898268923,-0.5833297683781535,0.875481597690085,1.6118785385092773,-0.05734672268738863,-0.4576925353115887,0.42455391254303604,0.8899393990775906,0.1998635134054123,214.0,1.4819725778320865,214.0,1.4819725778320865
EMMVEE,,0.9476108428701089,1.146603157669845,-0.4350586649803768,0.0,0.7220498044157437,0.6070472482325632,-0.20429462956340178,0.2812006057712263,,,1.1262549815914817,1.0820725968351295,0.0,0.0,0.6054627569820642,0.6142657421886794,0.3049321247926859,215.0,1.4797427827604555,215.0,1.4797427827604555
TRIVENI,0.40323179259904307,0.5923514291518451,0.6548761017715061,1.2366872083953062,0.40982729153576675,0.4268718984391816,0.26210350634512386,0.6057624882472953,0.4261412961418418,-0.20664803051968947,-0.07309257336381984,0.17536833883443992,-1.2549202507200508,-0.10431661005992873,-0.03333189468175349,-0.08051037564241968,-0.6017405607474337,-0.2049748602828839,216.0,1.478184420786343,216.0,1.478184420786343
ASTERDM,0.1412594173287467,-0.07824589002551038,0.47797463077981417,0.21792694723611092,0.1782998634003681,-0.1303139347425606,0.13800812737967966,0.11211449183962861,0.07452713696927894,0.5768480336964696,0.22977597396235253,1.7945894972714143,2.770091643157337,0.5889099348121616,0.21856171877061645,1.0876017425847573,1.49259183631916,0.8469163081216737,217.0,1.4771889885176148,217.0,1.4771889885176148
AUBANK,1.1334629706841999,1.024023635011455,0.5077842341048573,0.5252391956428051,1.0551951339729628,0.7855396574727898,0.1589193951079425,0.2610249681129016,0.5651697886666492,1.088475506933839,1.3975097426233318,0.39420208135349144,0.16272341272925417,1.0415908884667398,1.1897575762975146,0.07735709365390597,0.13590124755985222,0.6111517014945032,218.0,1.4753013994562958,218.0,1.4753013994562958
