,equity
2022-06-22,978550.452527222
2022-06-23,978550.452527222
2022-06-24,978550.452527222
2022-06-27,978550.452527222
2022-06-28,978550.452527222
2022-06-29,978550.452527222
2022-06-30,978550.452527222
2022-07-01,978550.452527222
2022-07-04,978550.452527222
2022-07-05,978550.452527222
2022-07-06,978550.452527222
2022-07-13,978550.452527222
2022-07-14,978550.452527222
2022-07-21,978059.6130292825
2022-07-27,973493.5921337823
2022-08-25,985500.7951757438
2022-08-29,984088.4016107891
2022-08-30,986289.6585140462
2022-09-01,987991.410310833
2022-09-02,989604.0269841432
2022-09-05,986271.960480625
2022-09-06,975217.7009133643
2022-09-07,982072.2433480567
2022-09-08,1003072.4170693702
2022-09-09,1008116.5508736914
2022-09-12,1009797.1550301856
2022-09-13,1006307.3273629493
2022-09-14,1014611.7526254004
2022-09-15,1020136.0928963965
2022-09-16,1000222.0565041846
2022-09-19,1020165.3525094336
2022-09-20,1019553.8558511084
2022-09-21,1008212.7983865088
2022-09-22,1018820.7689980811
2022-09-23,996755.6118117322
2022-09-26,961329.2229917858
2022-09-27,955243.2512894098
2022-09-28,953568.9040070002
2022-09-29,960208.4332886164
2022-09-30,978771.9284439508
2022-10-03,972433.02469273
2022-10-06,985988.096699367
2022-10-11,975732.4436689715
2022-10-12,976062.8177839618
2022-10-13,969167.5334669452
2022-10-14,968585.1624647479
2022-10-27,994449.7074078029
2022-10-28,987018.7465813346
2022-11-02,973844.117152164
2022-12-20,1028189.0166223826
2022-12-21,1026207.5957239451
2022-12-22,1025515.1223657908
2022-12-23,1022167.3266199412
2022-12-27,1030531.5219019236
2022-12-28,1031534.9207971873
2022-12-29,1024433.9121301951
2022-12-30,1027615.1647547068
2023-01-02,1028155.576558906
2023-01-04,1025205.9231622996
2023-01-05,1024503.0390375437
2023-01-06,1022479.9822901072
2023-01-09,1024914.0393579783
2023-01-10,1025372.9905298533
2023-01-11,1025639.2962549509
2023-01-12,1023915.8291834177
2023-01-13,1022692.978826362
2023-01-16,1021465.6276148142
2023-01-17,1022129.8153284373
2023-01-18,1021391.2521570505
2023-01-19,1025839.5122583689
2023-01-20,1024186.9612177195
2023-01-23,1024732.2982080759
2023-01-24,1021414.4181574167
2023-01-25,1019451.7395227732
2023-01-27,1019394.4216516794
2023-01-30,1018678.5675257029
2023-01-31,1021969.8140924753
2023-02-01,1023144.1760156931
2023-02-02,1020260.2627008738
2023-02-03,1021516.5688989939
2023-02-06,1022496.4787500681
2023-02-07,1022216.7018945994
2023-02-08,1023594.4308069529
2023-02-09,1024042.9967096628
2023-02-10,1021313.5739343943
2023-02-13,1021912.7406824412
2023-02-14,1021037.8398035349
2023-02-15,1021361.3948267283
2023-02-16,1019957.2805383982
2023-02-17,1017008.4617603526
2023-02-20,1016684.7884205088
2023-02-21,1016478.1842945323
2023-02-22,1016581.4821460948
2023-02-23,1016058.0945728526
2023-02-24,1015947.8984058604
2023-02-27,1015080.1762378917
