Date,Ticker,Action,Reason,Entry Price,Exit Price,Peak Price,PnL %,Days Held
2023-01-13,FERTILISERS AND CHEMICALS TRAVANCORE LTD,SELL,TSL_EXIT,372.122,320.2432,372.122,-13.94,14.0
2023-01-20,CIPLA LIMITED,SELL,TSL_EXIT,1104.3599,1025.2371,1141.9746,-7.16,91.0
2023-01-27,State Bank of India,SELL,TSL_EXIT,570.0147,510.6678,591.5782,-10.41,70.0
2023-01-27,POWER FINANCE CORPORATION LIMITED,SELL,TSL_EXIT,97.0354,93.2664,109.1649,-3.88,42.0
2023-01-27,JM FINANCIAL LIMITED,SELL,TSL_EXIT,63.3444,62.1766,69.3238,-1.84,35.0
2023-01-27,APAR INDUSTRIES LIMITED,SELL,TSL_EXIT,1752.2701,1463.4501,1800.2521,-16.48,28.0
2023-01-27,CRAFTSMAN AUTOMATION LIMITED,SELL,TSL_EXIT,3471.9822,3197.3882,3604.012,-7.91,28.0
2023-01-27,RBL BANK LIMITED,SELL,TSL_EXIT,176.3692,148.1049,183.4967,-16.03,28.0
2023-01-27,INDIAMART INTERMESH LIMITED,BUY,STREAK_6,2147.3755,,2147.3755,,
2023-01-27,JINDAL SAW LIMITED,BUY,STREAK_5,56.6248,,56.6248,,
2023-01-27,HOME FIRST FINANCE COMPANY INDIA LIMITED,BUY,STREAK_5,750.884,,750.884,,
2023-01-27,ZEN TECHNOLOGIES LIMITED,BUY,STREAK_5,191.6689,,191.6689,,
2023-01-27,APL Apollo Tubes Limited,BUY,STREAK_5,1127.569,,1127.569,,
2023-02-03,SWAN CORP LIMITED,SELL,TSL_EXIT,310.6269,272.6042,363.5388,-12.24,28.0
2023-02-03,TIMKEN INDIA LIMITED,BUY,STREAK_5,3053.0002,,3053.0002,,
2023-02-03,HAVELLS INDIA LIMITED,BUY,STREAK_5,1175.1174,,1175.1174,,
2023-02-03,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,BUY,STREAK_5,2714.1135,,2714.1135,,
2023-02-03,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,BUY,STREAK_5,599.6176,,599.6176,,
2023-02-10,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,SELL,TSL_EXIT,304.1226,280.8663,319.6235,-7.65,49.0
2023-02-10,ZYDUS LIFESCIENCES LIMITED,BUY,STREAK_5,462.6588,,462.6588,,
2023-02-17,TORRENT PHARMACEUTICALS LTD,SELL,TSL_EXIT,1457.9695,1443.9547,1627.2976,-0.96,217.0
2023-02-17,BALKRISHNA INDUSTRIES LIMITED,SELL,TSL_EXIT,2016.1132,1991.4415,2282.1721,-1.22,70.0
2023-02-17,HINDUSTAN ZINC LIMITED,SELL,TSL_EXIT,254.4064,266.1765,298.5737,4.63,49.0
2023-02-17,FINOLEX CABLES LIMITED,BUY,STREAK_6,666.8585,,666.8585,,
2023-02-17,POLYCAB INDIA LIMITED,BUY,STREAK_6,2967.436,,2967.436,,
2023-02-17,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,BUY,STREAK_5,246.1622,,246.1622,,
2023-03-03,CASTROL INDIA LIMITED,SELL,TSL_EXIT,108.8188,97.3354,108.8188,-10.55,77.0
2023-03-03,SONATA SOFTWARE LIMITED,BUY,STREAK_7,380.8448,,380.8448,,
2023-03-10,HOME FIRST FINANCE COMPANY INDIA LIMITED,SELL,TSL_EXIT,750.884,670.849,768.2463,-10.66,42.0
2023-03-10,TIMKEN INDIA LIMITED,SELL,TSL_EXIT,3053.0002,2788.074,3120.282,-8.68,35.0
2023-03-10,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,SELL,TSL_EXIT,599.6176,570.4654,643.8951,-4.86,35.0
2023-03-10,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,BUY,STREAK_6,578.45,,578.45,,
2023-03-10,TRIVENI TURBINE LIMITED,BUY,STREAK_5,333.4061,,333.4061,,
2023-03-10,JBM AUTO LIMITED,BUY,STREAK_5,320.6869,,320.6869,,
2023-03-17,BHARAT FORGE LTD,SELL,TSL_EXIT,867.2837,784.34,890.0844,-9.56,126.0
2023-03-17,JINDAL SAW LIMITED,SELL,TSL_EXIT,56.6248,75.176,84.8158,32.76,49.0
2023-03-17,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,SELL,TSL_EXIT,246.1622,221.3348,246.1622,-10.09,28.0
2023-03-17,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,SELL,52H_BREACH,578.45,535.05,578.45,-7.5,7.0
2023-03-17,TRIVENI TURBINE LIMITED,SELL,TSL_EXIT,333.4061,295.3194,333.4061,-11.42,7.0
