TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
SELL,MONTHLY_FLUSH,BANKBEES,Nippon IN ETF Nifty Bank BeES,2019-05-02,2019-06-03,32.0,301.791,322.539,1216.0756,25231.14,20.0,25211.14,BULL
SELL,MONTHLY_FLUSH,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2019-05-02,2019-06-03,32.0,122.16,126.15,754.9652,3012.31,20.0,2992.31,BULL
SELL,MONTHLY_FLUSH,NV20BEES,NipponINETFNifty 50 Value 20,2019-05-02,2019-06-03,32.0,59.804,59.421,5860.7878,-2244.68,20.0,-2264.68,BULL
BUY,NEW BUY (rank=1),BANKNIFTY1,Kotak Nifty Bank ETF,2019-06-03,,,324.6,,846.4093,,20.0,,BULL
BUY,NEW BUY (rank=2),BANKBEES,Nippon IN ETF Nifty Bank BeES,2019-06-03,,,322.539,,842.6046,,20.0,,BULL
BUY,NEW BUY (rank=3),SETFNIFBK,SBI Nifty Bank ETF,2019-06-03,,,319.49,,829.5803,,20.0,,BULL
BUY,NEW BUY (rank=4),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2019-06-03,,,126.15,,3021.6813,,20.0,,BULL
BUY,NEW BUY (rank=5),LICNETFSEN,LIC MF BSE Sensex ETF,2019-06-03,,,478.5,,227.7793,,20.0,,BULL
SELL,MONTHLY_FLUSH,BANKNIFTY1,Kotak Nifty Bank ETF,2019-06-03,2019-07-01,28.0,324.6,321.17,846.4093,-2903.18,20.0,-2923.18,BULL
SELL,MONTHLY_FLUSH,BANKBEES,Nippon IN ETF Nifty Bank BeES,2019-06-03,2019-07-01,28.0,322.539,320.166,842.6046,-1999.5,20.0,-2019.5,BULL
SELL,MONTHLY_FLUSH,SETFNIFBK,SBI Nifty Bank ETF,2019-06-03,2019-07-01,28.0,319.49,317.54,829.5803,-1617.68,20.0,-1637.68,BULL
SELL,MONTHLY_FLUSH,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2019-06-03,2019-07-01,28.0,126.15,124.19,3021.6813,-5922.5,20.0,-5942.5,BULL
SELL,MONTHLY_FLUSH,LICNETFSEN,LIC MF BSE Sensex ETF,2019-06-03,2019-07-01,28.0,478.5,438.7,227.7793,-9065.61,20.0,-9085.61,BULL
BUY,NEW BUY (rank=1),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2019-07-01,,,124.19,,2534.8265,,20.0,,BULL
BUY,NEW BUY (rank=2),BSLNIFTY,Aditya BSL Nifty 50 ETF,2019-07-01,,,13.399,,16769.8269,,20.0,,BULL
BUY,NEW BUY (rank=3),BANKNIFTY1,Kotak Nifty Bank ETF,2019-07-01,,,321.17,,720.0887,,20.0,,BULL
BUY,NEW BUY (rank=4),BANKBEES,Nippon IN ETF Nifty Bank BeES,2019-07-01,,,320.166,,708.3397,,20.0,,BULL
BUY,NEW BUY (rank=5),LTGILTBEES,Nippon 8-13 yr G-Sec LT Glt,2019-07-01,,,19.39,,14567.9547,,20.0,,BULL
SELL,MONTHLY_FLUSH,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2019-07-01,2019-08-01,31.0,124.19,115.63,2534.8265,-21698.11,20.0,-21718.11,BEAR
SELL,MONTHLY_FLUSH,BSLNIFTY,Aditya BSL Nifty 50 ETF,2019-07-01,2019-08-01,31.0,13.399,11.908,16769.8269,-25003.81,20.0,-25023.81,BEAR
SELL,MONTHLY_FLUSH,BANKNIFTY1,Kotak Nifty Bank ETF,2019-07-01,2019-08-01,31.0,321.17,291.26,720.0887,-21537.85,20.0,-21557.85,BEAR
SELL,MONTHLY_FLUSH,BANKBEES,Nippon IN ETF Nifty Bank BeES,2019-07-01,2019-08-01,31.0,320.166,287.763,708.3397,-22952.33,20.0,-22972.33,BEAR
SELL,MONTHLY_FLUSH,LTGILTBEES,Nippon 8-13 yr G-Sec LT Glt,2019-07-01,2019-08-01,31.0,19.39,19.99,14567.9547,8740.77,20.0,8720.77,BEAR
BUY,NEW BUY (rank=1),SETFGOLD,SBI Gold ETF,2019-10-01,,,33.2005,,8261.4787,,20.0,,PARTIAL
BUY,NEW BUY (rank=2),GOLD1,Kotak Gold ETF,2019-10-01,,,33.005,,6021.884,,20.0,,PARTIAL
BUY,NEW BUY (rank=3),LICMFGOLD,LIC MF Gold ETF,2019-10-01,,,3500.0,,70.5502,,20.0,,PARTIAL
SELL,MONTHLY_FLUSH,SETFGOLD,SBI Gold ETF,2019-10-01,2019-11-01,31.0,33.2005,34.9905,8261.4787,14788.05,20.0,14768.05,BULL
SELL,MONTHLY_FLUSH,GOLD1,Kotak Gold ETF,2019-10-01,2019-11-01,31.0,33.005,34.33,6021.884,7979.0,20.0,7959.0,BULL
SELL,MONTHLY_FLUSH,LICMFGOLD,LIC MF Gold ETF,2019-10-01,2019-11-01,31.0,3500.0,3551.3999,70.5502,3626.27,20.0,3606.27,BULL
BUY,NEW BUY (rank=1),SETFGOLD,SBI Gold ETF,2019-11-01,,,34.9905,,7553.5836,,20.0,,BULL
BUY,NEW BUY (rank=2),QGOLDHALF,Quantum Gold ETF,2019-11-01,,,34.06,,7638.4984,,20.0,,BULL
BUY,NEW BUY (rank=3),GOLDBEES,Nippon India ETF Gold BeES,2019-11-01,,,34.18,,7823.254,,20.0,,BULL
BUY,NEW BUY (rank=4),GOLDAXIS,Axis Gold ETF,2019-11-01,,,33.987,,6649.8573,,20.0,,BULL
BUY,NEW BUY (rank=5),GOLD1,Kotak Gold ETF,2019-11-01,,,34.33,,6083.8881,,20.0,,BULL
SELL,MONTHLY_FLUSH,SETFGOLD,SBI Gold ETF,2019-11-01,2019-12-02,31.0,34.9905,34.229,7553.5836,-5752.05,20.0,-5772.05,BULL
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2019-11-01,2019-12-02,31.0,34.06,33.267,7638.4984,-6057.33,20.0,-6077.33,BULL
SELL,MONTHLY_FLUSH,GOLDBEES,Nippon India ETF Gold BeES,2019-11-01,2019-12-02,31.0,34.18,33.4085,7823.254,-6035.64,20.0,-6055.64,BULL
SELL,MONTHLY_FLUSH,GOLDAXIS,Axis Gold ETF,2019-11-01,2019-12-02,31.0,33.987,33.37,6649.8573,-4102.96,20.0,-4122.96,BULL
SELL,MONTHLY_FLUSH,GOLD1,Kotak Gold ETF,2019-11-01,2019-12-02,31.0,34.33,33.5,6083.8881,-5049.63,20.0,-5069.63,BULL
BUY,NEW BUY (rank=1),SETFGOLD,SBI Gold ETF,2019-12-02,,,34.229,,7170.1098,,20.0,,BULL
BUY,NEW BUY (rank=2),QGOLDHALF,Quantum Gold ETF,2019-12-02,,,33.267,,7287.0186,,20.0,,BULL
BUY,NEW BUY (rank=3),GOLDBEES,Nippon India ETF Gold BeES,2019-12-02,,,33.4085,,7276.8777,,20.0,,BULL
BUY,NEW BUY (rank=4),GOLD1,Kotak Gold ETF,2019-12-02,,,33.5,,7027.0527,,20.0,,BULL
BUY,NEW BUY (rank=5),GOLDAXIS,Axis Gold ETF,2019-12-02,,,33.37,,6987.7684,,20.0,,BULL
SELL,MONTHLY_FLUSH,SETFGOLD,SBI Gold ETF,2019-12-02,2020-01-01,30.0,34.229,35.1685,7170.1098,6736.32,20.0,6716.32,BULL
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2019-12-02,2020-01-01,30.0,33.267,34.14,7287.0186,6361.57,20.0,6341.57,BULL
SELL,MONTHLY_FLUSH,GOLDBEES,Nippon India ETF Gold BeES,2019-12-02,2020-01-01,30.0,33.4085,34.35,7276.8777,6851.18,20.0,6831.18,BULL
SELL,MONTHLY_FLUSH,GOLD1,Kotak Gold ETF,2019-12-02,2020-01-01,30.0,33.5,34.57,7027.0527,7518.95,20.0,7498.95,BULL
SELL,MONTHLY_FLUSH,GOLDAXIS,Axis Gold ETF,2019-12-02,2020-01-01,30.0,33.37,34.738,6987.7684,9559.27,20.0,9539.27,BULL
BUY,NEW BUY (rank=1),MON100,Motilal Oswal NASDAQ 100 ETF,2020-01-01,,,61.706,,3588.0681,,20.0,,BULL
BUY,NEW BUY (rank=2),SETFGOLD,SBI Gold ETF,2020-01-01,,,35.1685,,7044.0693,,20.0,,BULL
BUY,NEW BUY (rank=3),QGOLDHALF,Quantum Gold ETF,2020-01-01,,,34.14,,7421.1311,,20.0,,BULL
BUY,NEW BUY (rank=4),GOLD1,Kotak Gold ETF,2020-01-01,,,34.57,,8126.9438,,20.0,,BULL
BUY,NEW BUY (rank=5),GOLDAXIS,Axis Gold ETF,2020-01-01,,,34.738,,6705.257,,20.0,,BULL
SELL,MONTHLY_FLUSH,MON100,Motilal Oswal NASDAQ 100 ETF,2020-01-01,2020-02-03,33.0,61.706,63.975,3588.0681,8141.33,20.0,8121.33,PARTIAL
SELL,MONTHLY_FLUSH,SETFGOLD,SBI Gold ETF,2020-01-01,2020-02-03,33.0,35.1685,36.7845,7044.0693,11383.22,20.0,11363.22,PARTIAL
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2020-01-01,2020-02-03,33.0,34.14,35.735,7421.1311,11836.7,20.0,11816.7,PARTIAL
SELL,MONTHLY_FLUSH,GOLD1,Kotak Gold ETF,2020-01-01,2020-02-03,33.0,34.57,35.945,8126.9438,11174.55,20.0,11154.55,PARTIAL
SELL,MONTHLY_FLUSH,GOLDAXIS,Axis Gold ETF,2020-01-01,2020-02-03,33.0,34.738,35.7815,6705.257,6996.94,20.0,6976.94,PARTIAL
BUY,NEW BUY (rank=1),MON100,Motilal Oswal NASDAQ 100 ETF,2020-02-03,,,63.975,,4066.0393,,20.0,,PARTIAL
BUY,NEW BUY (rank=2),SETFGOLD,SBI Gold ETF,2020-02-03,,,36.7845,,7081.5003,,20.0,,PARTIAL
BUY,NEW BUY (rank=3),QGOLDHALF,Quantum Gold ETF,2020-02-03,,,35.735,,7018.4947,,20.0,,PARTIAL
SELL,MONTHLY_FLUSH,MON100,Motilal Oswal NASDAQ 100 ETF,2020-02-03,2020-03-02,28.0,63.975,61.731,4066.0393,-9124.19,20.0,-9144.19,BEAR
SELL,MONTHLY_FLUSH,SETFGOLD,SBI Gold ETF,2020-02-03,2020-03-02,28.0,36.7845,37.5345,7081.5003,5311.13,20.0,5291.13,BEAR
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2020-02-03,2020-03-02,28.0,35.735,36.879,7018.4947,8029.16,20.0,8009.16,BEAR
BUY,NEW BUY (rank=1),GOLDBETA,UTI Gold ETF,2020-07-01,,,44.4485,,6918.5563,,20.0,,PARTIAL
BUY,NEW BUY (rank=2),QGOLDHALF,Quantum Gold ETF,2020-07-01,,,42.741,,6133.2266,,20.0,,PARTIAL
BUY,NEW BUY (rank=3),GOLD1,Kotak Gold ETF,2020-07-01,,,43.085,,4826.2891,,20.0,,PARTIAL
SELL,MONTHLY_FLUSH,GOLDBETA,UTI Gold ETF,2020-07-01,2020-08-03,33.0,44.4485,49.019,6918.5563,31621.26,20.0,31601.26,BULL
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2020-07-01,2020-08-03,33.0,42.741,46.991,6133.2266,26066.21,20.0,26046.21,BULL
SELL,MONTHLY_FLUSH,GOLD1,Kotak Gold ETF,2020-07-01,2020-08-03,33.0,43.085,47.3,4826.2891,20342.81,20.0,20322.81,BULL
BUY,NEW BUY (rank=1),GOLDBETA,UTI Gold ETF,2020-08-03,,,49.019,,6935.6259,,20.0,,BULL
BUY,NEW BUY (rank=2),QGOLDHALF,Quantum Gold ETF,2020-08-03,,,46.991,,6137.0835,,20.0,,BULL
