TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
SELL,REGIME_SLOT_CUT,SILVERBEES,Nippon India Silver ETF,2023-01-02,2023-01-09,7.0,67.67,67.95,3878.1889,1085.89,20.0,1065.89,BEAR
BUY,"NEW BUY (SharpeRk=1,ClenowRk=1)",PSUBANK,Kotak Nifty PSU Bank ETF,2023-01-16,,,431.27,,607.7654,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=2)",PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2023-01-16,,,48.19,,5439.1155,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=4)",SILVERBEES,Nippon India Silver ETF,2023-01-16,,,68.26,,3839.8912,,20.0,,PARTIAL
SELL,REGIME_SLOT_CUT,PSUBANK,Kotak Nifty PSU Bank ETF,2023-01-16,2023-01-30,14.0,431.27,380.0,607.7654,-31160.13,20.0,-31180.13,BEAR
SELL,REGIME_SLOT_CUT,PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2023-01-16,2023-01-30,14.0,48.19,42.59,5439.1155,-30459.05,20.0,-30479.05,BEAR
SELL,REGIME_SLOT_CUT,SILVERBEES,Nippon India Silver ETF,2023-01-16,2023-01-30,14.0,68.26,67.45,3839.8912,-3110.31,20.0,-3130.31,BEAR
BUY,"NEW BUY (SharpeRk=1,ClenowRk=1)",GOLDBEES,Nippon India ETF Gold BeES,2023-04-17,,,51.7,,4833.1997,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=2)",CPSEETF,CPSE ETF,2023-04-17,,,41.28,,6053.208,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=3)",SILVERBEES,Nippon India Silver ETF,2023-04-17,,,74.62,,3348.6522,,20.0,,PARTIAL
SELL,REGIME_SLOT_CUT,GOLDBEES,Nippon India ETF Gold BeES,2023-04-17,2023-04-24,7.0,51.7,51.26,4833.1997,-2126.61,20.0,-2146.61,BEAR
SELL,REGIME_SLOT_CUT,CPSEETF,CPSE ETF,2023-04-17,2023-04-24,7.0,41.28,41.07,6053.208,-1271.17,20.0,-1291.17,BEAR
SELL,REGIME_SLOT_CUT,SILVERBEES,Nippon India Silver ETF,2023-04-17,2023-04-24,7.0,74.62,73.67,3348.6522,-3181.22,20.0,-3201.22,BEAR
BUY,"NEW BUY (SharpeRk=3,ClenowRk=1)",GOLDBEES,Nippon India ETF Gold BeES,2023-05-02,,,51.31,,4845.6853,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=2)",SILVERBEES,Nippon India Silver ETF,2023-05-02,,,72.99,,3406.386,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=5)",FMCGIETF,ICICI Pru Nifty FMCG ETF,2023-05-02,,,49.118,,5061.9348,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=3)",CPSEETF,CPSE ETF,2023-05-15,,,42.63,,5881.1667,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=4)",ICICIB22,Bharat 22 ETF,2023-05-15,,,63.06,,3975.803,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=26.0, ClenowRk=3.0) | TSL 6.7%",SILVERBEES,Nippon India Silver ETF,2023-05-02,2023-05-29,27.0,72.99,70.2,3406.386,-9503.82,20.0,-9523.82,BULL
BUY,"NEW BUY (SharpeRk=7,ClenowRk=16)",MOM100,MotilalOswal NiftyMidcap100ETF,2023-05-29,,,35.66,,7012.0574,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=21.0, ClenowRk=2.0)",GOLDBEES,Nippon India ETF Gold BeES,2023-05-02,2023-06-05,34.0,51.31,50.72,4845.6853,-2858.95,20.0,-2878.95,BULL
SELL,"Dropped intersection (SharpeRk=42.0, ClenowRk=3.0)",CPSEETF,CPSE ETF,2023-05-15,2023-06-05,21.0,42.63,41.96,5881.1667,-3940.38,20.0,-3960.38,BULL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=8)",SBIETFCON,SBI Nifty Consumption ETF,2023-06-05,,,81.61,,3066.7783,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=10,ClenowRk=6)",AUTOBEES,Nippon India Nifty Auto ETF,2023-06-05,,,147.1164,,1701.2364,,20.0,,BULL
