date,equity,regime,n_holdings
2021-09-01,1587836.336821694,BULL,5
2021-09-02,1605302.4634506826,BULL,5
2021-09-03,1611483.0507502265,BULL,5
2021-09-06,1623176.0209567402,BULL,5
2021-09-07,1614003.940487053,BULL,5
2021-09-08,1605619.2618337332,BULL,5
2021-09-09,1613128.0407988508,BULL,5
2021-09-13,1627636.7223878235,BULL,5
2021-09-14,1630786.0314568556,BULL,5
2021-09-15,1652361.1510439028,BULL,5
2021-09-16,1655307.1015076623,BULL,5
2021-09-17,1644248.215992589,BULL,5
2021-09-20,1635257.5137517846,BULL,5
2021-09-21,1645800.2275332222,BULL,5
2021-09-22,1658455.483603279,BULL,5
2021-09-23,1667952.1621800652,BULL,5
2021-09-24,1677224.5028975897,BULL,5
2021-09-27,1650839.779416455,BULL,5
2021-09-28,1630948.1920089875,BULL,5
2021-09-29,1631462.7988539902,BULL,5
2021-09-30,1621881.4115227188,BULL,5
2021-10-01,1617907.718913253,BULL,5
2021-10-04,1631424.3237705282,BULL,5
2021-10-05,1642046.2561672577,BULL,5
2021-10-06,1626163.040564486,BULL,5
2021-10-07,1642268.575402362,BULL,5
2021-10-08,1655543.0108405957,BULL,5
2021-10-11,1638244.9098830197,BULL,5
2021-10-12,1631120.5992209984,BULL,5
2021-10-13,1643302.4258783758,BULL,5
2021-10-14,1658688.8656416181,BULL,5
2021-10-18,1670036.1566011994,BULL,5
2021-10-19,1672149.411660137,BULL,5
2021-10-20,1652491.0516128235,BULL,5
2021-10-21,1625808.65056062,BULL,5
2021-10-22,1610544.5815420165,BULL,5
2021-10-25,1593122.841628477,BULL,5
2021-10-26,1603680.9977758469,BULL,5
2021-10-27,1600741.5039178098,BULL,5
2021-10-28,1567802.0058957306,BULL,5
2021-10-29,1551589.6990722984,BULL,5
2021-11-01,1578393.924416989,BULL,5
2021-11-02,1574945.794739722,BULL,5
2021-11-03,1575701.064419355,BULL,5
2021-11-04,1596495.075303118,BULL,5
2021-11-08,1609991.476039248,BULL,5
2021-11-09,1608173.4295511614,BULL,5
2021-11-10,1606370.7009540407,BULL,5
2021-11-11,1593033.1190763642,BULL,5
2021-11-12,1608665.8391190416,BULL,5
2021-11-15,1614585.8135897436,BULL,5
2021-11-16,1605837.456190115,BULL,5
2021-11-17,1600454.5727161793,BULL,5
2021-11-18,1585198.9405417454,BULL,5
2021-11-22,1553721.4784897822,BULL,5
2021-11-23,1569321.5157401247,BULL,5
2021-11-24,1563801.344328096,BULL,5
2021-11-25,1571311.010739439,BULL,5
2021-11-26,1518579.986107709,BULL,5
2021-11-29,1513088.2652602906,PARTIAL,3
2021-11-30,1510866.6727423328,PARTIAL,3
2021-12-01,1527506.8555759254,PARTIAL,3
2021-12-02,1538846.0208921507,PARTIAL,3
2021-12-03,1536417.3017322696,PARTIAL,3
2021-12-06,1516824.000644513,PARTIAL,3
2021-12-07,1532894.0840586647,PARTIAL,3
2021-12-08,1553996.9713341491,PARTIAL,3
2021-12-09,1556543.9147208426,PARTIAL,3
2021-12-10,1575274.7155569708,PARTIAL,3
2021-12-13,1568253.5755947628,BULL,5
2021-12-14,1559645.4795445283,BULL,5
2021-12-15,1545924.8363658667,BULL,5
2021-12-16,1537046.867249546,BULL,5
2021-12-17,1511075.495668627,BULL,5
2021-12-20,1462385.1107771513,BEAR,0
2021-12-21,1462465.241468153,BEAR,0
2021-12-22,1462545.3765498775,BEAR,0
2021-12-23,1462625.5160225653,BEAR,0
2021-12-24,1462705.659886457,BEAR,0
2021-12-27,1462785.8081417934,BEAR,0
2021-12-28,1462865.9607888148,BEAR,0
2021-12-29,1462946.1178277622,BEAR,0
2021-12-30,1463026.279258876,BEAR,0
2021-12-31,1463106.4450823972,BEAR,0
2022-01-03,1463086.6152985662,BULL,5
2022-01-04,1472472.3015375086,BULL,5
2022-01-05,1468387.4241961257,BULL,5
2022-01-06,1460012.1081014874,BULL,5
2022-01-07,1463954.1587295923,BULL,5
2022-01-10,1473882.6072072757,BULL,5
2022-01-11,1479061.9109168618,BULL,5
2022-01-12,1489825.369198849,BULL,5
2022-01-13,1495876.2069986914,BULL,5
2022-01-14,1500003.5903157836,BULL,5
2022-01-17,1506915.663150055,BULL,5
2022-01-18,1484184.289848543,BULL,5
2022-01-19,1471501.9749886612,BULL,5
2022-01-20,1457086.6469076772,BULL,5
2022-01-21,1434883.290902802,BULL,5
2022-01-24,1401687.1269311272,BULL,5
2022-01-25,1401112.924118284,BULL,5
2022-01-27,1381350.6986138234,BULL,5
2022-01-28,1388928.1897016256,BULL,5
2022-01-31,1414935.6588758947,BEAR,0
2022-02-01,1415013.1895969291,BEAR,0
2022-02-02,1415090.7245662222,BEAR,0
2022-02-03,1415168.2637840067,BEAR,0
2022-02-04,1415245.8072505156,BEAR,0
2022-02-07,1415263.354965981,PARTIAL,3
2022-02-08,1411539.2546358816,PARTIAL,3
2022-02-09,1419379.9894335624,PARTIAL,3
2022-02-10,1426036.2676482825,PARTIAL,3
2022-02-11,1417244.5894026246,PARTIAL,3
2022-02-14,1395572.5446263875,BEAR,0
2022-02-15,1395649.0143548604,BEAR,0
2022-02-16,1395725.4882734553,BEAR,0
2022-02-17,1395801.966382402,BEAR,0
2022-02-18,1395878.4486819298,BEAR,0
2022-02-21,1395954.9351722687,BEAR,0
2022-02-22,1396031.425853648,BEAR,0
2022-02-23,1396107.9207262977,BEAR,0
2022-02-24,1396184.4197904472,BEAR,0
2022-02-25,1396260.9230463263,BEAR,0
2022-02-28,1396337.4304941646,BEAR,0
2022-03-02,1396413.9421341917,BEAR,0
2022-03-03,1396490.4579666376,BEAR,0
2022-03-04,1396566.9779917318,BEAR,0
2022-03-07,1396643.5022097041,BEAR,0
2022-03-08,1396720.0306207843,BEAR,0
2022-03-09,1396796.563225202,BEAR,0
2022-03-10,1396873.100023187,BEAR,0
2022-03-11,1396949.6410149692,BEAR,0
2022-03-14,1397026.1862007785,BEAR,0
2022-03-15,1397102.7355808443,BEAR,0
2022-03-16,1397179.2891553969,BEAR,0
2022-03-17,1397255.8469246658,BEAR,0
2022-03-21,1397272.4088888809,PARTIAL,3
2022-03-22,1402526.3995545867,PARTIAL,3
2022-03-23,1403300.091548637,PARTIAL,3
2022-03-24,1409235.4102480342,PARTIAL,3
2022-03-25,1407437.6245574402,PARTIAL,3
2022-03-28,1410045.5105136079,BEAR,0
2022-03-29,1410122.7732813074,BEAR,0
2022-03-30,1410200.0402825833,BEAR,0
2022-03-31,1410277.3115176675,BEAR,0
2022-04-01,1410354.5869867918,BEAR,0
2022-04-04,1410371.8666901886,PARTIAL,3
2022-04-05,1417948.3999456537,PARTIAL,3
2022-04-06,1426915.0130333728,PARTIAL,3
2022-04-07,1425949.0577821773,PARTIAL,3
2022-04-08,1430656.3191199764,PARTIAL,3
2022-04-11,1435929.5150162585,BULL,5
2022-04-12,1421696.2173287007,BULL,5
2022-04-13,1428681.1794897805,BULL,5
2022-04-18,1429932.8850105135,BULL,5
2022-04-19,1420629.1545041548,BULL,5
2022-04-20,1416810.9293295632,BULL,5
