date,equity
04-03-2022,1356416.164487755
07-03-2022,1365390.720164238
08-03-2022,1363160.0822474037
09-03-2022,1361910.9246860216
10-03-2022,1359516.7137711197
11-03-2022,1361457.363
14-03-2022,1359308.5281698059
15-03-2022,1352088.7313086647
16-03-2022,1355665.1857691759
17-03-2022,1356787.9507483526
21-03-2022,1357747.1394716122
22-03-2022,1359851.3880678408
23-03-2022,1360074.4754895805
24-03-2022,1363814.5257679296
25-03-2022,1361992.8757601567
28-03-2022,1364424.2964317482
29-03-2022,1361294.0168175753
30-03-2022,1359063.4278033108
31-03-2022,1360349.8016465488
01-04-2022,1368642.353950227
04-04-2022,1374155.1259588953
05-04-2022,1381531.875709562
06-04-2022,1390455.016873066
07-04-2022,1389488.5025921734
08-04-2022,1394243.5798341017
11-04-2022,1399165.2362813232
12-04-2022,1393080.1992466415
13-04-2022,1400404.3156229234
18-04-2022,1411275.616861777
19-04-2022,1407929.5582418418
20-04-2022,1403541.7191090276
21-04-2022,1408454.166
22-04-2022,1402261.0589791657
25-04-2022,1384676.6091840612
26-04-2022,1387609.3930503428
27-04-2022,1381378.5479108314
28-04-2022,1387309.0946260868
29-04-2022,1378768.5889838967
02-05-2022,1377619.2185677502
04-05-2022,1379536.9907125868
05-05-2022,1380139.120090521
06-05-2022,1382598.6354730544
09-05-2022,1380027.742698233
10-05-2022,1370723.8409621152
11-05-2022,1369391.209936857
12-05-2022,1365040.3353414792
13-05-2022,1364249.447555731
16-05-2022,1365702.9005038806
17-05-2022,1375669.3607831092
18-05-2022,1372479.3636138453
19-05-2022,1369521.5425923318
20-05-2022,1373606.3009352437
23-05-2022,1367630.2396558865
24-05-2022,1366220.2474807745
25-05-2022,1365197.2133454224
26-05-2022,1367811.5569669753
27-05-2022,1364312.0191947252
30-05-2022,1365997.6780925822
31-05-2022,1374106.788790999
01-06-2022,1374823.5708988092
02-06-2022,1376529.7915866303
03-06-2022,1373768.4267217757
06-06-2022,1374926.0027514782
07-06-2022,1379767.383420394
08-06-2022,1380062.7997853353
09-06-2022,1381142.0069717125
10-06-2022,1379634.7186505173
13-06-2022,1369897.664689335
14-06-2022,1372466.0780708478
15-06-2022,1368372.3008495676
16-06-2022,1357851.4692812003
17-06-2022,1356579.3337342485
20-06-2022,1347057.4325482147
21-06-2022,1347131.2439143818
22-06-2022,1347205.0593250075
23-06-2022,1347278.878780313
24-06-2022,1347352.7022805202
27-06-2022,1347426.5298258509
28-06-2022,1347500.3614165264
29-06-2022,1347574.1970527684
30-06-2022,1347648.036734799
01-07-2022,1347687.110840519
04-07-2022,1347289.5586069848
05-07-2022,1345933.0875005634
06-07-2022,1352704.6260876409
07-07-2022,1357056.0311583732
08-07-2022,1357206.4473657915
11-07-2022,1360324.9590562782
12-07-2022,1357164.817312135
13-07-2022,1356447.6470387948
14-07-2022,1358127.785278816
15-07-2022,1363780.604070236
18-07-2022,1364364.837804643
19-07-2022,1367255.0541377054
20-07-2022,1367473.9906891147
21-07-2022,1368012.5711831017
22-07-2022,1369715.5603357982
25-07-2022,1365482.3682376053
26-07-2022,1361865.6293070472
27-07-2022,1363591.459657882
28-07-2022,1364837.8321938475
29-07-2022,1367933.5577536968
01-08-2022,1377769.7851103074
02-08-2022,1382786.6936878562
03-08-2022,1378790.0999377524
04-08-2022,1382841.6165780206
05-08-2022,1380867.4813925223
08-08-2022,1385055.5021669946
10-08-2022,1383005.1990362382
11-08-2022,1379912.8983399202
12-08-2022,1380625.9273826513
16-08-2022,1392970.0562374424
17-08-2022,1396947.5717078615
18-08-2022,1398362.852032452
19-08-2022,1388876.4921260565
22-08-2022,1379178.1745294526
23-08-2022,1386121.8433829364
24-08-2022,1387075.9644615687
25-08-2022,1385825.6412141314
26-08-2022,1386019.0488565653
29-08-2022,1386354.094867839
30-08-2022,1405104.4535793476
01-09-2022,1403504.583272395
02-09-2022,1402480.5449484698
05-09-2022,1406574.5621245354
06-09-2022,1407502.878633715
07-09-2022,1405494.4315775197
