ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
ANANDRATHI,atr_chandelier_stop,2023-01-27,205.99,2023-02-10,188.14,332,3,-8.67,-5926.2
KARURVYSYA,trend_reversal_23wma,2022-07-29,42.25,2023-03-03,78.68,1426,32,86.22,51949.18
IIFL,trend_reversal_23wma,2022-11-04,403.17,2023-03-03,427.78,162,18,6.1,3986.82
PNCINFRA,trend_reversal_23wma,2023-01-13,320.59,2023-03-10,284.61,213,9,-11.22,-7663.74
BRITANNIA,atr_chandelier_stop,2022-07-15,3608.12,2023-03-17,4060.22,15,36,12.53,6781.5
JAIBALAJI,trend_reversal_23wma,2022-12-30,10.76,2023-03-24,9.16,5909,13,-14.87,-9454.4
ANUP,atr_chandelier_stop,2023-02-10,548.02,2023-03-24,489.96,118,7,-10.59,-6851.08
JWL,atr_chandelier_stop,2022-09-09,78.33,2023-03-31,94.22,817,30,20.29,12982.13
TI,trend_reversal_23wma,2022-10-14,104.48,2023-03-31,104.48,637,25,0.0,0.0
TECHNOE,trend_reversal_23wma,2023-01-13,360.93,2023-03-31,311.05,189,12,-13.82,-9427.32
JINDALSAW,atr_chandelier_stop,2023-01-13,53.75,2023-03-31,67.97,1271,12,26.46,18073.62
LLOYDSENGG,atr_chandelier_stop,2023-01-20,18.46,2023-03-31,17.13,3633,11,-7.2,-4831.89
EQUITASBNK,atr_chandelier_stop,2023-03-10,74.48,2023-03-31,62.55,862,4,-16.02,-10283.66
ZENTEC,atr_chandelier_stop,2023-03-03,265.4,2023-05-12,322.37,240,11,21.47,13672.8
RVNL,atr_chandelier_stop,2023-05-12,139.97,2023-05-19,121.73,505,2,-13.03,-9211.2
JBCHEPHARM,trend_reversal_23wma,2023-04-21,1079.06,2023-05-26,849.12,62,6,-21.31,-14256.28
FINCABLES,atr_chandelier_stop,2023-03-03,705.42,2023-06-09,778.09,90,15,10.3,6540.3
CCL,atr_chandelier_stop,2023-02-10,558.27,2023-07-28,618.95,115,25,10.87,6978.2
IGL,trend_reversal_23wma,2023-04-14,221.36,2023-08-04,218.37,300,17,-1.35,-897.0
JINDALSAW,atr_chandelier_stop,2023-06-09,119.48,2023-08-04,158.71,634,9,32.83,24871.82
ITC,atr_chandelier_stop,2023-02-10,315.93,2023-08-11,389.78,204,27,23.38,15065.4
JBMA,atr_chandelier_stop,2022-12-30,229.31,2023-08-18,601.19,277,34,162.17,103010.76
THANGAMAYL,atr_chandelier_stop,2023-08-04,1309.39,2023-08-18,1085.12,68,3,-17.13,-15250.36
LLOYDSENGG,stop_loss_20pct,2023-08-11,55.95,2023-08-25,40.98,1626,3,-26.76,-24341.22
NCC,atr_chandelier_stop,2023-01-13,91.75,2023-09-22,142.09,745,37,54.87,37503.3
ELECON,atr_chandelier_stop,2023-05-26,277.8,2023-09-22,376.95,257,18,35.69,25481.55
REFEX,atr_chandelier_stop,2023-05-19,72.24,2023-09-29,130.51,988,20,80.66,57570.76
TRITURBINE,trend_reversal_23wma,2023-03-17,334.53,2023-10-20,367.12,197,32,9.74,6420.23
SUDARSCHEM,trend_reversal_23wma,2023-04-14,419.38,2023-10-20,476.8,158,28,13.69,9072.36
USHAMART,atr_chandelier_stop,2023-01-06,171.92,2023-10-27,300.19,395,43,74.61,50666.65
TDPOWERSYS,trend_reversal_23wma,2023-01-13,147.35,2023-11-03,242.28,463,43,64.42,43952.59
HGINFRA,trend_reversal_23wma,2023-01-13,674.52,2023-11-03,904.21,101,43,34.05,23198.69
AHLUCONT,trend_reversal_23wma,2023-01-13,515.82,2023-11-10,682.29,132,44,32.27,21974.04
GMDCLTD,atr_chandelier_stop,2023-10-20,391.11,2023-11-10,316.23,265,4,-19.15,-19843.2
UCOBANK,atr_chandelier_stop,2023-09-29,41.81,2023-11-17,36.16,2345,8,-13.51,-13249.25
CENTRALBK,atr_chandelier_stop,2023-09-29,49.25,2023-11-17,42.6,1991,8,-13.5,-13240.15
APOLLO,atr_chandelier_stop,2023-11-10,95.78,2023-12-08,128.83,1060,5,34.51,35033.0
CARTRADE,atr_chandelier_stop,2023-11-17,860.0,2023-12-15,732.05,123,5,-14.88,-15737.85
SAFARI,trend_reversal_23wma,2023-02-17,1058.46,2024-01-05,1932.01,61,47,82.53,53286.55
SMLMAH,atr_chandelier_stop,2023-04-14,869.95,2024-01-05,1298.66,76,39,49.28,32581.96
INOXWIND,atr_chandelier_stop,2023-12-15,90.84,2024-01-19,110.74,1225,6,21.91,24377.5
ANGELONE,atr_chandelier_stop,2023-11-03,243.35,2024-02-02,281.49,415,14,15.67,15828.1
MARKSANS,atr_chandelier_stop,2023-12-08,168.06,2024-02-02,146.23,664,9,-12.99,-14495.12
SURYAROSNI,atr_chandelier_stop,2024-01-05,379.63,2024-02-16,322.2,332,7,-15.13,-19066.76
RVNL,atr_chandelier_stop,2023-09-22,169.29,2024-02-23,251.21,588,23,48.39,48168.96
IFCI,atr_chandelier_stop,2024-02-02,55.0,2024-03-01,46.85,2702,5,-14.82,-22021.3
KPITTECH,atr_chandelier_stop,2023-02-17,847.03,2024-03-15,1482.64,77,57,75.04,48941.97
PRICOLLTD,trend_reversal_23wma,2023-04-14,223.24,2024-03-15,356.34,297,49,59.62,39530.7
IRFC,atr_chandelier_stop,2023-08-18,46.09,2024-03-15,139.25,1982,31,202.13,184643.12
STYRENIX,trend_reversal_23wma,2023-10-27,1269.4,2024-03-15,1287.11,83,21,1.4,1469.93
SKIPPER,atr_chandelier_stop,2024-03-01,384.83,2024-03-15,310.62,425,3,-19.28,-31539.25
NEULANDLAB,atr_chandelier_stop,2023-04-14,2062.15,2024-03-22,6073.2,32,50,194.51,128353.6
MINDACORP,trend_reversal_23wma,2023-04-14,247.75,2024-03-22,369.45,268,50,49.12,32615.6
CHOICEIN,atr_chandelier_stop,2023-04-21,154.02,2024-03-22,253.9,436,49,64.85,43547.68
JAIBALAJI,atr_chandelier_stop,2023-08-04,31.39,2024-03-22,201.21,2856,34,541.0,485005.92
BANCOINDIA,trend_reversal_23wma,2023-08-18,198.69,2024-03-22,271.26,459,32,36.52,33309.63
CUPID,atr_chandelier_stop,2023-11-10,7.3,2024-03-22,20.22,13918,20,176.99,179820.56
KPIGREEN,atr_chandelier_stop,2023-11-17,237.04,2024-03-22,498.48,448,19,110.29,117125.12
TATAINVEST,stop_loss_20pct,2024-03-15,957.25,2024-03-22,713.0,167,2,-25.52,-40789.75
SONATSOFTW,trend_reversal_23wma,2023-11-10,589.13,2024-04-05,692.74,172,22,17.59,17820.92
TATACOMM,trend_reversal_23wma,2024-03-15,1933.88,2024-04-26,1704.95,82,7,-11.84,-18772.26
BSE,atr_chandelier_stop,2024-04-12,951.84,2024-05-17,881.96,162,6,-7.34,-11320.56
DMART,atr_chandelier_stop,2024-04-05,4570.0,2024-06-07,4392.95,32,10,-3.87,-5665.6
HEG,trend_reversal_23wma,2024-04-19,461.32,2024-07-19,415.82,337,14,-9.86,-15333.5
FORCEMOT,atr_chandelier_stop,2024-02-23,5275.7,2024-07-26,8112.64,29,23,53.77,82271.26
PURVA,atr_chandelier_stop,2024-04-19,323.0,2024-07-26,390.0,481,15,20.74,32227.0
KEI,atr_chandelier_stop,2024-04-19,3921.66,2024-07-26,4003.34,39,15,2.08,3185.52
HINDZINC,atr_chandelier_stop,2024-04-19,387.58,2024-07-26,586.84,401,15,51.41,79903.26
IRCON,atr_chandelier_stop,2024-02-02,241.92,2024-08-02,269.4,614,27,11.36,16872.72
KIRLOSENG,atr_chandelier_stop,2023-08-18,478.27,2024-08-09,1125.89,191,52,135.41,123695.42
KIRLOSBROS,atr_chandelier_stop,2024-03-15,1088.75,2024-08-16,1936.05,147,23,77.82,124553.1
SOLARINDS,atr_chandelier_stop,2024-03-22,8882.89,2024-08-16,10237.87,16,22,15.25,21679.68
EXIDEIND,atr_chandelier_stop,2024-04-19,395.54,2024-08-16,483.14,393,18,22.15,34426.8
JWL,atr_chandelier_stop,2024-05-17,487.53,2024-08-16,556.29,339,14,14.1,23309.64
HONAUT,atr_chandelier_stop,2024-04-12,41504.53,2024-08-23,51700.62,3,20,24.57,30588.27
HGINFRA,atr_chandelier_stop,2024-04-12,1094.45,2024-09-13,1473.18,141,23,34.6,53400.93
TARIL,trend_reversal_23wma,2023-09-22,85.93,2024-09-20,342.36,1160,53,298.42,297458.8
ONGC,trend_reversal_23wma,2024-07-26,288.28,2024-09-20,267.64,672,9,-7.16,-13870.08
VGUARD,atr_chandelier_stop,2024-03-15,344.97,2024-09-27,452.19,464,29,31.08,49750.08
PGIL,atr_chandelier_stop,2024-08-02,963.55,2024-10-04,860.24,206,10,-10.72,-21281.86
SBILIFE,atr_chandelier_stop,2024-07-26,1635.71,2024-10-18,1733.04,118,13,5.95,11484.94
BAJAJ-AUTO,trend_reversal_23wma,2023-02-03,3647.16,2024-10-25,9678.07,17,91,165.36,102525.47
PCBL,atr_chandelier_stop,2024-08-16,375.46,2024-10-25,462.39,517,11,23.15,44942.81
GODFRYPHLP,atr_chandelier_stop,2024-03-15,1067.21,2024-11-01,2035.09,150,34,90.69,145182.0
POWERMECH,trend_reversal_23wma,2024-07-26,3015.63,2024-11-01,2790.82,64,15,-7.45,-14387.84
PCJEWELLER,atr_chandelier_stop,2024-08-09,9.2,2024-11-01,14.23,21502,13,54.67,108155.06
SHRIPISTON,trend_reversal_23wma,2024-09-20,2295.79,2024-11-01,1888.01,94,7,-17.76,-38331.32
WABAG,atr_chandelier_stop,2024-10-25,1882.85,2024-11-01,1578.08,119,2,-16.19,-36267.63
MUTHOOTFIN,trend_reversal_23wma,2024-04-12,1609.14,2024-11-15,1766.27,96,32,9.76,15084.48
APARINDS,trend_reversal_23wma,2023-02-24,2350.24,2024-11-22,8847.62,27,92,276.46,175429.26
WEBELSOLAR,atr_chandelier_stop,2024-08-23,82.5,2024-11-22,118.1,2382,14,43.15,84799.2
POWERINDIA,stop_loss_20pct,2024-10-18,15894.59,2024-11-22,11778.88,13,6,-25.89,-53504.23
PRUDENT,atr_chandelier_stop,2024-11-08,3592.5,2024-11-22,3016.71,61,3,-16.03,-35123.19
ABREL,atr_chandelier_stop,2024-09-20,2883.78,2024-11-29,2584.22,74,11,-10.39,-22167.44
NEWGEN,stop_loss_20pct,2024-10-04,1404.52,2024-11-29,1063.82,156,9,-24.26,-53149.2
POLYMED,atr_chandelier_stop,2024-11-08,3144.48,2024-11-29,2599.49,70,4,-17.33,-38149.3
INDIACEM,trend_reversal_23wma,2024-07-26,339.95,2024-12-20,342.2,570,22,0.66,1282.5
NEULANDLAB,atr_chandelier_stop,2024-08-16,11568.47,2024-12-27,14112.21,16,20,21.99,40699.84
JUBLPHARMA,atr_chandelier_stop,2024-09-20,1174.87,2024-12-27,1051.64,183,15,-10.49,-22551.09
KITEX,atr_chandelier_stop,2024-09-13,154.7,2025-01-03,231.05,1366,17,49.35,104294.1
BANCOINDIA,atr_chandelier_stop,2024-11-22,412.47,2025-01-10,457.26,513,8,10.86,22977.27
MANORAMA,atr_chandelier_stop,2024-04-26,584.38,2025-01-17,984.58,272,39,68.48,108854.4
SKYGOLD,atr_chandelier_stop,2024-07-19,221.3,2025-01-17,351.0,927,27,58.61,120231.9
GRWRHITECH,atr_chandelier_stop,2024-08-16,3202.79,2025-01-17,4185.3,60,23,30.68,58950.6
KIRLPNU,trend_reversal_23wma,2024-11-08,1671.89,2025-01-17,1388.02,132,11,-16.98,-37470.84
ANUP,atr_chandelier_stop,2024-11-08,3554.87,2025-01-17,2982.56,62,11,-16.1,-35483.22
RAMCOCEM,atr_chandelier_stop,2024-12-06,1017.64,2025-01-17,890.46,222,7,-12.5,-28233.96
HEG,trend_reversal_23wma,2024-12-13,559.83,2025-01-17,436.02,416,6,-22.12,-51504.96
KFINTECH,atr_chandelier_stop,2024-08-16,1025.45,2025-01-24,1176.09,189,24,14.69,28470.96
SHAKTIPUMP,atr_chandelier_stop,2024-12-20,941.41,2025-01-24,1012.89,249,6,7.59,17798.52
ITI,stop_loss_20pct,2025-01-10,473.4,2025-01-24,376.1,495,3,-20.55,-48163.5
GVT&D,trend_reversal_23wma,2024-01-19,630.09,2025-01-31,1741.81,218,55,176.44,242354.96
SHARDACROP,trend_reversal_23wma,2024-11-08,714.17,2025-01-31,603.43,310,13,-15.51,-34329.4
MEDPLUS,trend_reversal_23wma,2024-12-06,789.8,2025-01-31,658.95,287,9,-16.57,-37553.95
ZENTEC,stop_loss_20pct,2024-12-27,2551.41,2025-01-31,1802.46,90,6,-29.35,-67405.5
LLOYDSME,atr_chandelier_stop,2024-04-19,682.18,2025-02-07,1230.39,227,43,80.36,124443.67
AMBER,atr_chandelier_stop,2024-11-01,6229.4,2025-02-07,6538.0,33,15,4.95,10183.8
IMFA,trend_reversal_23wma,2024-11-29,826.97,2025-02-07,694.03,266,11,-16.08,-35362.04
LAURUSLABS,atr_chandelier_stop,2024-12-06,562.21,2025-02-21,542.27,403,12,-3.55,-8035.82
EICHERMOT,trend_reversal_23wma,2025-01-10,5188.44,2025-02-21,4591.75,45,7,-11.5,-26851.05
BSE,trend_reversal_23wma,2024-09-27,1325.98,2025-03-07,1529.47,160,24,15.35,32558.4
JLHL,trend_reversal_23wma,2024-11-22,297.92,2025-03-07,286.73,710,16,-3.76,-7944.9
GREAVESCOT,stop_loss_20pct,2025-01-03,283.55,2025-03-07,225.4,813,10,-20.51,-47275.95
BLUEJET,atr_chandelier_stop,2025-02-07,749.18,2025-04-11,652.45,272,10,-12.91,-26310.56
AVANTIFEED,stop_loss_20pct,2025-03-28,913.19,2025-04-11,588.26,221,3,-35.58,-71809.53
SARDAEN,trend_reversal_23wma,2025-03-21,543.74,2025-04-18,476.3,366,5,-12.4,-24683.04
AAVAS,trend_reversal_23wma,2025-03-21,1876.7,2025-05-16,1771.0,106,9,-5.63,-11204.2
KPRMILL,atr_chandelier_stop,2025-05-16,1292.83,2025-06-20,1071.9,151,6,-17.09,-33360.43
KSCL,atr_chandelier_stop,2025-03-28,1278.4,2025-06-27,1227.66,158,14,-3.97,-8016.92
NH,atr_chandelier_stop,2025-03-14,1567.92,2025-07-25,1942.91,127,20,23.92,47623.73
MAZDOCK,atr_chandelier_stop,2025-05-23,3537.78,2025-07-25,2961.57,57,10,-16.29,-32843.97
NESTLEIND,trend_reversal_23wma,2025-04-18,1173.71,2025-08-01,1125.83,166,16,-4.08,-7948.08
AUBANK,atr_chandelier_stop,2025-05-02,671.52,2025-08-01,727.79,297,14,8.38,16712.19
RELIANCE,atr_chandelier_stop,2025-05-09,1418.75,2025-08-01,1380.38,139,13,-2.7,-5333.43
BAJFINANCE,trend_reversal_23wma,2025-02-14,837.53,2025-08-08,868.66,247,26,3.72,7689.11
HOMEFIRST,trend_reversal_23wma,2025-04-25,1180.81,2025-08-08,1190.44,169,16,0.82,1627.47
SBFC,trend_reversal_23wma,2025-04-25,99.2,2025-08-08,100.73,2018,16,1.54,3087.54
CEATLTD,trend_reversal_23wma,2025-05-16,3751.85,2025-08-08,3111.0,52,13,-17.08,-33324.2
BHARTIARTL,atr_chandelier_stop,2025-04-25,1859.26,2025-08-15,1839.85,107,17,-1.04,-2076.87
WOCKPHARMA,trend_reversal_23wma,2025-06-20,1790.4,2025-08-15,1472.2,117,9,-17.77,-37229.4
AARTIPHARM,trend_reversal_23wma,2025-02-14,727.99,2025-08-22,754.45,285,28,3.63,7541.1
BRITANNIA,trend_reversal_23wma,2025-04-18,5270.89,2025-08-22,5311.54,37,19,0.77,1504.05
