ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
ANUP,atr_chandelier_stop,2024-10-11,2636.03,2025-01-17,2982.56,65,15,13.15,22524.45
GICRE,atr_chandelier_stop,2024-12-27,487.5,2025-01-17,404.83,404,4,-16.96,-33398.68
KPRMILL,atr_chandelier_stop,2024-12-27,1138.32,2025-01-17,936.8,173,4,-17.7,-34862.96
KFINTECH,atr_chandelier_stop,2024-08-16,1025.45,2025-01-24,1176.09,153,24,14.69,23047.92
AVALON,atr_chandelier_stop,2024-10-18,628.0,2025-01-24,820.0,282,15,30.57,54144.0
TARIL,atr_chandelier_stop,2024-11-15,509.81,2025-01-24,514.86,351,11,0.99,1772.55
SHAKTIPUMP,atr_chandelier_stop,2025-01-10,1266.11,2025-01-24,1012.89,159,3,-20.0,-40261.98
ZENTEC,trend_reversal_23wma,2024-04-12,1054.83,2025-01-31,1802.46,129,43,70.88,96444.27
CARTRADE,atr_chandelier_stop,2024-11-15,1238.4,2025-01-31,1326.95,144,12,7.15,12751.2
LLOYDSME,atr_chandelier_stop,2024-04-19,682.18,2025-02-07,1230.39,200,43,80.36,109642.0
AMBER,atr_chandelier_stop,2024-11-01,6229.4,2025-02-07,6538.0,27,15,4.95,8332.2
TI,atr_chandelier_stop,2024-12-06,407.67,2025-02-07,369.2,467,10,-9.44,-17965.49
IMFA,stop_loss_20pct,2024-12-13,924.67,2025-02-07,694.03,209,9,-24.94,-48203.76
CRISIL,atr_chandelier_stop,2024-11-08,5365.85,2025-02-14,5146.83,33,15,-4.08,-7227.66
LAURUSLABS,atr_chandelier_stop,2024-12-06,562.21,2025-02-21,542.27,339,12,-3.55,-6759.66
BSE,trend_reversal_23wma,2024-09-27,1325.98,2025-03-07,1529.47,129,24,15.35,26250.21
GREAVESCOT,atr_chandelier_stop,2024-12-20,238.12,2025-03-07,225.4,826,12,-5.34,-10506.72
BLUEJET,atr_chandelier_stop,2025-02-07,749.18,2025-04-11,652.45,233,10,-12.91,-22538.09
AVANTIFEED,stop_loss_20pct,2025-03-28,913.19,2025-04-11,588.26,194,3,-35.58,-63036.42
ACUTAAS,trend_reversal_23wma,2024-11-08,993.99,2025-05-02,1067.61,179,26,7.41,13177.98
AXISCADES,atr_chandelier_stop,2025-01-17,770.15,2025-05-16,807.1,244,18,4.8,9015.8
AAVAS,trend_reversal_23wma,2025-03-28,1990.05,2025-05-16,1771.0,89,8,-11.01,-19495.45
KPRMILL,atr_chandelier_stop,2025-05-16,1292.83,2025-06-20,1071.9,132,6,-17.09,-29162.76
KSCL,atr_chandelier_stop,2025-03-28,1278.4,2025-06-27,1227.66,138,14,-3.97,-7002.12
COCHINSHIP,atr_chandelier_stop,2025-05-23,2077.48,2025-07-18,1963.17,83,9,-5.5,-9487.73
NH,atr_chandelier_stop,2025-03-14,1567.92,2025-07-25,1942.91,111,20,23.92,41623.89
MAZDOCK,atr_chandelier_stop,2025-05-23,3537.78,2025-07-25,2961.57,48,10,-16.29,-27658.08
GRSE,atr_chandelier_stop,2025-05-23,2506.4,2025-07-25,2586.83,69,10,3.21,5549.67
BDL,atr_chandelier_stop,2025-05-23,1871.58,2025-07-25,1665.0,92,10,-11.04,-19005.36
ASTRAMICRO,atr_chandelier_stop,2025-05-23,1096.6,2025-07-25,965.48,157,10,-11.96,-20585.84
INDIAGLYCO,atr_chandelier_stop,2025-05-23,862.56,2025-08-01,851.22,200,11,-1.31,-2268.0
CEMPRO,atr_chandelier_stop,2025-05-23,655.84,2025-08-01,764.59,263,11,16.58,28601.25
RELIANCE,atr_chandelier_stop,2025-05-23,1439.67,2025-08-01,1380.38,120,11,-4.12,-7114.8
BAJFINANCE,trend_reversal_23wma,2025-02-14,837.53,2025-08-08,868.66,213,26,3.72,6630.69
KOTAKBANK,trend_reversal_23wma,2025-04-04,433.61,2025-08-08,396.72,407,19,-8.51,-15014.23
SBFC,trend_reversal_23wma,2025-05-02,106.0,2025-08-08,100.73,1637,15,-4.97,-8626.99
CEATLTD,trend_reversal_23wma,2025-05-16,3751.85,2025-08-08,3111.0,45,13,-17.08,-28838.25
BEL,atr_chandelier_stop,2025-05-23,370.46,2025-08-08,376.52,467,12,1.64,2830.02
BHARTIARTL,atr_chandelier_stop,2025-04-25,1859.26,2025-08-15,1839.85,94,17,-1.04,-1824.54
WOCKPHARMA,trend_reversal_23wma,2025-06-20,1790.4,2025-08-15,1472.2,100,9,-17.77,-31820.0
AXISCADES,atr_chandelier_stop,2025-06-27,1402.5,2025-08-22,1233.4,129,9,-12.06,-21813.9
GALLANTT,atr_chandelier_stop,2025-04-11,355.37,2025-08-29,612.92,483,21,72.47,124396.65
NAZARA,trend_reversal_23wma,2025-05-23,312.0,2025-08-29,288.0,554,15,-7.69,-13296.0
GLENMARK,atr_chandelier_stop,2025-07-25,2222.45,2025-08-29,1936.15,83,6,-12.88,-23762.9
SCHAEFFLER,trend_reversal_23wma,2025-05-23,4051.96,2025-09-12,3768.0,42,17,-7.01,-11926.32
SMLMAH,atr_chandelier_stop,2025-07-25,3290.69,2025-09-12,3809.52,56,8,15.77,29054.48
NAVINFLUOR,trend_reversal_23wma,2025-02-07,4105.74,2025-10-03,4564.62,42,35,11.18,19272.96
STARCEMENT,atr_chandelier_stop,2025-08-08,242.54,2025-10-03,251.9,756,9,3.86,7076.16
FORCEMOT,atr_chandelier_stop,2025-04-04,9025.82,2025-10-10,16807.0,19,28,86.21,147842.42
NESCO,atr_chandelier_stop,2025-07-25,1266.79,2025-10-10,1292.68,146,12,2.04,3779.94
HEMIPROP,atr_chandelier_stop,2025-09-12,177.65,2025-10-17,145.75,1052,6,-17.96,-33558.8
DATAMATICS,atr_chandelier_stop,2025-08-01,874.8,2025-10-24,846.0,210,13,-3.29,-6048.0
TATAINVEST,atr_chandelier_stop,2025-10-03,878.52,2025-10-31,840.66,214,5,-4.31,-8102.04
AIIL,trend_reversal_23wma,2025-05-23,433.22,2025-11-14,554.7,399,26,28.04,48470.52
ETERNAL,atr_chandelier_stop,2025-08-01,310.0,2025-11-14,304.25,593,16,-1.85,-3409.75
NETWEB,atr_chandelier_stop,2025-09-12,3133.55,2025-11-14,3457.74,59,10,10.35,19127.21
LEMONTREE,trend_reversal_23wma,2025-08-29,170.52,2025-11-21,156.52,1106,13,-8.21,-15484.0
HBLENGINE,atr_chandelier_stop,2025-08-22,767.02,2025-11-28,897.18,245,15,16.97,31889.2
SAMMAANCAP,atr_chandelier_stop,2025-10-10,165.0,2025-11-28,160.0,1162,8,-3.03,-5810.0
AVALON,atr_chandelier_stop,2025-10-17,1213.0,2025-11-28,979.7,159,7,-19.23,-37094.7
ADANIPOWER,atr_chandelier_stop,2025-10-03,148.7,2025-12-05,148.21,1264,10,-0.33,-619.36
