ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
PRICOLLTD,signal_reversal,2023-12-27,385.94,2024-03-06,377.67,290,49,-2.14,-2398.3
GREAVESCOT,signal_reversal,2024-02-29,149.24,2024-03-06,143.8,892,5,-3.65,-4852.48
RAINBOW,signal_reversal,2024-03-01,1347.79,2024-03-06,1153.84,98,4,-14.39,-19007.1
JBMA,signal_reversal,2024-03-04,1075.17,2024-03-07,949.14,123,4,-11.72,-15501.69
MEDANTA,signal_reversal,2023-03-27,478.83,2024-03-13,1210.06,116,237,152.71,84822.68
SONATSOFTW,signal_reversal,2023-04-10,409.5,2024-03-13,723.63,138,230,76.71,43349.94
NBCC,signal_reversal,2023-10-20,47.38,2024-03-13,75.91,1983,97,60.22,56574.99
HEMIPROP,signal_reversal,2024-01-31,208.0,2024-03-13,197.9,609,30,-4.86,-6150.9
WABAG,signal_reversal,2024-02-07,708.05,2024-03-14,652.72,185,26,-7.81,-10236.05
JSWINFRA,signal_reversal,2024-02-13,209.78,2024-03-14,211.97,602,22,1.04,1318.38
IOB,signal_reversal,2024-02-14,64.0,2024-03-14,56.5,1971,21,-11.72,-14782.5
CENTRALBK,signal_reversal,2024-02-14,58.31,2024-03-14,52.05,2163,21,-10.74,-13540.38
LICI,signal_reversal,2024-03-06,493.93,2024-03-14,436.39,266,6,-11.65,-15305.64
FINPIPE,signal_reversal,2024-03-06,218.53,2024-03-14,202.19,601,6,-7.48,-9820.34
BIOCON,signal_reversal,2024-03-06,278.91,2024-03-14,251.51,471,6,-9.82,-12905.4
PNCINFRA,signal_reversal,2024-03-07,444.51,2024-03-14,384.66,288,5,-13.46,-17236.8
KAYNES,signal_reversal,2023-03-29,948.0,2024-03-18,2625.5,58,238,176.95,97295.0
CUPID,signal_reversal,2023-10-27,5.26,2024-03-20,18.31,16838,98,248.1,219735.9
PERSISTENT,signal_reversal,2023-11-01,3029.57,2024-03-20,3931.14,30,95,29.76,27047.1
ELGIEQUIP,signal_reversal,2024-02-07,622.72,2024-03-21,593.02,211,31,-4.77,-6266.7
PETRONET,signal_reversal,2024-03-18,245.39,2024-03-22,239.69,481,5,-2.32,-2741.7
HCLTECH,signal_reversal,2023-11-02,1135.43,2024-03-26,1411.94,80,97,24.35,22120.8
CIPLA,signal_reversal,2024-03-15,1452.94,2024-04-15,1351.02,81,19,-7.01,-8255.52
SPARC,signal_reversal,2024-04-15,387.85,2024-04-19,332.55,307,4,-14.26,-16977.1
GILLETTE,signal_reversal,2024-04-15,6150.58,2024-04-24,6122.91,19,7,-0.45,-525.73
GRAPHITE,signal_reversal,2024-03-01,571.96,2024-05-08,580.24,232,43,1.45,1920.96
EIHOTEL,signal_reversal,2024-04-15,459.36,2024-05-28,438.06,259,29,-4.64,-5516.7
IFBIND,signal_reversal,2024-04-18,1417.05,2024-05-30,1266.05,84,29,-10.66,-12684.0
ICICIGI,signal_reversal,2024-05-13,1639.38,2024-05-30,1567.48,73,13,-4.39,-5248.7
ZAGGLE,signal_reversal,2024-05-14,278.8,2024-05-31,272.0,432,13,-2.44,-2937.6
ONGC,signal_reversal,2023-09-28,162.85,2024-06-03,250.4,558,164,53.76,48852.9
KEC,signal_reversal,2024-03-19,665.12,2024-06-05,713.71,176,51,7.31,8551.84
KPIL,signal_reversal,2024-04-18,1080.36,2024-06-05,1044.96,110,33,-3.28,-3894.0
GRASIM,signal_reversal,2024-05-06,2462.81,2024-06-05,2234.64,49,22,-9.26,-11180.33
SMLMAH,signal_reversal,2024-05-17,2008.02,2024-06-05,1921.03,62,13,-4.33,-5393.38
POLYCAB,signal_reversal,2024-06-07,6760.71,2024-07-10,6390.5,18,23,-5.48,-6663.78
OBEROIRLTY,signal_reversal,2024-06-13,1907.96,2024-07-10,1712.06,68,19,-10.27,-13321.2
SIEMENS,signal_reversal,2024-03-01,2735.77,2024-07-19,4147.75,48,92,51.61,67775.04
ABB,signal_reversal,2024-06-06,7607.39,2024-07-19,7703.89,15,30,1.27,1447.5
AZAD,signal_reversal,2024-05-13,1274.0,2024-07-22,1625.0,94,48,27.55,32994.0
JSL,signal_reversal,2024-05-17,676.54,2024-07-22,738.78,185,44,9.2,11514.4
UNOMINDA,signal_reversal,2024-07-10,1113.94,2024-07-22,947.7,126,8,-14.92,-20946.24
IIFLCAPS,signal_reversal,2024-07-19,183.78,2024-07-22,178.11,746,2,-3.09,-4229.82
THERMAX,signal_reversal,2024-03-22,3820.11,2024-07-25,4894.23,30,82,28.12,32223.6
SOLARINDS,signal_reversal,2024-05-28,9741.18,2024-07-26,10187.93,13,42,4.59,5807.75
SBIN,signal_reversal,2024-05-17,771.39,2024-08-06,792.18,162,55,2.7,3367.98
TIMETECHNO,signal_reversal,2024-05-30,134.64,2024-08-07,154.91,937,48,15.05,18992.99
JYOTICNC,signal_reversal,2024-05-31,1002.5,2024-08-07,1075.0,124,47,7.23,8990.0
AHLUCONT,signal_reversal,2024-04-30,1140.81,2024-08-16,1252.15,106,74,9.76,11802.04
ADANIPOWER,signal_reversal,2024-07-22,138.6,2024-08-16,136.6,961,19,-1.44,-1922.0
GODREJCP,signal_reversal,2024-08-08,1454.35,2024-08-16,1324.94,94,6,-8.9,-12164.54
BPCL,signal_reversal,2024-07-31,313.93,2024-09-20,300.47,448,37,-4.29,-6030.08
GLAXO,signal_reversal,2024-08-09,2765.89,2024-09-20,2588.09,50,30,-6.43,-8890.0
PFIZER,signal_reversal,2024-08-16,5475.58,2024-09-20,5418.31,25,26,-1.05,-1431.75
NATCOPHARM,signal_reversal,2024-04-04,989.69,2024-09-24,1429.61,121,117,44.45,53230.32
VGUARD,signal_reversal,2024-04-23,343.04,2024-09-24,442.47,352,106,28.98,34999.36
IFCI,signal_reversal,2024-07-19,71.4,2024-09-27,65.3,1921,50,-8.54,-11718.1
ALIVUS,signal_reversal,2024-08-16,980.28,2024-09-27,1014.15,144,31,3.46,4877.28
VOLTAMP,signal_reversal,2024-02-14,6980.83,2024-10-01,12677.55,18,155,81.61,102540.96
POLICYBZR,signal_reversal,2024-04-15,1211.0,2024-10-01,1645.0,98,116,35.84,42532.0
TRITURBINE,signal_reversal,2024-05-30,557.46,2024-10-01,680.12,226,86,22.0,27721.16
GABRIEL,signal_reversal,2024-07-10,496.22,2024-10-07,481.64,283,61,-2.94,-4126.14
PGEL,signal_reversal,2024-07-22,346.73,2024-10-08,536.71,384,55,54.79,72952.32
CDSL,signal_reversal,2024-07-22,1113.31,2024-10-08,1347.62,119,55,21.05,27882.89
TATACOMM,signal_reversal,2024-09-27,2094.41,2024-10-17,1883.5,74,14,-10.07,-15607.34
JYOTHYLAB,signal_reversal,2024-10-16,514.14,2024-10-17,504.66,299,2,-1.84,-2834.52
MARICO,signal_reversal,2024-07-29,666.19,2024-10-18,651.98,209,58,-2.13,-2969.89
SHAILY,signal_reversal,2024-05-15,670.75,2024-10-22,924.22,182,110,37.79,46131.54
APLLTD,signal_reversal,2024-10-10,1208.39,2024-10-23,1060.27,125,10,-12.26,-18515.0
LUPIN,signal_reversal,2024-10-09,2199.08,2024-10-24,2042.4,68,12,-7.12,-10654.24
HERITGFOOD,signal_reversal,2024-08-07,530.93,2024-10-25,530.04,253,56,-0.17,-225.17
BLUESTARCO,signal_reversal,2024-04-16,1348.63,2024-10-28,1832.22,88,133,35.86,42555.92
CENTURYPLY,signal_reversal,2024-11-08,848.42,2024-11-12,813.97,179,3,-4.06,-6166.55
