ticker,close,rsi,roc_12m_pct
FINCABLES,1246.85,72.2,49.1
NESTLEIND,1499.1,53.8,38.8
TITAGARH,831.35,46.0,4.1
KPIL,1352.2,56.0,10.1
TEJASNET,538.5,52.2,-2.3
GODREJIND,1252.5,44.2,14.3
UNOMINDA,1240.0,61.2,16.2
PAYTM,1603.0,75.9,43.1
PREMIERENE,1017.3,43.9,0.1
ATLANTAELE,1680.8,54.3,
AUROPHARMA,1622.1,55.6,54.1
TRAVELFOOD,1364.9,55.2,18.0
DRREDDY,1200.0,49.4,-1.0
AXISBANK,1217.4,36.1,13.9
MEDANTA,1422.6,55.9,2.6
MANYAVAR,528.75,82.1,-28.5
JYOTICNC,826.9,55.3,-7.1
DCMSHRIRAM,1024.7,50.7,-24.3
UTIAMC,908.05,47.9,-29.3
CARBORUNIV,1151.6,58.8,36.2
BATAINDIA,755.7,68.4,-32.6
CREDITACC,1549.4,54.3,19.0
HOMEFIRST,1176.5,46.8,-7.8
ROUTE,505.25,35.9,-40.3
ICICIBANK,1417.0,50.2,0.5
NATCOPHARM,903.15,42.7,2.3
BIRLACORPN,904.9,42.5,-28.4
LODHA,1243.9,61.4,3.1
SUDARSCHEM,1118.1,61.5,-22.6
MGL,1138.7,56.1,-12.8
CLEAN,821.5,63.8,-28.7
ACE,1085.6,55.5,15.3
RRKABEL,2785.6,67.4,131.4
ADANIPORTS,1700.0,42.5,28.3
PVRINOX,1174.0,66.5,7.7
PIDILITIND,1693.0,64.9,10.0
KIRLOSENG,2100.1,42.9,131.1
LLOYDSME,1918.6,47.2,39.0
CORONA,2137.1,60.1,
NUVAMA,1670.1,40.0,24.2
CIPLA,1450.0,50.7,-3.8
OLECTRA,1316.9,40.6,-8.1
RAINBOW,1461.8,43.3,-2.6
UNITDSPR,1536.0,65.1,19.8
LGEINDIA,1729.7,74.0,
TECHNOE,968.4,39.5,-28.7
SOBHA,1328.2,37.2,-11.9
LALPATHLAB,1916.3,64.1,18.9
DEEPAKFERT,1496.4,42.9,4.1
IPCALAB,1734.2,48.6,30.2
NEWGEN,535.15,50.4,-37.2
HAVELLS,1298.0,67.2,-10.7
TBOTEK,1633.3,62.2,13.0
TECHM,1632.8,62.5,12.2
NAUKRI,1343.0,69.2,2.4
CHOLAFIN,1894.4,57.6,30.7
WOCKPHARMA,1932.7,51.3,27.5
ASTRAL,1556.3,66.1,23.1
AXISCADES,1484.8,37.2,22.8
PRESTIGE,1592.5,47.8,-2.1
SUNPHARMA,1930.0,47.2,20.1
PIRAMALFIN,2057.7,44.8,
AZAD,2717.8,70.9,84.9
WABAG,1904.6,44.4,24.4
PGIL,2474.6,75.2,93.6
BHARATFORG,2065.0,41.2,77.9
PHOENIXLTD,1890.0,40.3,33.6
WHIRLPOOL,778.9,42.9,-37.1
CDSL,1344.4,51.6,-12.0
TATACOMM,1718.1,37.7,6.6
COFORGE,1812.0,70.3,12.5
HCLTECH,1360.0,67.1,-5.2
BALAMINES,2133.8,49.7,39.2
MAPMYINDIA,989.7,41.8,-45.2
GLAND,2970.2,78.1,56.0
TEGA,1703.8,63.2,-6.1
JBCHEPHARM,2408.9,61.1,45.1
IKS,1840.0,54.9,15.8
AFFLE,1668.8,58.6,-15.7
CHOLAHLDNG,1597.2,52.5,-13.8
BAJAJFINSV,2008.3,57.5,5.3
ONESOURCE,1559.2,42.4,-17.9
POLICYBZR,1741.0,66.6,-6.4
AAVAS,1397.4,46.8,-19.1
CPPLUS,3519.0,47.4,231.6
GLENMARK,2318.4,61.3,12.9
APLAPOLLO,2083.3,73.3,32.1
OBEROIRLTY,1846.0,55.3,15.2
CONCORDBIO,1451.3,67.7,-10.9
COCHINSHIP,1496.5,59.2,-9.7
BEML,1874.4,58.8,-4.0
LUPIN,2235.0,30.2,15.8
SANSERA,3924.6,69.6,208.5
ALKYLAMINE,1916.9,56.7,-7.0
GRAVITA,1794.3,57.5,0.7
ECLERX,1897.0,59.1,-7.3
ACUTAAS,3235.6,46.7,148.4
ZENTEC,1857.2,62.8,32.6
ADANIENT,3035.1,49.8,32.7
CAPLIPOINT,2480.5,45.0,18.1
SKFINDUS,2664.7,46.3,
INDIAMART,1789.9,43.3,-27.0
SHAILY,3365.0,65.0,91.6
DEEPAKNTR,1723.2,53.5,-6.2
HYUNDAI,2199.0,65.2,0.7
MCX,2911.5,58.9,78.6
ABREL,1402.9,51.8,-22.7
BALKRISIND,2363.6,54.6,-1.5
GRASIM,3248.7,54.9,18.9
POLYMED,1786.2,58.3,-6.9
MANKIND,2425.2,43.2,-0.5
GODREJPROP,1990.0,44.6,2.6
ENDURANCE,2899.0,58.2,16.0
PRUDENT,3257.1,56.6,23.0
AJANTPHARM,3672.8,72.2,41.5
CARTRADE,2797.8,53.6,19.7
POWERMECH,2455.2,39.6,-20.5
RADICO,4650.0,74.7,63.2
PRIVISCL,3482.2,38.6,38.4
GLAXO,2688.8,69.0,6.5
DATAPATTNS,4455.8,51.5,76.8
BSE,3447.0,39.4,45.9
ENRIN,3536.3,56.9,12.5
ANANDRATHI,2174.7,68.0,58.5
GODFRYPHLP,2149.0,48.1,-31.3
SHRIPISTON,4492.4,61.9,84.3
ANUP,1852.8,31.3,-19.7
M&M,3428.3,60.1,7.0
ESCORTS,3113.7,63.4,-6.4
TVSMOTOR,4307.0,63.8,45.8
AIAENG,4482.8,40.6,45.9
GVT&D,4350.0,46.7,55.7
SIEMENS,3940.0,62.4,27.1
THANGAMAYL,5427.0,45.3,175.2
CEATLTD,3688.8,57.1,19.5
TCS,2361.0,53.2,-19.0
NETWEB,5007.2,61.9,139.6
TORNTPHARM,4833.0,45.4,34.5
FLUOROCHEM,4737.8,67.0,38.0
TITAN,5056.2,68.5,45.5
THERMAX,4044.9,37.6,24.1
HAL,5029.9,75.0,15.6
SMLMAH,5134.5,57.8,31.2
CUMMINSIND,5400.0,45.4,45.5
KEI,5700.0,68.7,51.6
SUNDARMFIN,4470.5,45.7,0.2
PFIZER,4874.8,58.6,-2.1
INDIGO,5310.0,53.3,-9.5
HEROMOTOCO,5790.0,71.1,28.9
NAVINFLUOR,8235.0,59.0,71.1
CRISIL,4475.9,56.4,-11.2
LTM,4715.0,65.2,-6.1
DIVISLAB,8477.0,72.4,42.1
TRENT,2978.0,47.6,-44.4
LINDEINDIA,6696.0,39.9,7.8
KAYNES,3660.2,54.0,-37.0
ATUL,6729.0,54.5,4.8
BLUEDART,5141.0,54.2,-13.4
CERA,5872.0,37.8,-7.0
APOLLOHOSP,8920.5,54.7,23.7
CRAFTSMAN,10251.0,59.4,57.4
EICHERMOT,8066.5,66.5,44.1
AMBER,7222.0,43.7,5.5
POLYCAB,9240.0,51.1,36.5
BAJAJ-AUTO,11700.0,66.6,44.8
VOLTAMP,10141.0,60.8,28.4
APARINDS,16691.0,61.4,89.4
OFSS,11828.0,59.6,45.1
ULTRACEMCO,11619.0,46.1,-4.8
BAJAJHLDNG,11475.0,63.2,-15.4
SOLARINDS,19969.0,67.0,34.2
NEULANDLAB,23320.0,72.6,80.0
DIXON,14130.0,57.4,-10.7
PTCIL,19050.0,64.1,33.6
POWERINDIA,35700.0,62.1,72.6
ABBOTINDIA,27060.0,44.7,-14.9
3MINDIA,35340.0,51.1,13.4
BOSCHLTD,47100.0,79.0,22.5
HONAUT,37205.0,43.0,3.1
PAGEIND,36750.0,30.0,-16.9
CUPID,293.88,84.8,788.4
DATAMATICS,866.25,57.2,-17.7
DIACABS,368.5,80.6,145.9
AGARWALEYE,506.5,52.0,14.0
DYNAMATECH,11188.0,59.3,66.2
EDELWEISS,121.98,55.8,30.8
EMIL,189.44,81.8,55.3
ELLEN,332.6,71.4,-34.3
EMBDL,61.62,46.9,-34.2
ENTERO,1416.6,69.3,19.5
EIEL,196.73,32.9,-18.8
EQUITASBNK,74.52,44.7,35.7
ETHOSLTD,2747.4,54.9,-1.1
FIEMIND,2350.4,47.8,32.1
FINPIPE,159.24,39.4,-14.3
