ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
TITAGARH,signal_reversal,2024-05-02,1058.21,2024-10-25,1171.55,132,122,10.71,14960.88
FACT,signal_reversal,2024-06-19,882.77,2024-10-28,791.44,178,91,-10.35,-16256.74
RVNL,signal_reversal,2023-04-05,73.77,2024-11-07,471.05,846,393,538.54,336098.88
VOLTAMP,signal_reversal,2022-05-30,2076.0,2024-11-14,9690.97,27,610,366.81,205604.19
JBCHEPHARM,signal_reversal,2023-12-26,1587.38,2024-11-18,1654.47,71,221,4.23,4763.39
JPPOWER,hard_stop_20pct,2024-10-04,20.5,2024-11-22,16.33,9401,34,-20.34,-39202.17
IXIGO,signal_reversal,2024-10-24,150.0,2024-11-22,143.1,1346,20,-4.6,-9287.4
ZFCVINDIA,hard_stop_20pct,2024-05-28,2821.35,2024-11-28,2077.18,52,127,-26.38,-38696.84
EMCURE,signal_reversal,2024-11-18,1355.0,2025-01-08,1412.08,144,36,4.21,8219.52
RATEGAIN,hard_stop_20pct,2024-11-07,835.0,2025-01-15,669.9,245,47,-19.77,-40449.5
NTPC,signal_reversal,2023-03-10,164.14,2025-01-20,315.35,385,458,92.12,58215.85
WABAG,signal_reversal,2023-11-10,555.71,2025-02-05,1344.2,184,306,141.89,145082.16
EUREKAFORB,signal_reversal,2025-01-20,554.95,2025-02-06,556.05,362,15,0.2,398.2
BANCOINDIA,hard_stop_20pct,2024-11-19,463.98,2025-02-11,348.46,423,60,-24.9,-48864.96
EIHOTEL,hard_stop_20pct,2024-10-11,428.84,2025-02-13,340.35,468,88,-20.63,-41413.32
PRUDENT,signal_reversal,2023-07-03,987.59,2025-02-19,1999.83,79,406,102.5,79966.96
GODFRYPHLP,hard_stop_20pct,2025-02-18,2222.94,2025-02-28,1722.1,81,8,-22.53,-40568.04
WESTLIFE,hard_stop_20pct,2025-02-05,858.51,2025-03-03,681.87,229,18,-20.58,-40450.56
INDUSINDBK,hard_stop_20pct,2025-02-06,1060.38,2025-03-12,628.98,188,24,-40.68,-81103.2
LLOYDSENT,hard_stop_20pct,2025-02-21,50.63,2025-03-17,39.56,3553,15,-21.86,-39331.71
NEULANDLAB,signal_reversal,2023-04-05,1885.15,2025-03-25,11977.83,33,487,535.38,333058.44
SKYGOLD,signal_reversal,2023-09-26,31.75,2025-04-07,311.25,2938,377,880.31,821171.0
CRISIL,hard_stop_20pct,2024-10-29,5045.25,2025-04-08,4059.42,39,111,-19.54,-38447.37
KIRLPNU,hard_stop_20pct,2025-03-25,1357.22,2025-04-08,1100.56,133,10,-18.91,-34135.78
PERSISTENT,signal_reversal,2024-07-01,4180.84,2025-04-09,4474.75,39,195,7.03,11462.49
EIEL,signal_reversal,2025-04-08,210.84,2025-04-21,216.9,796,7,2.87,4823.76
POWERINDIA,signal_reversal,2023-10-20,4629.03,2025-04-24,13670.04,21,370,195.31,189861.21
VIJAYA,signal_reversal,2024-05-13,791.32,2025-05-06,1019.85,169,243,28.88,38621.57
SRF,signal_reversal,2025-01-10,2511.24,2025-06-02,2810.86,83,96,11.93,24868.46
ORIENTCEM,hard_stop_20pct,2025-04-16,357.07,2025-06-19,253.67,506,45,-28.96,-52320.4
INDHOTEL,signal_reversal,2024-11-22,780.22,2025-07-15,724.27,259,161,-7.17,-14491.05
CHOLAHLDNG,signal_reversal,2025-03-25,1798.79,2025-07-16,2067.94,100,77,14.96,26915.0
CHAMBLFERT,hard_stop_20pct,2025-04-16,640.7,2025-07-29,511.41,282,73,-20.18,-36459.78
KSCL,signal_reversal,2025-03-20,1164.99,2025-08-01,1102.81,152,92,-5.34,-9451.36
RAINBOW,signal_reversal,2025-04-09,1478.57,2025-08-01,1521.42,116,79,2.9,4970.6
MARICO,signal_reversal,2025-04-07,640.66,2025-08-05,726.73,271,83,13.43,23324.97
KITEX,hard_stop_20pct,2025-04-16,240.08,2025-08-07,179.73,753,80,-25.14,-45443.55
KAYNES,signal_reversal,2023-03-29,948.0,2025-08-08,6090.0,63,583,542.41,323946.0
TRITURBINE,hard_stop_20pct,2025-07-16,654.51,2025-08-08,516.37,305,18,-21.11,-42132.7
BALUFORGE,hard_stop_20pct,2025-06-02,735.83,2025-08-13,569.72,257,53,-22.57,-42690.27
GLAXO,signal_reversal,2025-02-19,2392.13,2025-09-24,2689.54,74,147,12.43,22008.34
