ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
EDELWEISS,atr_chandelier_stop,2023-06-16,45.75,2023-08-11,42.13,1244,9,-7.91,-4503.28
OLECTRA,atr_chandelier_stop,2023-06-23,930.1,2023-08-11,1145.98,63,8,23.21,13600.44
CHOLAFIN,atr_chandelier_stop,2023-05-12,985.31,2023-08-18,1034.26,56,15,4.97,2741.2
THANGAMAYL,atr_chandelier_stop,2023-06-09,737.91,2023-08-18,1085.12,77,11,47.05,26735.17
STYRENIX,atr_chandelier_stop,2023-06-30,989.87,2023-08-18,931.21,58,8,-5.93,-3402.28
SUBROS,atr_chandelier_stop,2023-06-30,467.29,2023-08-18,397.68,123,8,-14.9,-8562.03
SHRIPISTON,stop_loss_20pct,2023-08-11,1510.61,2023-08-18,1147.28,46,2,-24.05,-16713.18
LLOYDSENGG,stop_loss_20pct,2023-08-11,55.95,2023-08-25,40.98,1244,3,-26.76,-18622.68
TEXRAIL,atr_chandelier_stop,2023-08-04,103.87,2023-10-06,127.8,654,10,23.04,15650.22
ZENTEC,atr_chandelier_stop,2023-07-28,612.62,2023-10-27,718.06,106,14,17.21,11176.64
GLENMARK,atr_chandelier_stop,2023-05-19,611.82,2023-11-03,736.74,90,25,20.42,11242.8
FORCEMOT,atr_chandelier_stop,2023-06-16,2167.82,2023-11-03,3336.98,26,21,53.93,30398.16
GVT&D,atr_chandelier_stop,2023-08-25,356.72,2023-11-03,380.85,198,11,6.76,4777.74
CHOLAHLDNG,atr_chandelier_stop,2023-05-19,783.7,2023-12-01,1035.15,70,29,32.08,17601.5
KIRLOSBROS,trend_reversal_23wma,2023-05-19,509.6,2024-01-05,879.2,109,34,72.53,40286.4
CYIENT,atr_chandelier_stop,2023-06-09,1391.77,2024-02-02,1798.54,40,35,29.23,16270.8
BSE,atr_chandelier_stop,2023-11-03,613.38,2024-02-02,702.9,147,14,14.59,13159.44
ASHAPURMIN,atr_chandelier_stop,2023-08-18,208.66,2024-02-16,384.38,341,27,84.21,59920.52
IFCI,atr_chandelier_stop,2023-10-06,24.4,2024-03-01,46.85,3486,22,92.01,78260.7
IRFC,atr_chandelier_stop,2024-02-02,171.28,2024-03-08,144.32,825,6,-15.74,-22242.0
NH,trend_reversal_23wma,2023-06-09,936.37,2024-03-15,1180.85,60,41,26.11,14668.8
SUZLON,atr_chandelier_stop,2023-06-16,14.15,2024-03-15,41.5,4025,40,193.29,110083.75
HBLENGINE,atr_chandelier_stop,2023-08-18,223.09,2024-03-15,457.9,319,31,105.25,74904.39
ITI,trend_reversal_23wma,2023-11-03,273.5,2024-03-15,280.95,330,20,2.72,2458.5
JAIBALAJI,atr_chandelier_stop,2023-05-19,16.24,2024-03-22,201.21,3423,45,1138.98,633152.31
NEULANDLAB,atr_chandelier_stop,2023-05-26,2809.76,2024-03-22,6073.2,20,44,116.15,65268.8
AURIONPRO,trend_reversal_23wma,2023-05-26,355.56,2024-03-22,897.42,158,44,152.4,85613.88
CUPID,atr_chandelier_stop,2023-11-03,6.05,2024-03-22,20.22,14941,21,234.21,211713.97
NIACL,atr_chandelier_stop,2023-12-01,207.83,2024-03-22,226.26,506,17,8.87,9325.58
KPIGREEN,stop_loss_20pct,2024-03-01,628.08,2024-03-22,498.48,240,4,-20.63,-31104.0
TATAINVEST,atr_chandelier_stop,2024-03-08,826.69,2024-03-22,713.0,185,3,-13.75,-21032.65
TATACHEM,atr_chandelier_stop,2024-03-15,1171.73,2024-03-29,1009.42,127,3,-13.85,-20613.37
SONATSOFTW,trend_reversal_23wma,2023-03-10,379.17,2024-04-05,692.74,145,57,82.7,45467.65
RECLTD,trend_reversal_23wma,2023-08-18,195.41,2024-04-26,384.44,364,37,96.74,68806.92
TORNTPOWER,atr_chandelier_stop,2023-06-16,649.8,2024-05-17,1289.27,87,49,98.41,55633.89
VOLTAS,atr_chandelier_stop,2024-05-03,1447.02,2024-05-17,1265.38,99,3,-12.55,-17982.36
ELECTCAST,trend_reversal_23wma,2023-06-16,52.89,2024-06-07,171.17,1076,52,223.63,127269.28
