ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
HBLENGINE,atr_chandelier_stop,2023-06-16,139.62,2024-03-15,457.9,497,40,227.96,158185.16
MINDACORP,trend_reversal_23wma,2023-04-21,264.4,2024-03-22,369.45,251,49,39.73,26367.55
JAIBALAJI,atr_chandelier_stop,2023-05-19,16.24,2024-03-22,201.21,4165,45,1138.98,770400.05
AURIONPRO,trend_reversal_23wma,2023-05-26,355.56,2024-03-22,897.42,190,44,152.4,102953.4
KPIGREEN,atr_chandelier_stop,2023-06-23,146.58,2024-03-22,498.48,492,40,240.07,173134.8
JAYNECOIND,trend_reversal_23wma,2023-07-28,30.35,2024-03-22,45.0,2708,35,48.27,39672.2
DBREALTY,atr_chandelier_stop,2023-08-25,136.9,2024-03-22,220.15,663,31,60.81,55194.75
NIACL,atr_chandelier_stop,2023-12-01,207.83,2024-03-22,226.26,613,17,8.87,11297.59
ARE&M,atr_chandelier_stop,2023-12-08,768.91,2024-03-22,775.74,168,16,0.89,1147.44
AHLUCONT,atr_chandelier_stop,2024-03-01,1205.74,2024-03-22,1045.91,145,4,-13.26,-23175.35
TATACHEM,atr_chandelier_stop,2024-03-15,1171.73,2024-03-29,1009.42,149,3,-13.85,-24184.19
PCJEWELLER,trend_reversal_23wma,2023-12-29,5.13,2024-05-03,5.03,26506,19,-1.95,-2650.6
ADANIGREEN,trend_reversal_23wma,2023-12-15,1554.4,2024-05-17,1710.1,84,23,10.02,13078.8
GALLANTT,atr_chandelier_stop,2024-01-05,180.22,2024-05-31,273.12,763,22,51.55,70882.7
SCHNEIDER,atr_chandelier_stop,2023-06-02,236.8,2024-06-07,719.7,284,54,203.93,137143.6
IFBIND,trend_reversal_23wma,2024-02-02,1258.0,2024-06-07,1205.0,125,19,-4.21,-6625.0
HERITGFOOD,atr_chandelier_stop,2024-06-14,701.75,2024-06-21,571.03,234,2,-18.63,-30588.48
EIHOTEL,trend_reversal_23wma,2024-02-16,399.49,2024-07-05,417.49,430,21,4.51,7740.0
SMLMAH,trend_reversal_23wma,2024-03-01,2117.0,2024-07-19,1999.44,83,21,-5.55,-9757.48
RTNPOWER,atr_chandelier_stop,2024-06-07,20.1,2024-07-19,16.29,8134,7,-18.96,-30990.54
HINDZINC,atr_chandelier_stop,2024-04-19,387.58,2024-07-26,586.84,412,15,51.41,82095.12
GRSE,atr_chandelier_stop,2024-05-31,1454.91,2024-08-02,2217.38,115,10,52.41,87684.05
KIRLOSBROS,atr_chandelier_stop,2024-05-24,1825.72,2024-08-16,1936.05,90,13,6.04,9929.7
MAZDOCK,atr_chandelier_stop,2024-05-31,1586.86,2024-08-30,2186.0,105,14,37.76,62909.7
KNRCON,atr_chandelier_stop,2024-06-14,377.84,2024-09-06,331.24,436,13,-12.33,-20317.6
MAPMYINDIA,trend_reversal_23wma,2024-06-28,2465.17,2024-09-06,2082.21,68,11,-15.53,-26041.28
ADANIPORTS,atr_chandelier_stop,2023-12-15,1013.19,2024-09-27,1434.94,129,42,41.63,54405.75
CROMPTON,atr_chandelier_stop,2024-05-24,388.04,2024-10-04,415.56,426,20,7.09,11723.52
PGIL,atr_chandelier_stop,2024-08-02,963.55,2024-10-04,860.24,184,10,-10.72,-19009.04
KIRLPNU,trend_reversal_23wma,2024-05-03,1079.96,2024-10-11,1244.02,151,24,15.19,24773.06
KSCL,trend_reversal_23wma,2024-05-03,878.46,2024-10-11,890.08,185,24,1.32,2149.7
ASHOKLEY,trend_reversal_23wma,2024-05-10,96.85,2024-10-11,107.16,1697,23,10.65,17496.07
FACT,atr_chandelier_stop,2024-06-28,1069.51,2024-10-11,895.65,157,16,-16.26,-27296.02
EMAMILTD,atr_chandelier_stop,2024-06-14,693.44,2024-10-18,702.09,237,19,1.25,2050.05
PTCIL,trend_reversal_23wma,2024-06-21,14950.0,2024-10-25,13595.0,11,19,-9.06,-14905.0
NAVA,atr_chandelier_stop,2024-06-28,360.77,2024-10-25,489.84,466,18,35.78,60146.62
GODREJIND,atr_chandelier_stop,2024-09-13,1220.0,2024-10-25,1039.95,155,7,-14.76,-27907.75
MARICO,trend_reversal_23wma,2024-05-17,579.28,2024-11-01,627.56,279,25,8.33,13470.12
GRAVITA,atr_chandelier_stop,2024-06-28,1515.98,2024-11-01,1979.73,110,19,30.59,51012.5
PCJEWELLER,atr_chandelier_stop,2024-08-02,8.9,2024-11-01,14.23,20023,14,59.89,106722.59
CHOLAHLDNG,atr_chandelier_stop,2024-07-05,1452.33,2024-11-08,1767.34,115,19,21.69,36226.15
RPOWER,atr_chandelier_stop,2024-10-04,46.25,2024-11-15,39.5,4227,7,-14.59,-28532.25
BIKAJI,trend_reversal_23wma,2024-06-14,696.78,2024-11-22,783.48,236,24,12.44,20461.2
