ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
OFSS,trend_reversal_23wma,2024-01-26,6015.99,2025-01-17,10518.43,24,52,74.84,108058.56
PCJEWELLER,trend_reversal_23wma,2024-08-02,8.9,2025-01-24,14.64,20393,26,64.49,117055.82
BANCOINDIA,stop_loss_20pct,2024-11-29,558.67,2025-01-24,443.58,329,9,-20.6,-37864.61
ITI,stop_loss_20pct,2025-01-10,473.4,2025-01-24,376.1,402,3,-20.55,-39114.6
GVT&D,trend_reversal_23wma,2023-05-05,176.27,2025-01-31,1741.81,370,92,888.15,579249.8
AVALON,trend_reversal_23wma,2024-11-15,789.95,2025-01-31,688.1,230,12,-12.89,-23425.5
MEDPLUS,trend_reversal_23wma,2024-12-13,853.2,2025-01-31,658.95,223,8,-22.77,-43317.75
KITEX,trend_reversal_23wma,2024-08-30,127.14,2025-02-07,195.48,1454,24,53.75,99366.36
GOKEX,stop_loss_20pct,2024-12-20,1204.0,2025-02-07,961.4,160,8,-20.15,-38816.0
GICRE,stop_loss_20pct,2024-12-27,487.5,2025-02-21,360.02,401,9,-26.15,-51119.48
MANORAMA,trend_reversal_23wma,2024-04-26,584.38,2025-03-07,913.71,256,46,56.36,84308.48
PGIL,trend_reversal_23wma,2024-08-02,963.55,2025-03-28,1281.23,188,35,32.97,59723.84
SBFC,trend_reversal_23wma,2025-05-02,106.0,2025-08-08,100.73,1611,15,-4.97,-8489.97
COCHINSHIP,stop_loss_20pct,2025-05-23,2077.48,2025-08-15,1639.22,82,13,-21.1,-35937.32
NAZARA,trend_reversal_23wma,2025-05-23,312.0,2025-08-29,288.0,547,15,-7.69,-13128.0
GRSE,trend_reversal_23wma,2025-05-23,2506.4,2025-09-05,2343.54,68,16,-6.5,-11074.48
CEMPRO,trend_reversal_23wma,2025-05-23,655.84,2025-10-24,768.03,260,23,17.11,29169.4
GLENMARK,trend_reversal_23wma,2025-07-18,2164.79,2025-10-24,1858.0,82,15,-14.17,-25156.78
HEMIPROP,stop_loss_20pct,2025-09-12,177.65,2025-10-24,142.99,981,7,-19.51,-34001.46
STARCEMENT,trend_reversal_23wma,2025-08-15,257.91,2025-11-14,244.88,670,14,-5.05,-8730.1
GABRIEL,trend_reversal_23wma,2025-07-11,942.97,2025-11-28,1027.9,189,21,9.01,16051.77
DATAMATICS,trend_reversal_23wma,2025-08-01,874.8,2025-11-28,870.0,199,18,-0.55,-955.2
TATAINVEST,trend_reversal_23wma,2025-10-03,878.52,2025-12-05,744.41,199,10,-15.27,-26687.89
AVALON,stop_loss_20pct,2025-10-17,1213.0,2025-12-05,968.7,144,8,-20.14,-35179.2
BLACKBUCK,trend_reversal_23wma,2025-08-29,643.95,2026-01-23,625.45,272,22,-2.87,-5032.0
ANANDRATHI,trend_reversal_23wma,2025-07-25,1307.9,2026-01-30,1457.99,135,28,11.48,20262.15
LUMAXTECH,trend_reversal_23wma,2025-06-06,805.07,2026-03-20,1435.34,214,42,78.29,134877.78
3MINDIA,trend_reversal_23wma,2025-11-14,34559.5,2026-03-20,32514.12,4,19,-5.92,-8181.52
OIL,trend_reversal_23wma,2026-02-06,482.62,2026-05-15,457.0,356,15,-5.31,-9120.72
SUNTV,trend_reversal_23wma,2026-03-06,629.64,2026-05-15,572.5,281,11,-9.08,-16056.34
