ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,25,7,5.83,405.0
APOLLO,atr_chandelier_stop,2022-10-21,23.95,2023-02-10,29.99,260,17,25.22,1570.4
LLOYDSENGG,stop_loss_20pct,2023-01-27,21.37,2023-03-31,17.13,316,10,-19.84,-1339.84
ZENTEC,atr_chandelier_stop,2023-03-03,265.4,2023-05-12,322.37,25,11,21.47,1424.25
RVNL,atr_chandelier_stop,2023-05-12,139.97,2023-05-19,121.73,49,2,-13.03,-893.76
GVT&D,atr_chandelier_stop,2023-05-05,176.27,2023-06-02,190.42,38,5,8.03,537.7
DATAMATICS,atr_chandelier_stop,2023-05-12,435.38,2023-07-28,542.88,15,12,24.69,1612.5
MAXHEALTH,atr_chandelier_stop,2023-05-26,546.44,2023-08-11,541.72,12,12,-0.86,-56.64
JBMA,atr_chandelier_stop,2023-01-06,257.6,2023-08-18,601.19,26,33,133.38,8933.34
CHOLAFIN,atr_chandelier_stop,2023-05-12,985.31,2023-08-18,1034.26,6,15,4.97,293.7
LLOYDSENGG,stop_loss_20pct,2023-08-11,55.95,2023-08-25,40.98,140,3,-26.76,-2095.8
ORIENTCEM,atr_chandelier_stop,2023-08-18,188.9,2023-09-29,164.13,41,7,-13.11,-1015.57
RELIGARE,atr_chandelier_stop,2023-08-18,223.0,2023-10-20,238.95,35,10,7.15,558.25
CHOLAHLDNG,atr_chandelier_stop,2023-05-19,783.7,2023-12-01,1035.15,8,29,32.08,2011.6
ETHOSLTD,atr_chandelier_stop,2023-04-28,1235.7,2023-12-22,1834.45,5,35,48.45,2993.75
SKYGOLD,atr_chandelier_stop,2023-10-20,56.4,2023-12-29,92.7,167,11,64.36,6062.1
IFCI,atr_chandelier_stop,2023-09-29,23.2,2024-03-01,46.85,384,23,101.94,9081.6
MINDACORP,trend_reversal_23wma,2023-04-21,264.4,2024-03-22,369.45,25,49,39.73,2626.25
JAIBALAJI,atr_chandelier_stop,2023-05-19,16.24,2024-03-22,201.21,423,45,1138.98,78242.31
AURIONPRO,trend_reversal_23wma,2023-05-26,355.56,2024-03-22,897.42,19,44,152.4,10295.34
JAYNECOIND,trend_reversal_23wma,2023-07-28,30.35,2024-03-22,45.0,251,35,48.27,3677.15
DBREALTY,atr_chandelier_stop,2023-08-25,136.9,2024-03-22,220.15,57,31,60.81,4745.25
NIACL,atr_chandelier_stop,2023-12-01,207.83,2024-03-22,226.26,48,17,8.87,884.64
PCJEWELLER,trend_reversal_23wma,2023-12-29,5.13,2024-05-03,5.03,2127,19,-1.95,-212.7
GALLANTT,atr_chandelier_stop,2024-01-05,180.22,2024-05-31,273.12,60,22,51.55,5574.0
SCHNEIDER,atr_chandelier_stop,2023-06-02,236.8,2024-06-07,719.7,28,54,203.93,13521.2
SMLMAH,trend_reversal_23wma,2024-03-01,2117.0,2024-07-19,1999.44,6,21,-5.55,-705.36
RTNPOWER,atr_chandelier_stop,2024-06-07,20.1,2024-07-19,16.29,643,7,-18.96,-2449.83
HINDZINC,atr_chandelier_stop,2024-04-19,387.58,2024-07-26,586.84,32,15,51.41,6376.32
KIRLOSBROS,atr_chandelier_stop,2024-05-24,1825.72,2024-08-16,1936.05,7,13,6.04,772.31
MAZDOCK,atr_chandelier_stop,2024-05-31,1586.86,2024-08-30,2186.0,8,14,37.76,4793.12
PGIL,atr_chandelier_stop,2024-08-02,963.55,2024-10-04,860.24,14,10,-10.72,-1446.34
KIRLPNU,trend_reversal_23wma,2024-05-03,1079.96,2024-10-11,1244.02,11,24,15.19,1804.66
KSCL,trend_reversal_23wma,2024-05-03,878.46,2024-10-11,890.08,14,24,1.32,162.68
ASHOKLEY,trend_reversal_23wma,2024-05-10,96.85,2024-10-11,107.16,132,23,10.65,1360.92
MARICO,trend_reversal_23wma,2024-05-17,579.28,2024-11-01,627.56,21,25,8.33,1013.88
PCJEWELLER,atr_chandelier_stop,2024-08-02,8.9,2024-11-01,14.23,1523,14,59.89,8117.59
RPOWER,atr_chandelier_stop,2024-10-04,46.25,2024-11-15,39.5,306,7,-14.59,-2065.5
BANCOINDIA,atr_chandelier_stop,2024-11-29,558.67,2024-12-27,483.87,26,5,-13.39,-1944.8
KITEX,atr_chandelier_stop,2024-08-30,127.14,2025-01-03,231.05,108,19,81.73,11222.28
MANORAMA,atr_chandelier_stop,2024-04-26,584.38,2025-01-17,984.58,21,39,68.48,8404.2
SKYGOLD,atr_chandelier_stop,2024-07-19,221.3,2025-01-17,351.0,61,27,58.61,7911.7
GICRE,atr_chandelier_stop,2024-12-27,487.5,2025-01-17,404.83,30,4,-16.96,-2480.1
KFINTECH,atr_chandelier_stop,2024-08-16,1025.45,2025-01-24,1176.09,13,24,14.69,1958.32
AVALON,atr_chandelier_stop,2024-11-15,789.95,2025-01-24,820.0,18,11,3.8,540.9
ITI,stop_loss_20pct,2025-01-10,473.4,2025-01-24,376.1,31,3,-20.55,-3016.3
MEDPLUS,trend_reversal_23wma,2024-12-13,853.2,2025-01-31,658.95,17,8,-22.77,-3302.25
GOKEX,atr_chandelier_stop,2024-12-20,1204.0,2025-01-31,991.0,12,7,-17.69,-2556.0
COCHINSHIP,atr_chandelier_stop,2025-05-23,2077.48,2025-07-18,1963.17,6,9,-5.5,-685.86
GRSE,atr_chandelier_stop,2025-05-23,2506.4,2025-07-25,2586.83,5,10,3.21,402.15
CEMPRO,atr_chandelier_stop,2025-05-23,655.84,2025-08-01,764.59,21,11,16.58,2283.75
SBFC,trend_reversal_23wma,2025-05-02,106.0,2025-08-08,100.73,131,15,-4.97,-690.37
NAZARA,trend_reversal_23wma,2025-05-23,312.0,2025-08-29,288.0,44,15,-7.69,-1056.0
GLENMARK,atr_chandelier_stop,2025-07-18,2164.79,2025-08-29,1936.15,6,7,-10.56,-1371.84
STARCEMENT,atr_chandelier_stop,2025-08-15,257.91,2025-10-03,251.9,55,8,-2.33,-330.55
HEMIPROP,atr_chandelier_stop,2025-09-12,177.65,2025-10-17,145.75,80,6,-17.96,-2552.0
DATAMATICS,atr_chandelier_stop,2025-08-01,874.8,2025-10-24,846.0,16,13,-3.29,-460.8
TATAINVEST,atr_chandelier_stop,2025-10-03,878.52,2025-10-31,840.66,16,5,-4.31,-605.76
GABRIEL,trend_reversal_23wma,2025-07-11,942.97,2025-11-28,1027.9,15,21,9.01,1273.95
AVALON,atr_chandelier_stop,2025-10-17,1213.0,2025-11-28,979.7,11,7,-19.23,-2566.3
BLACKBUCK,trend_reversal_23wma,2025-08-29,643.95,2026-01-23,625.45,22,22,-2.87,-407.0
LUMAXTECH,atr_chandelier_stop,2025-06-06,805.07,2026-01-30,1353.6,17,35,68.13,9325.01
ANANDRATHI,trend_reversal_23wma,2025-07-25,1307.9,2026-01-30,1457.99,11,28,11.48,1650.99
AVANTIFEED,atr_chandelier_stop,2026-02-20,1380.3,2026-03-13,1128.6,10,4,-18.24,-2517.0
TMB,atr_chandelier_stop,2025-11-07,490.38,2026-03-20,590.23,29,20,20.36,2895.65
OIL,trend_reversal_23wma,2026-02-06,482.62,2026-05-15,457.0,29,15,-5.31,-742.98
SUNTV,trend_reversal_23wma,2026-03-06,629.64,2026-05-15,572.5,22,11,-9.08,-1257.08
THANGAMAYL,trend_reversal_23wma,2025-11-14,3390.52,2026-05-22,3629.85,4,28,7.06,957.32
GALLANTT,atr_chandelier_stop,2026-04-24,862.1,2026-05-29,701.0,16,6,-18.69,-2577.6
GMDCLTD,atr_chandelier_stop,2026-04-24,728.95,2026-06-19,622.2,19,9,-14.64,-2028.25
COALINDIA,trend_reversal_23wma,2026-01-09,419.72,2026-07-03,429.91,34,26,2.43,346.46
BBOX,atr_chandelier_stop,2026-05-15,759.7,2026-07-17,915.0,19,10,20.44,2950.7
ADANIPOWER,atr_chandelier_stop,2026-04-24,198.5,2026-07-24,215.75,73,14,8.69,1259.25
MSTCLTD,atr_chandelier_stop,2026-06-26,692.75,2026-07-24,587.35,21,5,-15.21,-2213.4
SPARC,atr_chandelier_stop,2026-05-29,214.0,2026-07-31,217.49,67,10,1.63,233.83
J&KBANK,atr_chandelier_stop,2026-03-06,116.2,2026-08-07,155.0,123,23,33.39,4772.4
AETHER,open_at_backtest_end,2025-11-28,920.0,2026-08-14,1591.6,15,38,73.0,10074.0
ANANDRATHI,open_at_backtest_end,2026-04-17,1766.48,2026-08-14,2101.5,8,18,18.97,2680.16
HFCL,open_at_backtest_end,2026-05-15,139.3,2026-08-14,207.98,104,14,49.3,7142.72
GLAND,open_at_backtest_end,2026-05-29,2352.03,2026-08-14,2581.5,6,12,9.76,1376.82
BLUESTONE,open_at_backtest_end,2026-07-31,793.0,2026-08-14,814.5,18,3,2.71,387.0
ASKAUTOLTD,open_at_backtest_end,2026-08-14,648.95,2026-08-14,648.95,23,1,0.0,0.0
RBA,open_at_backtest_end,2026-08-14,95.05,2026-08-14,95.05,158,1,0.0,0.0
