Date,MF NAME,ISIN CODE,nav
2024-12-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.46020
2024-12-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.65320
2024-12-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.87240
2024-12-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,41.02170
2024-12-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,41.14140
2024-12-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,41.25700
2024-12-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.87250
2024-12-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.72360
2024-12-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.90130
2024-12-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.67370
2024-12-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.39800
2024-12-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.26060
2024-12-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.44960
2024-12-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.28020
2024-12-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.40080
2024-12-26,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.38880
2024-12-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.49480
2024-12-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.32030
2024-12-31,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.57440
2025-01-01,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.92280
2025-01-02,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.14320
2025-01-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.06500
2025-01-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.91070
2025-01-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.46000
2025-01-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.91440
2025-01-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.46060
2025-01-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.52200
2025-01-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.02120
2025-01-14,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.60660
2025-01-15,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.79810
2025-01-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.24290
2025-01-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.22620
2025-01-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.53930
2025-01-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.74410
2025-01-22,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.15720
2025-01-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.45100
2025-01-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.66830
2025-01-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.36540
2025-01-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.73940
2025-01-29,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.80660
2025-01-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.74520
2025-01-31,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.34020
2025-02-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.95610
2025-02-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.35280
2025-02-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.90680
2025-02-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.89400
2025-02-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.75790
2025-02-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.99550
2025-02-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.79980
2025-02-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.56260
2025-02-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.44420
2025-02-14,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.34090
2025-02-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.26680
2025-02-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.82200
2025-02-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.53620
2025-02-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.93350
2025-02-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.75080
2025-02-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.35550
2025-02-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.21090
2025-02-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.67230
2025-02-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,30.88000
2025-03-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,30.68220
2025-03-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.03370
2025-03-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.87400
2025-03-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.34690
2025-03-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.56880
2025-03-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.94860
2025-03-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.74080
2025-03-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.65520
2025-03-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.43700
2025-03-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.53910
2025-03-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.37680
2025-03-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.02260
2025-03-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.27830
2025-03-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.98940
2025-03-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.32280
2025-03-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.85910
2025-03-26,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.38200
2025-03-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.75270
2025-03-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.73270
2025-03-31,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.73250
2025-04-01,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.56740
2025-04-02,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.90120
2025-04-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.13680
2025-04-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.00980
2025-04-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,31.69150
2025-04-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.37600
2025-04-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,32.03120
2025-04-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.01390
2025-04-15,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.02110
2025-04-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.34170
2025-04-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.49690
2025-04-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.16440
2025-04-22,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.44540
2025-04-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.54590
2025-04-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.52800
2025-04-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.65520
2025-04-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.83970
2025-04-29,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.91200
2025-04-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.28670
2025-05-02,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.27470
2025-05-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.66210
2025-05-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.88780
2025-05-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,34.29310
2025-05-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.88660
2025-05-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,33.66490
2025-05-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.01160
2025-05-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.30400
2025-05-14,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,35.80120
2025-05-15,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.07310
2025-05-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.62600
2025-05-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.87370
2025-05-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.54300
2025-05-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.69570
2025-05-22,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.69420
2025-05-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.90990
2025-05-26,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.10180
2025-05-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.14460
2025-05-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.29730
2025-05-29,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.46040
2025-05-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.58340
2025-06-02,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.85260
2025-06-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.89350
2025-06-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.09310
2025-06-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.34520
2025-06-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.59580
2025-06-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.10690
2025-06-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.17140
2025-06-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.13680
2025-06-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.57750
2025-06-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.43200
2025-06-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.62260
2025-06-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.35690
2025-06-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.28140
2025-06-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.54400
2025-06-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.77550
2025-06-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.06980
2025-06-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.36530
2025-06-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.98020
2025-06-26,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.08010
2025-06-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.39720
2025-06-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.74380
2025-07-01,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.66430
2025-07-02,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.51010
2025-07-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.65470
2025-07-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.66750
2025-07-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.58640
2025-07-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.49340
2025-07-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.71080
2025-07-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.68400
2025-07-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.40870
2025-07-14,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.77210
2025-07-15,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.09370
2025-07-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.16370
2025-07-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.27210
2025-07-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,40.00570
2025-07-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.96210
2025-07-22,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.82570
2025-07-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.87990
2025-07-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.62010
2025-07-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.83480
2025-07-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.35090
2025-07-29,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.69960
2025-07-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.66120
2025-07-31,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.31780
2025-08-01,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.69750
2025-08-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.06660
2025-08-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.94700
2025-08-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.49340
2025-08-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.46680
2025-08-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.00010
2025-08-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.16990
2025-08-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.17900
2025-08-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.41840
2025-08-14,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.26650
2025-08-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.76170
2025-08-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.04730
2025-08-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.17660
2025-08-21,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.20560
2025-08-22,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.15050
2025-08-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.17810
2025-08-26,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.47030
2025-08-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.05990
2025-08-29,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,36.94260
2025-09-01,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.46200
2025-09-02,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.68520
2025-09-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.00170
2025-09-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.74890
2025-09-05,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.83710
2025-09-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.90680
2025-09-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.00590
2025-09-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.25910
2025-09-11,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.25580
2025-09-12,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.38080
2025-09-15,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.62450
2025-09-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.91160
2025-09-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.10910
2025-09-18,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.13420
2025-09-19,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.18880
2025-09-22,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.83230
