TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,TSL 6.8% >= 5%,LICNETFGSC,LICNETFGSC,2020-05-04,2020-06-22,22.14,21.91,9647.4642,-2238.92,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=54)",LICNETFGSC,LICNETFGSC,2020-06-22,,21.91,,9890.2177,,RISK-ON
SELL,TSL 7.3% >= 5%,GOLDBETA,GOLDBETA,2020-05-04,2020-08-17,43.92,47.78,4863.2709,18752.23,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=54)",GOLDBETA,GOLDBETA,2020-08-17,,47.78,,4922.0031,,RISK-ON
SELL,TSL 6.2% >= 5%,SHARIABEES,SHARIABEES,2020-06-01,2020-08-24,238.67,282.33,901.8252,39353.69,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=55)",LOWVOLIETF,LOWVOLIETF,2020-08-24,,9.62,,23304.5302,,RISK-ON
SELL,TSL 5.6% >= 5%,LICNETFGSC,LICNETFGSC,2020-06-22,2020-08-31,21.91,20.95,9890.2177,-9514.61,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=55)",INFRABEES,INFRABEES,2020-08-31,,326.75,,680.1822,,RISK-ON
SELL,TSL 5.9% >= 5%,HNGSNGBEES,HNGSNGBEES,2020-05-04,2020-09-14,347.48,339.99,614.6968,-4624.08,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=54)",SETFNIF50,SETFNIF50,2020-09-14,,118.57,,1883.7391,,RISK-ON
SELL,TSL 5.0% >= 5%,GOLDBETA,GOLDBETA,2020-08-17,2020-09-28,47.78,45.08,4922.0031,-13309.41,RISK-OFF
SELL,TSL 5.4% >= 5%,INFRABEES,INFRABEES,2020-08-31,2020-09-28,326.75,321.6,680.1822,-3522.94,RISK-OFF
BUY,"NEW BUY (rank=2, cutoff=54)",MID150BEES,MID150BEES,2020-10-05,,65.72,,3366.9738,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=54)",BSE500IETF,BSE500IETF,2020-10-05,,15.562,,14219.0925,,RISK-ON
SELL,Rank 59 > 56,LTGILTBEES,LTGILTBEES,2020-05-04,2020-11-16,21.48,22.23,9943.8947,7437.92,RISK-ON
BUY,"NEW BUY (rank=18, cutoff=56)",SETFNIFBK,SETFNIFBK,2020-11-16,,284.03,,832.1331,,RISK-ON
SELL,TSL 5.1% >= 5%,SETFNIF50,SETFNIF50,2020-09-14,2021-02-01,118.57,147.87,1883.7391,55173.56,RISK-OFF
SELL,TSL 5.2% >= 5%,MID150BEES,MID150BEES,2020-10-05,2021-02-01,65.72,82.02,3366.9738,54861.67,RISK-OFF
SELL,TSL 5.3% >= 5%,BSE500IETF,BSE500IETF,2020-10-05,2021-02-01,15.562,19.286,14219.0925,52931.9,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=57)",NV20IETF,NV20IETF,2021-02-08,,7.75,,35756.067,,RISK-ON
BUY,"NEW BUY (rank=8, cutoff=57)",BSE500IETF,BSE500IETF,2021-02-08,,20.317,,13639.2932,,RISK-ON
BUY,"NEW BUY (rank=14, cutoff=57)",MID150BEES,MID150BEES,2021-02-08,,86.6,,3199.879,,RISK-ON
