w1,w3,w6,label,CAGR,MaxDD,Vol,Sharpe,Buys,WinRate,CAGR_H1,CAGR_H2,Sharpe_H1,Sharpe_H2
0.5,1.0,2.0,"(0.5,1,2)",0.12229919897490715,-0.12472327621778864,0.10475632839539123,1.16746358762501,108,0.5048543689320388,0.09676761157937186,0.14839618902875484,0.959595352608483,1.3670839813595708
1.0,1.0,0.0,"(1,1,0)",0.12594555646789085,-0.16339606925323927,0.1086124528404396,1.159586706442538,123,0.5423728813559322,0.12166343998737394,0.13023930353150726,1.2469829416761018,1.0974737692963676
1.0,1.0,0.5,"(1,1,0.5)",0.1030257019560663,-0.16236661978478975,0.10833154710196943,0.9510221603231709,123,0.5254237288135594,0.08285699140683445,0.12354735395856298,0.8184852365402175,1.0741316053338805
1.0,1.0,1.0,"(1,1,1)",0.11171933764777786,-0.1571256449081474,0.11152425698680792,1.0017492217947976,123,0.5423728813559322,0.08777088780405795,0.1361679378215157,0.8262444634389524,1.167776619745924
1.0,1.0,1.5,"(1,1,1.5)",0.11960031195919596,-0.16008316400005096,0.11864569126245085,1.008045978632578,125,0.5416666666666666,0.081706872695678,0.15877750086419362,0.757849062546542,1.2349208979263662
1.0,1.0,2.0,"(1,1,2)",0.10211269580130855,-0.12747647546367755,0.10845347157907853,0.9415345983355948,121,0.47413793103448276,0.06498373375805055,0.14049329077740502,0.6122641507736668,1.2688777209616398
1.5,1.0,0.0,"(1.5,1,0)",0.10213436096881146,-0.16007163103112412,0.10350444929817541,0.986763000637615,119,0.5263157894736842,0.08870866728382931,0.11571063939994919,0.9471954955681328,1.0282983974054165
1.5,1.0,0.5,"(1.5,1,0.5)",0.11208462751776604,-0.15082488563878094,0.10548845425158607,1.0625298125086595,118,0.5575221238938053,0.08812592380794992,0.1365437492817032,0.9210625379302807,1.1927192324505063
1.5,1.0,1.0,"(1.5,1,1)",0.11824267362113661,-0.13799634761732382,0.10985135065308975,1.076387981742224,123,0.5677966101694916,0.0979581637327358,0.1388790994880622,0.9344887603796534,1.2109507898791254
1.5,1.0,1.5,"(1.5,1,1.5)",0.11910198907776337,-0.12868511463228008,0.10968183647800074,1.0858861676851304,124,0.5714285714285714,0.0900713644903055,0.1488726789348349,0.8606426136492382,1.3001503155556438
1.5,1.0,2.0,"(1.5,1,2)",0.11344730338035935,-0.16004171702074527,0.11375307247051215,0.9973119926916079,122,0.5254237288135594,0.0739520113462917,0.15434939723564223,0.7162575838418164,1.251157242511434
2.0,1.0,0.0,"(2,1,0)",0.10698217360243634,-0.1600719021238281,0.10276912146223513,1.0409953114345674,115,0.5363636363636364,0.09357435297110772,0.12053942529294281,1.0099202515720824,1.0762105010399572
2.0,1.0,0.5,"(2,1,0.5)",0.11172589658367427,-0.1346557276596645,0.10634377130559468,1.0506106301478932,119,0.5614035087719298,0.08261222262900914,0.14158931586008583,0.8499713728526503,1.2335759719059085
2.0,1.0,1.0,"(2,1,1)",0.11951480549169857,-0.13854221386351753,0.10841220713165686,1.1024109614017783,119,0.5877192982456141,0.09297234218436756,0.14667170755401915,0.9315245547028451,1.260043883772885
2.0,1.0,1.5,"(2,1,1.5)",0.13084025922672082,-0.12533105639312997,0.10956029073883067,1.1942306682867176,121,0.5862068965517241,0.09808044748361255,0.1645399204536555,0.9359265286547407,1.4415886544404328
2.0,1.0,2.0,"(2,1,2)",0.12036814704679744,-0.16008507161012214,0.11383080212129813,1.0574303686144029,121,0.5470085470085471,0.08255179981270144,0.1594619114352247,0.8081384368184888,1.2816290004821411
