TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2019-09-23,2019-09-30,20.97,20.69,9044.9973,-2552.6,PARTIAL
BUY,NEW BUY (rank=11),LICNETFSEN,LICNETFSEN,2019-09-30,,480.0,,391.9491,,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,SETFGOLD,SETFGOLD,2019-09-23,2019-10-07,33.67,34.27,5633.3113,3359.99,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFSEN,LICNETFSEN,2019-09-30,2019-10-07,480.0,475.0,391.9491,-1979.75,BEAR
SELL,TSL 8.7% >= 5%,BANKNIFTY1,BANKNIFTY1,2019-09-23,2019-10-07,31.36,28.62,6048.2651,-16592.25,BEAR
BUY,NEW BUY (rank=1),SETFGOLD,SETFGOLD,2019-10-21,,34.47,,5403.198,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2019-10-21,,21.53,,8650.638,,PARTIAL
BUY,NEW BUY (rank=12),LICNETFSEN,LICNETFSEN,2019-10-21,,486.3,,382.9904,,PARTIAL
BUY,NEW BUY (rank=12),CONSUMBEES,CONSUMBEES,2019-11-04,,54.4,,3433.2005,,BULL
BUY,NEW BUY (rank=13),BANKIETF,BANKIETF,2019-11-04,,30.36,,6151.7164,,BULL
SELL,Rank 44 > 40,CONSUMBEES,CONSUMBEES,2019-11-04,2019-11-18,54.4,53.56,3433.2005,-2903.89,BULL
BUY,NEW BUY (rank=15),HNGSNGBEES,HNGSNGBEES,2019-11-18,,335.0,,554.5479,,BULL
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2019-10-21,2019-12-02,21.53,20.66,8650.638,-7546.06,BULL
BUY,NEW BUY (rank=13),QNIFTY,QNIFTY,2019-12-02,,123.55,,1494.9267,,BULL
SELL,Rank 41 > 40,HNGSNGBEES,HNGSNGBEES,2019-11-18,2019-12-16,335.0,322.9,554.5479,-6730.03,BULL
BUY,NEW BUY (rank=18),ABSLNN50ET,ABSLNN50ET,2019-12-16,,28.4,,6574.57,,BULL
SELL,Rank 46 > 40,ABSLNN50ET,ABSLNN50ET,2019-12-16,2019-12-23,28.4,28.54,6574.57,900.44,BULL
BUY,NEW BUY (rank=13),HNGSNGBEES,HNGSNGBEES,2019-12-23,,351.39,,531.706,,BULL
SELL,Rank 44 > 40,LICNETFSEN,LICNETFSEN,2019-10-21,2020-01-20,486.3,510.0,382.9904,9056.87,BULL
SELL,Rank 42 > 40,HNGSNGBEES,HNGSNGBEES,2019-12-23,2020-01-20,351.39,374.91,531.706,12485.72,BULL
BUY,NEW BUY (rank=9),MID150BEES,MID150BEES,2020-01-20,,66.38,,2877.9891,,BULL
BUY,NEW BUY (rank=14),SBIETFQLTY,SBIETFQLTY,2020-01-20,,101.92,,1874.4203,,BULL
SELL,Rank 42 > 40 | TSL 5.2% >= 5%,BANKIETF,BANKIETF,2019-11-04,2020-01-27,30.36,30.95,6151.7164,3609.51,BULL
BUY,NEW BUY (rank=11),BSE500IETF,BSE500IETF,2020-01-27,,16.235,,11807.0785,,BULL
SELL,Regime slot reduction / sector cap / rank cut,BSE500IETF,BSE500IETF,2020-01-27,2020-02-03,16.235,15.651,11807.0785,-6915.33,PARTIAL
SELL,Rank 41 > 40,SBIETFQLTY,SBIETFQLTY,2020-01-20,2020-02-03,101.92,100.5,1874.4203,-2681.68,PARTIAL
BUY,NEW BUY (rank=9),SETFNN50,SETFNN50,2020-02-10,,298.0,,634.3323,,BULL
BUY,NEW BUY (rank=11),BSE500IETF,BSE500IETF,2020-02-10,,16.129,,11719.9477,,BULL
SELL,Rank 48 > 40 | TSL 8.2% >= 5%,SETFNN50,SETFNN50,2020-02-10,2020-03-02,298.0,273.6,634.3323,-15497.71,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SETFGOLD,SETFGOLD,2019-10-21,2020-03-02,34.47,37.53,5403.198,16513.79,BEAR
SELL,TSL 9.1% >= 5%,QNIFTY,QNIFTY,2019-12-02,2020-03-02,123.55,115.4,1494.9267,-12203.65,BEAR
SELL,TSL 8.1% >= 5%,MID150BEES,MID150BEES,2020-01-20,2020-03-02,66.38,62.56,2877.9891,-11013.92,BEAR
SELL,TSL 7.4% >= 5%,BSE500IETF,BSE500IETF,2020-02-10,2020-03-02,16.129,14.97,11719.9477,-13603.42,BEAR
