TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,MONTH-END FLUSH,NV20,NV20,2018-09-03,2018-09-28,5445.0,5300.5,35.9597,-5216.17,BULL
BUY,MONTHLY PICK (rank=1),LICNETFGSC,LICNETFGSC,2019-01-01,,17.94,,10458.4947,,PARTIAL
BUY,MONTHLY PICK (rank=2),NV20BEES,NV20BEES,2019-01-01,,54.18,,3463.001,,PARTIAL
BUY,MONTHLY PICK (rank=3),PSUBANK,PSUBANK,2019-01-01,,31.24,,6005.9345,,PARTIAL
SELL,INTRA-MONTH EXIT: TSL 5.5% >= 5% (moved to cash),PSUBANK,PSUBANK,2019-01-01,2019-01-22,31.24,30.1,6005.9345,-6866.77,PARTIAL
SELL,MONTH-END FLUSH,LICNETFGSC,LICNETFGSC,2019-01-01,2019-01-31,17.94,17.75,10458.4947,-2007.11,PARTIAL
SELL,MONTH-END FLUSH,NV20BEES,NV20BEES,2019-01-01,2019-01-31,54.18,55.13,3463.001,3269.85,PARTIAL
BUY,MONTHLY PICK (rank=1),BANKNIFTY1,BANKNIFTY1,2019-04-01,,30.89,,6054.6115,,BULL
BUY,MONTHLY PICK (rank=4),SETFNIF50,SETFNIF50,2019-04-01,,119.5,,1565.0791,,BULL
BUY,MONTHLY PICK (rank=6),INFRABEES,INFRABEES,2019-04-01,,330.25,,566.3193,,BULL
BUY,MONTHLY PICK (rank=7),PSUBANK,PSUBANK,2019-04-01,,33.79,,5534.9792,,BULL
BUY,MONTHLY PICK (rank=8),SNXT50BETA,SNXT50BETA,2019-04-01,,36.9,,5068.481,,BULL
SELL,INTRA-MONTH EXIT: TSL 5.3% >= 5% (moved to cash),PSUBANK,PSUBANK,2019-04-01,2019-04-18,33.79,32.0,5534.9792,-9927.61,BULL
SELL,INTRA-MONTH EXIT: TSL 6.6% >= 5% (moved to cash),SNXT50BETA,SNXT50BETA,2019-04-01,2019-04-24,36.9,36.1,5068.481,-4074.78,BULL
SELL,INTRA-MONTH EXIT: Rank 41 > 40 (moved to cash),INFRABEES,INFRABEES,2019-04-01,2019-04-26,330.25,321.28,566.3193,-5099.88,BULL
SELL,MONTH-END FLUSH,BANKNIFTY1,BANKNIFTY1,2019-04-01,2019-04-30,30.89,30.31,6054.6115,-3531.67,BULL
SELL,MONTH-END FLUSH,SETFNIF50,SETFNIF50,2019-04-01,2019-04-30,119.5,120.28,1565.0791,1200.76,BULL
BUY,MONTHLY PICK (rank=1),SETFNIFBK,SETFNIFBK,2019-05-01,,300.7,,607.7747,,BULL
BUY,MONTHLY PICK (rank=3),NIFTYBEES,NIFTYBEES,2019-05-01,,123.41,,1480.8999,,BULL
BUY,MONTHLY PICK (rank=7),NIF100IETF,NIF100IETF,2019-05-01,,13.09,,13961.6395,,BULL
BUY,MONTHLY PICK (rank=13),HDFCSENSEX,HDFCSENSEX,2019-05-01,,41.98,,4353.4507,,BULL
BUY,MONTHLY PICK (rank=17),LICNETFGSC,LICNETFGSC,2019-05-01,,17.6,,10383.9694,,BULL
SELL,INTRA-MONTH EXIT: TSL 5.5% >= 5% (moved to cash),NIF100IETF,NIF100IETF,2019-05-01,2019-05-07,13.09,12.37,13961.6395,-10072.38,BULL
SELL,INTRA-MONTH EXIT: TSL 6.1% >= 5% (moved to cash),HDFCSENSEX,HDFCSENSEX,2019-05-01,2019-05-09,41.98,39.44,4353.4507,-11077.76,BULL
SELL,INTRA-MONTH EXIT: TSL 5.0% >= 5% (moved to cash),NIFTYBEES,NIFTYBEES,2019-05-01,2019-05-13,123.41,117.22,1480.8999,-9186.77,BULL
SELL,INTRA-MONTH EXIT: TSL 6.8% >= 5% (moved to cash),LICNETFGSC,LICNETFGSC,2019-05-01,2019-05-13,17.6,17.7,10383.9694,1018.4,BULL
SELL,MONTH-END FLUSH,SETFNIFBK,SETFNIFBK,2019-05-01,2019-05-31,300.7,316.68,607.7747,9692.24,BULL
BUY,MONTHLY PICK (rank=1),BANKBEES,BANKBEES,2019-06-03,,322.54,,554.7884,,BULL
BUY,MONTHLY PICK (rank=2),CPSEETF,CPSEETF,2019-06-03,,28.59,,6258.8825,,BULL
BUY,MONTHLY PICK (rank=5),NIFTYBEES,NIFTYBEES,2019-06-03,,126.8,,1411.2102,,BULL
BUY,MONTHLY PICK (rank=7),ICICIB22,ICICIB22,2019-06-03,,39.52,,4527.8707,,BULL
BUY,MONTHLY PICK (rank=15),NIF100BEES,NIF100BEES,2019-06-03,,125.0,,1431.5316,,BULL
SELL,MONTH-END FLUSH,BANKBEES,BANKBEES,2019-06-03,2019-06-28,322.54,318.71,554.7884,-2144.84,BULL
SELL,MONTH-END FLUSH,CPSEETF,CPSEETF,2019-06-03,2019-06-28,28.59,28.51,6258.8825,-520.71,BULL
SELL,MONTH-END FLUSH,NIFTYBEES,NIFTYBEES,2019-06-03,2019-06-28,126.8,124.29,1411.2102,-3562.14,BULL
SELL,MONTH-END FLUSH,ICICIB22,ICICIB22,2019-06-03,2019-06-28,39.52,39.03,4527.8707,-2238.66,BULL
SELL,MONTH-END FLUSH,NIF100BEES,NIF100BEES,2019-06-03,2019-06-28,125.0,122.36,1431.5316,-3799.24,BULL
BUY,MONTHLY PICK (rank=1),CPSEETF,CPSEETF,2019-07-01,,27.93,,6318.5823,,BULL
BUY,MONTHLY PICK (rank=2),BANKBEES,BANKBEES,2019-07-01,,320.17,,551.2009,,BULL
BUY,MONTHLY PICK (rank=4),NIFTYBEES,NIFTYBEES,2019-07-01,,124.93,,1412.6151,,BULL
BUY,MONTHLY PICK (rank=10),SENSEXBETA,SENSEXBETA,2019-07-01,,421.08,,419.108,,BULL
BUY,MONTHLY PICK (rank=18),NIF100BEES,NIF100BEES,2019-07-01,,122.32,,1442.7567,,BULL
SELL,INTRA-MONTH EXIT: TSL 7.6% >= 5% (moved to cash),CPSEETF,CPSEETF,2019-07-01,2019-07-08,27.93,26.35,6318.5823,-10003.36,BULL
SELL,INTRA-MONTH EXIT: TSL 5.7% >= 5% (moved to cash),BANKBEES,BANKBEES,2019-07-01,2019-07-19,320.17,303.16,551.2009,-9395.93,BULL
SELL,INTRA-MONTH EXIT: TSL 5.0% >= 5% (moved to cash),NIFTYBEES,NIFTYBEES,2019-07-01,2019-07-23,124.93,119.69,1412.6151,-7422.1,BULL
SELL,INTRA-MONTH EXIT: TSL 6.3% >= 5% (moved to cash),NIF100BEES,NIF100BEES,2019-07-01,2019-07-24,122.32,116.28,1442.7567,-8734.25,BULL
SELL,INTRA-MONTH EXIT: TSL 5.8% >= 5% (moved to cash),SENSEXBETA,SENSEXBETA,2019-07-01,2019-07-30,421.08,397.64,419.108,-9843.89,BULL
BUY,MONTHLY PICK (rank=1),SETFGOLD,SETFGOLD,2019-10-01,,33.2,,5055.7272,,PARTIAL
BUY,MONTHLY PICK (rank=11),LICNETFGSC,LICNETFGSC,2019-10-01,,20.11,,8346.6008,,PARTIAL
BUY,MONTHLY PICK (rank=12),LICNETFSEN,LICNETFSEN,2019-10-01,,489.3,,343.0414,,PARTIAL
SELL,INTRA-MONTH EXIT: TSL 10.4% >= 5% (moved to cash),LICNETFSEN,LICNETFSEN,2019-10-01,2019-10-03,489.3,438.55,343.0414,-17429.35,PARTIAL
SELL,MONTH-END FLUSH,SETFGOLD,SETFGOLD,2019-10-01,2019-10-31,33.2,34.62,5055.7272,7159.13,PARTIAL
SELL,MONTH-END FLUSH,LICNETFGSC,LICNETFGSC,2019-10-01,2019-10-31,20.11,21.98,8346.6008,15588.14,PARTIAL
