TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,Regime slot reduction / sector cap / rank cut,SENSEXBETA,SENSEXBETA,2018-06-11,2018-07-02,371.5,363.15,558.5097,-4683.56,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LOWVOLIETF,LOWVOLIETF,2018-06-04,2018-07-02,8.52,8.45,23986.9505,-1699.09,BEAR
SELL,TSL 11.9% >= 5%,HNGSNGBEES,HNGSNGBEES,2018-06-04,2018-07-02,368.82,340.86,554.1153,-15513.06,BEAR
BUY,NEW BUY (rank=4),NV20BEES,NV20BEES,2018-07-16,,52.19,,3813.4186,,BULL
BUY,NEW BUY (rank=5),IVZINGOLD,IVZINGOLD,2018-07-16,,28.9,,6886.5853,,BULL
BUY,NEW BUY (rank=2),SENSEXBETA,SENSEXBETA,2018-07-16,,380.5,,523.0547,,BULL
BUY,NEW BUY (rank=3),NIF100IETF,NIF100IETF,2018-07-16,,11.65,,17083.4605,,BULL
BUY,NEW BUY (rank=1),HNGSNGBEES,HNGSNGBEES,2018-07-16,,333.16,,597.3776,,BULL
SELL,Regime slot reduction / sector cap / rank cut,IVZINGOLD,IVZINGOLD,2018-07-16,2018-07-30,28.9,27.52,6886.5853,-9523.49,BULL
BUY,NEW BUY (rank=4),CONSUMBEES,CONSUMBEES,2018-07-30,,55.14,,3663.5046,,BULL
SELL,Regime slot reduction / sector cap / rank cut,HNGSNGBEES,HNGSNGBEES,2018-07-16,2018-09-03,333.16,342.5,597.3776,5559.51,BULL
BUY,NEW BUY (rank=9),BANKNIFTY1,BANKNIFTY1,2018-09-03,,28.6,,7324.6486,,BULL
SELL,TSL 9.2% >= 5%,CONSUMBEES,CONSUMBEES,2018-07-30,2018-09-24,55.14,51.6,3663.5046,-12988.81,BEAR
SELL,Regime slot reduction / sector cap / rank cut,NV20BEES,NV20BEES,2018-07-16,2018-09-24,52.19,55.95,3813.4186,14318.45,BEAR
SELL,TSL 5.8% >= 5%,SENSEXBETA,SENSEXBETA,2018-07-16,2018-09-24,380.5,381.22,523.0547,356.6,BEAR
SELL,TSL 10.4% >= 5%,BANKNIFTY1,BANKNIFTY1,2018-09-03,2018-09-24,28.6,25.62,7324.6486,-21847.45,BEAR
SELL,TSL 5.8% >= 5%,NIF100IETF,NIF100IETF,2018-07-16,2018-09-24,11.65,11.89,17083.4605,4080.03,BEAR
BUY,NEW BUY (rank=3),NV20IETF,NV20IETF,2018-12-31,,5.26,,37210.7097,,PARTIAL
BUY,NEW BUY (rank=1),PSUBANK,PSUBANK,2018-12-31,,30.81,,6352.7534,,PARTIAL
BUY,NEW BUY (rank=2),LICNETFGSC,LICNETFGSC,2018-12-31,,17.85,,10965.1727,,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,NV20IETF,NV20IETF,2018-12-31,2019-01-07,5.26,5.22,37210.7097,-1508.43,BEAR
SELL,Regime slot reduction / sector cap / rank cut,PSUBANK,PSUBANK,2018-12-31,2019-01-07,30.81,31.0,6352.7534,1187.02,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2018-12-31,2019-01-07,17.85,17.92,10965.1727,747.56,BEAR
BUY,NEW BUY (rank=8),PSUBANK,PSUBANK,2019-01-14,,31.63,,6192.7499,,PARTIAL
BUY,NEW BUY (rank=10),LICNETFGSC,LICNETFGSC,2019-01-14,,17.95,,10912.3499,,PARTIAL
BUY,NEW BUY (rank=1),QGOLDHALF,QGOLDHALF,2019-01-14,,28.38,,6901.9267,,PARTIAL
SELL,TSL 8.1% >= 5%,PSUBANK,PSUBANK,2019-01-14,2019-01-28,31.63,29.07,6192.7499,-15873.44,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2019-01-14,2019-01-28,17.95,17.75,10912.3499,-2202.47,BEAR
SELL,Regime slot reduction / sector cap / rank cut,QGOLDHALF,QGOLDHALF,2019-01-14,2019-01-28,28.38,28.79,6901.9267,2809.79,BEAR
BUY,NEW BUY (rank=12),SETF10GILT,SETF10GILT,2019-03-11,,168.25,,1148.1231,,PARTIAL
BUY,NEW BUY (rank=3),LICNETFGSC,LICNETFGSC,2019-03-11,,17.9,,10791.7156,,PARTIAL
BUY,NEW BUY (rank=1),GOLD1,GOLD1,2019-03-11,,28.4,,6801.8207,,PARTIAL
BUY,NEW BUY (rank=5),PSUBANK,PSUBANK,2019-03-18,,30.93,,6238.0475,,BULL
BUY,NEW BUY (rank=1),SETFNIFBK,SETFNIFBK,2019-03-18,,297.41,,648.7435,,BULL
SELL,Rank 42 > 40,GOLD1,GOLD1,2019-03-11,2019-04-01,28.4,27.87,6801.8207,-3624.96,BULL
BUY,NEW BUY (rank=4),SETFNIF50,SETFNIF50,2019-04-01,,119.5,,1670.2388,,BULL
SELL,Rank 43 > 40,SETF10GILT,SETF10GILT,2019-03-11,2019-04-08,168.25,172.0,1148.1231,4285.46,BULL
BUY,NEW BUY (rank=10),SNXT50BETA,SNXT50BETA,2019-04-08,,37.5,,5194.3279,,BULL
SELL,Rank 43 > 40,LICNETFGSC,LICNETFGSC,2019-03-11,2019-04-22,17.9,17.67,10791.7156,-2502.09,BULL
BUY,NEW BUY (rank=12),NIF100IETF,NIF100IETF,2019-04-22,,12.47,,15608.7683,,BULL
SELL,TSL 5.5% >= 5%,PSUBANK,PSUBANK,2019-03-18,2019-04-29,30.93,31.29,6238.0475,2225.7,BULL
BUY,NEW BUY (rank=12),SENSEXBETA,SENSEXBETA,2019-04-29,,412.57,,473.6501,,BULL
SELL,TSL 15.5% >= 5%,SNXT50BETA,SNXT50BETA,2019-04-08,2019-05-06,37.5,32.68,5194.3279,-25056.66,BULL
BUY,NEW BUY (rank=18),CPSEETF,CPSEETF,2019-05-06,,27.41,,6832.3416,,BULL
SELL,TSL 5.5% >= 5%,CPSEETF,CPSEETF,2019-05-06,2019-05-13,27.41,25.91,6832.3416,-10268.51,BEAR
SELL,TSL 5.2% >= 5%,SENSEXBETA,SENSEXBETA,2019-04-29,2019-05-13,412.57,391.31,473.6501,-10089.8,BEAR
SELL,TSL 7.6% >= 5%,NIF100IETF,NIF100IETF,2019-04-22,2019-05-13,12.47,11.99,15608.7683,-7512.21,BEAR
