Date,PortfolioValue
2025-12-03,171684.778
2025-12-04,173274.778
2025-12-05,171444.778
2025-12-08,165699.778
2025-12-09,167979.778
2025-12-10,165999.778
2025-12-11,166029.778
2025-12-12,163719.778
2025-12-15,162099.778
2025-12-16,157929.778
2025-12-17,156384.778
2025-12-18,155739.778
2025-12-19,157824.778
2025-12-22,168459.778
2025-12-23,167334.778
2025-12-24,166434.778
2025-12-25,157824.778
2025-12-26,165714.778
2025-12-29,164124.778
2025-12-30,159579.778
2025-12-31,162939.778
2026-01-01,161649.778
2026-01-02,164199.778
2026-01-05,170124.778
2026-01-06,171999.778
2026-01-07,179079.778
2026-01-08,180939.778
2026-01-09,177024.778
2026-01-12,174789.778
2026-01-13,169599.778
2026-01-14,172284.778
2026-01-15,177024.778
2026-01-16,171684.778
2026-01-19,173034.778
2026-01-20,-20840.222000000023
2026-01-21,-20840.222000000023
2026-01-22,-20840.222000000023
2026-01-23,-20840.222000000023
2026-01-26,-20840.222000000023
2026-01-27,-20840.222000000023
2026-01-28,-20840.222000000023
2026-01-29,-20840.222000000023
2026-01-30,-20840.222000000023
2026-02-02,-20840.222000000023
2026-02-03,-20840.222000000023
2026-02-04,-20840.222000000023
2026-02-05,-20840.222000000023
2026-02-06,-20840.222000000023
2026-02-09,-20840.222000000023
2026-02-10,-20840.222000000023
2026-02-11,-20840.222000000023
2026-02-12,-20840.222000000023
2026-02-13,-20840.222000000023
2026-02-16,-20840.222000000023
2026-02-17,-20840.222000000023
2026-02-18,-20840.222000000023
2026-02-19,-20840.222000000023
2026-02-20,-20840.222000000023
2026-02-23,-20840.222000000023
2026-02-24,-20840.222000000023
2026-02-25,-20840.222000000023
2026-02-26,-20840.222000000023
2026-02-27,-20840.222000000023
2026-03-02,-20840.222000000023
2026-03-03,-20840.222000000023
2026-03-04,-20840.222000000023
2026-03-05,-20840.222000000023
2026-03-06,-20840.222000000023
2026-03-09,-20840.222000000023
2026-03-10,-20840.222000000023
2026-03-11,-20840.222000000023
2026-03-12,-20840.222000000023
2026-03-13,-20840.222000000023
2026-03-16,-20840.222000000023
2026-03-17,-20840.222000000023
2026-03-18,-20840.222000000023
2026-03-19,-20840.222000000023
2026-03-20,-20840.222000000023
2026-03-23,-20840.222000000023
2026-03-24,-20840.222000000023
2026-03-25,-20840.222000000023
2026-03-26,-20840.222000000023
2026-03-27,-20840.222000000023
2026-03-30,-20840.222000000023
2026-03-31,-20840.222000000023
2026-04-01,-20840.222000000023
2026-04-02,-20840.222000000023
2026-04-03,-20840.222000000023
