ticker,entry_date,exit_date,entry,exit,pct_return,pnl,reason,score
RBLBANK,2025-10-16,2025-10-17,306.75,299.5,-0.023634881825590873,-590.8720456397718,Stop Loss,8
TATACOMM,2025-10-16,2025-10-20,1971.3,1905.1,-0.033581900268858135,-839.5475067214534,Stop Loss,7
SRF,2025-10-16,2025-10-23,3190.0,3077.4,-0.0352978056426332,-882.44514106583,Stop Loss,8
TVSMOTOR,2025-10-17,2025-10-23,3654.0,3597.2,-0.015544608648056974,-388.61521620142435,Stop Loss,8
ATHERENERG,2025-10-16,2025-10-29,688.55,706.2,0.025633577808438154,640.8394452109538,Stop Loss,7
VEDL,2025-10-27,2025-10-31,505.25,493.55,-0.023156853043047973,-578.9213260761993,Stop Loss,8
HINDALCO,2025-10-27,2025-11-04,840.85,831.4,-0.011238627579235352,-280.9656894808838,Stop Loss,8
NESTLEIND,2025-10-16,2025-11-06,1276.6,1266.1,-0.008224972583424722,-205.62431458561807,Time Stop,8
LATENTVIEW,2025-10-31,2025-11-07,448.35,436.55,-0.0263187242109959,-657.9681052748975,Stop Loss,7
DIVISLAB,2025-11-06,2025-11-07,6883.5,6656.5,-0.032977409747947994,-824.4352436986999,Stop Loss,7
ASTRAL,2025-11-06,2025-11-14,1566.1,1514.0,-0.03326735202094369,-831.6838005235923,Stop Loss,7
CEATLTD,2025-10-16,2025-11-24,3699.0,3813.0,0.030819140308191405,770.4785077047851,Stop Loss,7
IDFCFIRSTB,2025-10-20,2025-11-24,76.93,77.97,0.01351878330950204,337.969582737551,Stop Loss,7
BHEL,2025-11-11,2025-12-02,285.8,285.5,-0.0010496850944716983,-26.24212736179246,Time Stop,7
BHARATFORG,2025-11-11,2025-12-03,1402.1,1406.7,0.0032807930960702778,82.01982740175694,Time Stop,7
MOTHERSON,2025-12-02,2025-12-03,119.26,116.57,-0.022555760523226664,-563.8940130806666,Stop Loss,6
INDIANB,2025-09-24,2025-12-08,708.2,779.1,0.10011296243998867,2502.824060999717,Stop Loss,7
